flow,best_mode,nested_score,same_field_recall_rate,same_core_recall_rate,nested_vs_local_gap,nested_vs_repeated_local_gap,nested_vs_coarse_heavy_gap,nested_vs_over_blended_gap
bounded_cf_2,over_blended,0.7763900941916941,0.9445114595898673,0.2738238841978287,0.010291643954608132,0.0,0.0012857717052484618,-0.0003924690354922822
fib_13_21,repeated_local,0.7176537304555466,0.9936143039591315,0.21711366538952745,0.010026980034132604,-0.0003108361439446705,0.0005424525062065477,-0.00010552046659928482
golden,nested_moderate,0.8231771506985186,0.849971477467199,0.46035367940673133,0.018946127360034204,0.00033370906325924654,5.563972263089578e-05,0.00015222258895397633
pi_mod1,repeated_local,0.7914029655040545,0.9715976331360947,0.26272189349112424,0.009682512262201626,0.0,0.0014779934784738824,0.0007391519104575917
random_cf_1,repeated_local,0.7816213058153001,0.8907563025210085,0.25690276110444177,0.008930764374335709,0.0,0.001778260857438374,0.00045964313257074174
silver,over_blended,0.7861998083717562,0.9681372549019608,0.3137254901960784,0.007206529457345567,0.0,0.00019298911859344514,-5.92211405103793e-05
