anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,phase_lock_resistance,delayed_retention,pollution,symmetry_balance,rigidity_after_zipping,center_share,closure_balance,composite_score,surrogate_base_score
golden,phi_anchor,binary_baseline,Binary Window,0.5580339887498948,-0.06,0.18,0.0,0.0,4096,0.5152638901317679,0.0,1.0,0.3908777512596129,0.963134765625,0.079345703125,0.0,0.34720612016453034,0.20610555605270717
golden,phi_anchor,binary_baseline,Binary Window,0.5640339887498947,-0.054,0.18,0.0,0.0,4096,0.3848962094366898,0.0,1.0,0.3907741251325557,0.9609375,0.0791015625,0.0,0.30765636283100695,0.1539584837746759
golden,phi_anchor,binary_baseline,Binary Window,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,0.4833955741515493,0.0,1.0,0.3907741251325557,0.96435546875,0.0791015625,0.0,0.33788976599546483,0.19335822966061975
golden,phi_anchor,binary_baseline,Binary Window,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,0.5559651169979871,0.0,1.0,0.3903473879607531,0.962890625,0.079345703125,0.0,0.35936766009939614,0.22238604679919485
golden,phi_anchor,binary_baseline,Binary Window,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,0.4750251071129894,0.0,0.9986449864498645,0.3913043478260869,0.96484375,0.0791015625,0.0,0.33577438511492663,0.19034879623272963
golden,phi_anchor,binary_baseline,Binary Window,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,0.2398697582243795,0.0,1.0,0.3908777512596129,0.965087890625,0.079345703125,0.0,0.26497850559231384,0.0959479032897518
golden,phi_anchor,binary_baseline,Binary Window,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,0.4562264748107504,0.0,0.9986449864498645,0.3914081145584726,0.964599609375,0.079345703125,0.0,0.33008596729925493,0.18282934331183404
golden,phi_anchor,binary_baseline,Binary Window,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,0.20979695178434454,0.0,1.0,0.39347657261195956,0.974365234375,0.056884765625,0.0,0.2578121324103034,0.08391878071373782
golden,phi_anchor,binary_baseline,Binary Window,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,0.3622797669261,0.0,1.0,0.3909814323607427,0.96533203125,0.07958984375,0.0,0.30175033632783,0.14491190677044
golden,phi_anchor,binary_baseline,Binary Window,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,0.4754793019287138,0.0,1.0,0.3907741251325557,0.963623046875,0.0791015625,0.0,0.3353683999536141,0.19019172077148552
golden,phi_anchor,binary_baseline,Binary Window,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,0.5544117339794032,0.0,1.0,0.3908777512596129,0.964111328125,0.079345703125,0.0,0.35914578581882095,0.22176469359176132
golden,phi_anchor,binary_baseline,Binary Window,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,0.4545399878979316,0.0,0.9986449864498645,0.3913043478260869,0.96337890625,0.0791015625,0.0,0.3293358806004093,0.18215474854670652
golden,phi_anchor,binary_baseline,Binary Window,0.6300339887498948,0.011999999999999983,0.18,0.0,0.0,4096,0.5115418927754378,0.0,1.0,0.3907741251325557,0.964599609375,0.0791015625,0.0,0.34638248970763136,0.20461675711017513
