family,mean_composite,best_composite,mean_revision_rate
bounded_cf,0.666526118257714,0.8018505837675823,0.534553196011693
constant,0.6706036478596716,0.8047483459133289,0.5446722183528253
metallic,0.6466705738680172,0.7945755604363577,0.5162554466888791
noble,0.6694225440436015,0.8028223565474001,0.5482930002106896
phi,0.6652986627547831,0.7960598044646519,0.5315225043696953
random_cf,0.665720477429316,0.8100434521187265,0.5467353281668483
rational,0.6662814883116476,0.7927557940572267,0.5526953976804018
