model,best_anchor,best_composite,mean_composite,mean_admission_rate,mean_write_rate,mean_revision_rate,mean_revision_size,mean_density_gap,mean_block_gap
surprise_only,noble_2,0.6316199058626744,0.5364965175485605,0.39236615610081627,0.9931657848324515,0.0,0.05357204176633461,0.11489407482188313,0.11232816189411993
model_revision,random_cf_1,0.8100434521187265,0.6647175024312999,0.5420871327188981,0.7835486362234403,0.5420871327188981,0.04189081245696578,0.16588185563702024,0.17161551817246173
model_revision_witness,random_cf_1,0.8100434521187265,0.6647173200179796,0.5420871327188981,0.7835580821622383,0.5420871327188981,0.04189081245696578,0.1587316003731467,0.16808164567170109
