flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,pass_through,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.14,0.18,0.24,0.744874715261959,0.42689295039164493,0.007340485601355167,0.12761151891586675,0.5927152317880795,0.0,0.3741721854304636,0.2682119205298013,0.40728476821192056,0.08954737870400521,0.4346513145059555,0.5293834648286521
golden,phi,0.6180339887498948,13,13,0.08,0.58,13,0.14,0.46,0.24,0.7792207792207793,0.43795620437956206,0.00846979107848673,0.14059853190287974,0.5921052631578947,0.0,0.40625,0.2631578947368421,0.40789473684210525,0.08531422989254314,0.46702675389905524,0.5410330831095053
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,0.18,0.36,0.8919226393629124,0.4714371617558629,0.003952569169960474,0.057029926595143984,0.565858798735511,0.0,0.09905163329820864,0.20231822971549,0.43414120126448896,0.10289807880169326,0.45842217342084324,0.6415468907720937
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.08,0.46,0.24,0.7246871444823664,0.42018469656992086,0.007340485601355167,0.13664596273291926,0.5614266842800528,0.0,0.31968295904887717,0.24438573315719947,0.4385733157199472,0.08401172256593943,0.4682339847290834,0.5349792689667123
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,0.32,0.24,0.7568208778173191,0.4307900067521945,0.006211180124223602,0.15753811405985318,0.5673940949935815,0.0,0.3581514762516046,0.22593068035943517,0.4326059050064185,0.08303484207098664,0.4646475470806788,0.543557364250822
golden,phi,0.6180339887498948,13,13,0.08,0.58,21,0.14,0.32,0.36,0.9314079422382672,0.4822429906542056,0.003952569169960474,0.08977978543195934,0.5645330535152151,0.0,0.161594963273872,0.20566631689401887,0.4354669464847849,0.1045262129599479,0.4788711160820801,0.6289724454706757
golden,phi,0.6180339887498948,13,13,0.08,0.68,13,0.08,0.18,0.36,0.9023569023569024,0.4743362831858407,0.003952569169960474,0.03896103896103896,0.5022091310751104,0.0,0.0898379970544919,0.26804123711340205,0.49779086892488955,0.11559752523607945,0.4563500673456553,0.6332285325656116
golden,phi,0.6180339887498948,13,13,0.08,0.68,21,0.2,0.46,0.36,0.8929440389294404,0.4717223650385604,0.004517221908526256,0.11688311688311688,0.46756152125279643,0.0,0.22930648769574943,0.21588366890380314,0.5324384787472036,0.10094431781178768,0.4473823290403205,0.5923175393391117
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.14,0.32,0.36,0.9208715596330275,0.47940298507462686,0.003952569169960474,0.0502540937323546,0.39046199701937406,0.0,0.13114754098360656,0.21758569299552907,0.6095380029806259,0.1103874959296646,0.46118822534209547,0.6298024294498198
golden,phi,0.6180339887498948,13,13,0.08,0.78,13,0.2,0.18,0.36,0.8969072164948454,0.47282608695652173,0.003952569169960474,0.060982495765104464,0.3860182370820669,0.0,0.16261398176291794,0.20820668693009117,0.6139817629179332,0.10810810810810811,0.46368939441105317,0.6153015900729127
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,0.18,0.36,0.8881431767337807,0.4703791469194313,0.003952569169960474,0.04291360813099943,0.39644351464435146,0.0,0.0700836820083682,0.1809623430962343,0.6035564853556485,0.11169000325626832,0.46224806910694516,0.6541524260408209
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.08,0.32,0.24,0.7732884399551067,0.4360759493670886,0.006211180124223602,0.10163749294184077,0.34525277435265106,0.0,0.2219482120838471,0.17509247842170161,0.654747225647349,0.0963855421686747,0.45555935270830583,0.5622677960861145
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.14,0.18,0.36,0.9055299539170507,0.4752116082224909,0.003952569169960474,0.062111801242236024,0.38238453276047263,0.0,0.11707841031149302,0.17400644468313642,0.6176154672395274,0.10354933246499512,0.4677285796287689,0.6381817112068946
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,0.18,0.36,0.910377358490566,0.4765432098765432,0.003952569169960474,0.08130999435347261,0.36728060671722645,0.0,0.15384615384615385,0.1733477789815818,0.6327193932827736,0.1045262129599479,0.4709854827841772,0.6211178586709791
golden,phi,0.6180339887498948,13,13,0.08,0.78,21,0.2,0.46,0.36,0.901072705601907,0.47398119122257054,0.003952569169960474,0.09542631281761717,0.34934497816593885,0.0,0.18231441048034935,0.17467248908296942,0.6506550218340611,0.10647997394985347,0.4659182932963404,0.601768608168749
golden,phi,0.6180339887498948,13,13,0.16,0.58,21,0.08,0.32,0.24,0.7429537767756482,0.42626131953428203,0.003952569169960474,0.12309429700734048,0.5562659846547314,0.0,0.27877237851662406,0.5562659846547314,0.4437340153452685,0.08498860306089222,0.44226170841933066,0.5110818376695695
golden,phi,0.6180339887498948,13,13,0.16,0.58,21,0.08,0.46,0.36,0.9324009324009324,0.4825090470446321,0.003952569169960474,0.059853190287972896,0.572463768115942,0.0,0.10248447204968944,0.572463768115942,0.427536231884058,0.10615434711820254,0.46160261440514916,0.6084187842463551
golden,phi,0.6180339887498948,13,13,0.16,0.58,21,0.14,0.18,0.24,0.7254901960784313,0.42045454545454547,0.006775832862789385,0.14850367024280067,0.5640326975476839,0.0,0.3583106267029973,0.5640326975476839,0.4359673024523161,0.0846629762292413,0.4625071568606537,0.502829531978095
golden,phi,0.6180339887498948,13,13,0.16,0.58,21,0.2,0.18,0.24,0.7314148681055156,0.4224376731301939,0.009034443817052512,0.1756070016939582,0.5578673602080624,0.0,0.4044213263979194,0.5578673602080624,0.44213263979193757,0.08303484207098664,0.4585597746543504,0.5026194873988094
golden,phi,0.6180339887498948,13,13,0.16,0.68,13,0.08,0.18,0.36,0.9023569023569024,0.4743362831858407,0.003952569169960474,0.03896103896103896,0.5022091310751104,0.0,0.0898379970544919,0.5022091310751104,0.49779086892488955,0.11559752523607945,0.4563500673456553,0.606836779988292
golden,phi,0.6180339887498948,13,13,0.16,0.68,13,0.2,0.32,0.36,0.9123222748815166,0.4770755885997522,0.003952569169960474,0.08469791078486731,0.5015060240963856,0.0,0.22590361445783133,0.5015060240963856,0.49849397590361444,0.10941061543471182,0.4401207948324729,0.5598191066488819
golden,phi,0.6180339887498948,13,13,0.16,0.68,21,0.08,0.18,0.36,0.9023836549375709,0.4743436754176611,0.003952569169960474,0.049689440993788817,0.4860392967942089,0.0,0.08479834539813857,0.4860392967942089,0.5139607032057911,0.10810810810810811,0.45639358380660566,0.6084304126637332
golden,phi,0.6180339887498948,13,13,0.16,0.68,21,0.08,0.32,0.24,0.7195121951219512,0.41843971631205673,0.006211180124223602,0.11801242236024845,0.46965699208443273,0.0,0.2757255936675462,0.46965699208443273,0.5303430079155673,0.08531422989254314,0.4358166651552807,0.5069612003942592
golden,phi,0.6180339887498948,13,13,0.16,0.68,21,0.14,0.18,0.36,0.9167643610785463,0.4782874617737003,0.003952569169960474,0.07284020327498589,0.46233230134158926,0.0,0.13312693498452013,0.46233230134158926,0.5376676986584107,0.10647997394985347,0.4577985178762053,0.5944628171479724
golden,phi,0.6180339887498948,13,13,0.16,0.68,21,0.2,0.18,0.24,0.7157894736842105,0.4171779141104294,0.007905138339920948,0.1637492941840768,0.44818304172274565,0.0,0.39030955585464333,0.44818304172274565,0.5518169582772544,0.08531422989254314,0.4530804001993619,0.49921734191039097
golden,phi,0.6180339887498948,13,13,0.16,0.68,21,0.2,0.18,0.36,0.9122596153846154,0.47705845380263984,0.003952569169960474,0.09768492377188029,0.46751863684771033,0.0,0.18423855165069222,0.46751863684771033,0.5324813631522897,0.10420058612829697,0.4781671524852281,0.5787893577266785
golden,phi,0.6180339887498948,13,13,0.16,0.68,21,0.2,0.46,0.24,0.7682926829268293,0.43448275862068964,0.003952569169960474,0.17730095990965555,0.4680306905370844,0.0,0.40153452685422,0.4680306905370844,0.5319693094629157,0.0882448713774015,0.46055296737030105,0.5095480463805306
golden,phi,0.6180339887498948,13,13,0.16,0.78,13,0.08,0.32,0.24,0.7893569844789357,0.44114002478314746,0.006775832862789385,0.0818746470920384,0.3615257048092869,0.0,0.24046434494195687,0.3615257048092869,0.6384742951907131,0.09931618365353305,0.4550671674104728,0.5283148456073918
golden,phi,0.6180339887498948,13,13,0.16,0.78,13,0.08,0.46,0.36,0.9201349831271091,0.479203280609256,0.003952569169960474,0.032185206098249576,0.3778110944527736,0.0,0.07196401799100449,0.3778110944527736,0.6221889055472264,0.11429501790947574,0.4569209011800851,0.6124360633132986
golden,phi,0.6180339887498948,13,13,0.16,0.78,13,0.14,0.32,0.24,0.7997724687144482,0.4443742098609355,0.005081874647092038,0.10163749294184077,0.37381703470031546,0.0,0.28391167192429023,0.37381703470031546,0.6261829652996845,0.0963855421686747,0.45762664749778004,0.5177548300860357
golden,phi,0.6180339887498948,13,13,0.16,0.78,21,0.08,0.18,0.36,0.8881431767337807,0.4703791469194313,0.003952569169960474,0.04291360813099943,0.39644351464435146,0.0,0.0700836820083682,0.39644351464435146,0.6035564853556485,0.11169000325626832,0.46224806910694516,0.6110561917311975
golden,phi,0.6180339887498948,13,13,0.16,0.78,21,0.14,0.18,0.24,0.7760180995475113,0.4369426751592357,0.006211180124223602,0.10728402032749859,0.3379224030037547,0.0,0.23779724655819776,0.3379224030037547,0.6620775969962454,0.09312927385216542,0.45761232568768395,0.5223904076434529
golden,phi,0.6180339887498948,13,13,0.16,0.78,21,0.14,0.18,0.36,0.9055299539170507,0.4752116082224909,0.003952569169960474,0.062111801242236024,0.38238453276047263,0.0,0.11707841031149302,0.38238453276047263,0.6176154672395274,0.10354933246499512,0.4677285796287689,0.5965060935914274
golden,phi,0.6180339887498948,13,13,0.16,0.78,21,0.14,0.46,0.24,0.8086854460093896,0.4471122647631408,0.006211180124223602,0.12365894974590627,0.35138387484957884,0.0,0.26353790613718414,0.35138387484957884,0.6486161251504212,0.09378052751546727,0.4623334780169114,0.5223348780161619
golden,phi,0.6180339887498948,13,13,0.16,0.78,21,0.2,0.32,0.24,0.7669789227166276,0.4340622929092114,0.007340485601355167,0.14059853190287974,0.34328358208955223,0.0,0.30970149253731344,0.34328358208955223,0.6567164179104478,0.085965483555845,0.4541393489625265,0.499650905884171
golden,phi,0.6180339887498948,13,13,0.16,0.78,21,0.2,0.46,0.36,0.901072705601907,0.47398119122257054,0.003952569169960474,0.09542631281761717,0.34934497816593885,0.0,0.18231441048034935,0.34934497816593885,0.6506550218340611,0.10647997394985347,0.4659182932963404,0.5668341103521551
golden,phi,0.6180339887498948,13,13,0.24,0.58,13,0.08,0.18,0.24,0.7386990077177509,0.424857324032974,0.00564652738565782,0.1038961038961039,0.5758620689655173,0.0,0.31724137931034485,0.5758620689655173,0.4241379310344828,0.08857049820905243,0.4346531876725078,0.5026166050122862
golden,phi,0.6180339887498948,13,13,0.24,0.58,13,0.08,0.32,0.36,0.9027149321266968,0.47443519619500596,0.003952569169960474,0.04630152456239413,0.5851528384279476,0.0,0.1091703056768559,0.5851528384279476,0.4148471615720524,0.10778248127645718,0.43394605700692357,0.5973349373139737
golden,phi,0.6180339887498948,13,13,0.24,0.58,13,0.14,0.32,0.24,0.7761020881670534,0.43696930111038534,0.006775832862789385,0.1287408243929983,0.5735294117647058,0.0,0.3709150326797386,0.5735294117647058,0.4264705882352941,0.08889612504070335,0.4413671699960702,0.5097442316636391
golden,phi,0.6180339887498948,13,13,0.24,0.58,13,0.14,0.32,0.36,0.9182242990654206,0.47868453105968334,0.003952569169960474,0.06888763410502541,0.5855072463768116,0.0,0.16956521739130434,0.5855072463768116,0.4144927536231884,0.10908498860306089,0.4679583107979778,0.5840421889764178
