flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_recall_gain,best_pass_through,best_split_threshold,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.6541524260408209,13,13,0.08,0.78,21,0.08,0.18,0.36,0.5625442333302664,0.47665479368109576,0.0,0.4056636673118535,0.5233452063189042,0.22931002204882986,0.1463400323420707
silver,metallic,0.696041730351814,21,13,0.08,0.78,21,0.08,0.18,0.36,0.5978060628426697,0.6397497511525491,0.0,0.1777671310807119,0.36025024884745094,0.2249563066429276,0.19363737449981228
bounded_cf_2,bounded_cf,0.6819400797467359,21,13,0.08,0.68,13,0.08,0.18,0.36,0.6193799809721937,0.5325158226470825,0.0,0.09613417160767954,0.46748417735291753,0.1774049063932456,0.22107728872154547
random_cf_1,random_cf,0.6951032078611478,21,13,0.08,0.78,21,0.08,0.18,0.36,0.6264909622037282,0.5991156169654732,0.0,0.09861223321588437,0.4008843830345267,0.18636548173329845,0.2490270406495848
fib_13_21,rational,0.6220328949763596,21,13,0.08,0.78,21,0.08,0.18,0.36,0.5610896891212759,0.6043413381341831,0.0,0.10331499408280699,0.39565866186581683,0.38338774534230363,0.151167223375751
pi_mod1,constant,0.6881162514638979,21,13,0.08,0.78,13,0.14,0.32,0.36,0.6129737496428269,0.6040784933946085,0.0,0.10033149325966606,0.3959215066053914,0.1922441886128735,0.21115080678753329
