flow,real_score,same_field_recall_rate,same_core_recall_rate,no_binding_gap,shuffled_phase_gap,no_multiscale_gap,no_band_gap,exact_band_gap,novelty_band_gap,wrong_center_gap,razor_band_gap
bounded_cf_2,0.7763900941916941,0.9445114595898673,0.2738238841978287,0.0556908657300329,0.002185668265215379,0.010291643954608132,0.017320513228413992,0.0015958493458575473,0.014098608077775632,0.018355517262329535,0.011779057702949625
fib_13_21,0.7086363971520944,0.9924433249370277,0.21536523929471033,-0.011896031866861168,-0.00034885396401374,0.011443929840003197,-0.0005310339978571443,-0.0010298557877818082,-0.0029591756473572595,-0.0011752103891228272,0.002296155911647446
golden,0.8231771506985186,0.849971477467199,0.46035367940673133,0.01320896300807195,-0.0030522827354420023,0.018946127360034204,0.01409814707415713,0.000581795170353061,0.017125323885576305,0.011537875559295863,0.011003891560859236
pi_mod1,0.7894763062032037,0.9715976331360947,0.26272189349112424,0.07966864935690354,0.0012150198072239382,0.00919367928923942,0.009908073435362819,0.0019841758949558086,0.005960329608089676,0.010012619599299777,0.0027955602352341957
random_cf_1,0.7816213058153001,0.8907563025210085,0.25690276110444177,0.020190190205706338,0.00625716992557368,0.008930764374335709,0.009818715556909385,0.0031337163909300747,0.005857035648186848,0.00862461489191968,0.004951073430940256
silver,0.7861998083717562,0.9681372549019608,0.3137254901960784,0.02414221939795802,0.0024279391393240424,0.007206529457345567,0.013924799962455325,0.0018577713525324002,0.010453058575496055,0.010938448881956275,0.011090211312939968
