flow,family,best_score,best_delay,best_slot_count,best_recall_window,best_recall_gain,best_drift_rate,best_split_threshold,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_drift_rate,mean_split_rate,density_gap
golden,phi,0.8331239825347097,13,13,21,0.2,0.0,0.18,0.7227513481067982,0.7119345470900657,0.7119345470900657,0.28806545290993435,0.13760142399436848,0.24505006962027331
silver,metallic,0.8384766012769915,21,13,13,0.06,0.0,0.18,0.7381907650673708,0.7228583878754444,0.7228583878754444,0.2771416121245554,0.11243535702837179,0.27305096680637264
bounded_cf_2,bounded_cf,0.8218027565685594,21,13,13,0.06,0.0,0.18,0.7208936186768631,0.7006637876128722,0.7006637876128722,0.2993362123871279,0.12625579312826915,0.2622018779603813
random_cf_1,random_cf,0.8277801323885972,21,13,21,0.2,0.0,0.18,0.7383370469856486,0.7427950425491882,0.7427950425491882,0.2572049574508116,0.11227003588957485,0.3054449462930219
fib_13_21,rational,0.8160114763658999,21,13,13,0.2,0.0,0.18,0.6931649472885126,0.7204972961599402,0.7204972961599402,0.2795027038400598,0.17458410365290908,0.22357935704234627
pi_mod1,constant,0.8176537534005941,21,13,13,0.06,0.0,0.18,0.7302469428881481,0.7345986035694033,0.7345986035694033,0.2654013964305967,0.10437080213956207,0.26839886859266154
