flow,family,alpha,best_delay,best_slot_count,recall_window,recall_gain,drift_rate,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,13,0.06,0.0,0.18,0.9165751920965971,0.4782359679266896,0.003952569169960474,0.010163749294184076,1.0,1.0,0.0,0.11527189840442853,0.4515799455522147,0.830021355790082
golden,phi,0.6180339887498948,13,13,13,0.06,0.0,0.3,0.9165751920965971,0.4782359679266896,0.003952569169960474,0.010163749294184076,1.0,1.0,0.0,0.11527189840442853,0.4515799455522147,0.830021355790082
golden,phi,0.6180339887498948,13,13,13,0.06,0.0,0.44,0.9165751920965971,0.4782359679266896,0.003952569169960474,0.010163749294184076,1.0,1.0,0.0,0.11527189840442853,0.4515799455522147,0.830021355790082
golden,phi,0.6180339887498948,13,13,13,0.06,0.4763636363636364,0.18,0.684393063583815,0.40631434454358273,0.00846979107848673,0.16883116883116883,0.5236363636363637,0.5236363636363637,0.3527272727272727,0.09117551286225985,0.4673205801358765,0.6000315702557092
golden,phi,0.6180339887498948,13,13,13,0.06,0.44258872651356995,0.3,0.7356194690265486,0.4238368387507967,0.003952569169960474,0.1101072840203275,0.55741127348643,0.55741127348643,0.18997912317327767,0.09312927385216542,0.4686320724888795,0.6590990899208601
golden,phi,0.6180339887498948,13,13,13,0.06,0.430939226519337,0.44,0.9125993189557321,0.4771513353115727,0.003952569169960474,0.044607566346696784,0.569060773480663,0.569060773480663,0.061694290976058934,0.11331813741452296,0.46038981432977166,0.7314131960961343
golden,phi,0.6180339887498948,13,13,13,0.06,0.4794520547945205,0.18,0.6751445086705202,0.4030365769496204,0.00846979107848673,0.17334839073969507,0.5205479452054794,0.5205479452054794,0.3723536737235367,0.0882448713774015,0.46942370908392816,0.5984156409688113
golden,phi,0.6180339887498948,13,13,13,0.06,0.4490644490644491,0.3,0.7552836484983315,0.4302915082382763,0.003952569169960474,0.10502540937323546,0.5509355509355509,0.5509355509355509,0.18295218295218296,0.09671116900032563,0.4684216515853269,0.6650689478112481
golden,phi,0.6180339887498948,13,13,13,0.06,0.4392523364485981,0.44,0.8851351351351351,0.46953405017921146,0.003952569169960474,0.050818746470920384,0.5607476635514018,0.5607476635514018,0.07476635514018691,0.11071312276131554,0.46605233097939924,0.72309567138388
golden,phi,0.6180339887498948,13,13,13,0.12,0.0,0.18,0.9215469613259668,0.4795859689476711,0.003952569169960474,0.014116318464144552,1.0,1.0,0.0,0.11592315206773038,0.4525161590072194,0.8308984420004365
golden,phi,0.6180339887498948,13,13,13,0.12,0.0,0.3,0.9215469613259668,0.4795859689476711,0.003952569169960474,0.014116318464144552,1.0,1.0,0.0,0.11592315206773038,0.4525161590072194,0.8308984420004365
golden,phi,0.6180339887498948,13,13,13,0.12,0.0,0.44,0.9215469613259668,0.4795859689476711,0.003952569169960474,0.014116318464144552,1.0,1.0,0.0,0.11592315206773038,0.4525161590072194,0.8308984420004365
golden,phi,0.6180339887498948,13,13,13,0.12,0.4712103407755582,0.18,0.6981132075471698,0.4111111111111111,0.005081874647092038,0.18181818181818182,0.5287896592244419,0.5287896592244419,0.36780258519388953,0.09182676652556171,0.4643238709981231,0.601641018483393
golden,phi,0.6180339887498948,13,13,13,0.12,0.44343434343434346,0.3,0.8189158016147635,0.45022194039315155,0.003952569169960474,0.10559006211180125,0.5565656565656566,0.5565656565656566,0.1717171717171717,0.09768804949527841,0.47291605682515014,0.6814937755551613
golden,phi,0.6180339887498948,13,13,13,0.12,0.4158878504672897,0.44,0.9168591224018475,0.4783132530120482,0.003952569169960474,0.058723884810841336,0.5841121495327103,0.5841121495327103,0.08504672897196262,0.10647997394985347,0.4701624439197979,0.7267617826143136
golden,phi,0.6180339887498948,13,13,13,0.12,0.4835566382460414,0.18,0.6888361045130641,0.4078762306610408,0.005081874647092038,0.1919819311123659,0.5164433617539586,0.5164433617539586,0.40316686967113274,0.08922175187235429,0.46976133047750857,0.6002605531285806
golden,phi,0.6180339887498948,13,13,13,0.12,0.4475025484199796,0.3,0.8104046242774566,0.44763729246487866,0.003952569169960474,0.11180124223602485,0.5524974515800204,0.5524974515800204,0.18552497451580022,0.0963855421686747,0.47279218311279514,0.6756114894820479
golden,phi,0.6180339887498948,13,13,13,0.12,0.4215867158671587,0.44,0.9244186046511628,0.48036253776435045,0.003952569169960474,0.06154714850367024,0.5784132841328413,0.5784132841328413,0.08118081180811808,0.10875936177140996,0.46828387492699153,0.7287660580910104
golden,phi,0.6180339887498948,13,13,13,0.2,0.0,0.18,0.9172259507829977,0.47841306884480744,0.003952569169960474,0.028232636928289104,1.0,1.0,0.0,0.11722565939433409,0.453833390870801,0.8295061481098535
golden,phi,0.6180339887498948,13,13,13,0.2,0.0,0.3,0.9172259507829977,0.47841306884480744,0.003952569169960474,0.028232636928289104,1.0,1.0,0.0,0.11722565939433409,0.453833390870801,0.8295061481098535
golden,phi,0.6180339887498948,13,13,13,0.2,0.0,0.44,0.9172259507829977,0.47841306884480744,0.003952569169960474,0.028232636928289104,1.0,1.0,0.0,0.11722565939433409,0.453833390870801,0.8295061481098535
golden,phi,0.6180339887498948,13,13,13,0.2,0.48444976076555024,0.18,0.7246022031823746,0.4201561391057488,0.004517221908526256,0.19988706945228685,0.5155502392344498,0.5155502392344498,0.39952153110047844,0.08857049820905243,0.47102874871661626,0.6072968106134614
golden,phi,0.6180339887498948,13,13,13,0.2,0.44308943089430897,0.3,0.8467065868263473,0.4584954604409857,0.003952569169960474,0.12535290796160362,0.556910569105691,0.556910569105691,0.1991869918699187,0.10257245197004233,0.4774499237288433,0.6785776598394755
golden,phi,0.6180339887498948,13,13,13,0.2,0.41559633027522935,0.44,0.9056603773584906,0.4752475247524752,0.003952569169960474,0.08356860530773574,0.5844036697247706,0.5844036697247706,0.09541284403669725,0.1103874959296646,0.4686779275020193,0.7199652141041952
golden,phi,0.6180339887498948,13,13,13,0.2,0.4975669099756691,0.18,0.7098765432098766,0.4151624548736462,0.005081874647092038,0.21287408243929984,0.5024330900243309,0.5024330900243309,0.4282238442822384,0.08759361771409964,0.4683333073462477,0.6033096856661474
golden,phi,0.6180339887498948,13,13,13,0.2,0.46129707112970714,0.3,0.8313253012048193,0.45394736842105265,0.003952569169960474,0.13777526821005082,0.5387029288702929,0.5387029288702929,0.2301255230125523,0.10289807880169326,0.47995912368668525,0.6664953754104221
golden,phi,0.6180339887498948,13,13,13,0.2,0.41214351425942963,0.44,0.929678188319428,0.4817788758492897,0.003952569169960474,0.0818746470920384,0.5878564857405704,0.5878564857405704,0.09291628334866606,0.1103874959296646,0.4652271062133222,0.7248376955478794
golden,phi,0.6180339887498948,13,13,21,0.06,0.0,0.18,0.9164835164835164,0.4782110091743119,0.003952569169960474,0.01129305477131564,1.0,1.0,0.0,0.11559752523607945,0.45233633328606193,0.8300519680636802
golden,phi,0.6180339887498948,13,13,21,0.06,0.0,0.3,0.9164835164835164,0.4782110091743119,0.003952569169960474,0.01129305477131564,1.0,1.0,0.0,0.11559752523607945,0.45233633328606193,0.8300519680636802
golden,phi,0.6180339887498948,13,13,21,0.06,0.0,0.44,0.9164835164835164,0.4782110091743119,0.003952569169960474,0.01129305477131564,1.0,1.0,0.0,0.11559752523607945,0.45233633328606193,0.8300519680636802
golden,phi,0.6180339887498948,13,13,21,0.06,0.46919431279620855,0.18,0.6293706293706294,0.38626609442060084,0.010163749294184076,0.20045172219085264,0.5308056872037915,0.5308056872037915,0.33175355450236965,0.08075545424943015,0.4762684445574209,0.5944070944791262
