name,family,alpha,window_size,phase,balance_score,balance_spread,complexity_deviation,periodicity_match,write_count,witness_count,release_count,pollution,delayed_retention,compression_score,tradeoff_score
golden,golden,0.6180339887498948,0.2,0.0,0.2727272727272727,2.0,0.5391098800189709,0.0,2685.0,1411.0,0.0,0.00037243947858472997,1.0,10.499996866166507,2.9827209442935203
golden,golden,0.6180339887498948,0.2,0.17,0.2727272727272727,2.0,0.5391098800189709,0.0,2685.0,1411.0,0.0,0.00037243947858472997,1.0,10.499996866166507,2.9827209442935203
golden,golden,0.6180339887498948,0.34,0.0,0.18181818181818182,2.0,0.6414908323999232,0.0,2954.0,1141.0,1.0,0.001015572105619499,1.0,10.901832491154114,2.9385373928288443
golden,golden,0.6180339887498948,0.34,0.17,0.18181818181818182,2.0,0.6414908323999232,0.0,2954.0,1141.0,1.0,0.001015572105619499,1.0,10.901832491154114,2.9385373928288443
golden,golden,0.6180339887498948,0.47,0.0,0.18181818181818182,3.0,0.6945211354302263,0.0,3486.0,610.0,0.0,0.0037292025243832474,1.0,10.390635940508005,2.9340950585080523
golden,golden,0.6180339887498948,0.47,0.17,0.18181818181818182,3.0,0.6945211354302263,0.0,3486.0,610.0,0.0,0.0037292025243832474,1.0,10.390635940508005,2.9340950585080523
silver,silver,0.41421356237309515,0.2,0.0,0.2727272727272727,2.0,0.60815749906659,0.0,2924.0,1170.0,2.0,0.0010259917920656635,1.0,10.570968530448427,2.982513455052582
silver,silver,0.41421356237309515,0.2,0.17,0.2727272727272727,2.0,0.60815749906659,0.0,2924.0,1170.0,2.0,0.0010259917920656635,1.0,10.570968530448427,2.982513455052582
silver,silver,0.41421356237309515,0.34,0.0,0.18181818181818182,3.0,0.6414908323999232,0.0,3377.0,719.0,0.0,0.005034053893988748,1.0,9.35263300455185,2.9284389573356098
silver,silver,0.41421356237309515,0.34,0.17,0.18181818181818182,3.0,0.6414908323999232,0.0,3377.0,719.0,0.0,0.005034053893988748,1.0,9.35263300455185,2.9284389573356098
silver,silver,0.41421356237309515,0.47,0.0,0.2727272727272727,2.0,0.6945211354302263,0.0,2870.0,1226.0,0.0,0.0010452961672473868,0.0,10.840160291211324,1.883694127286295
silver,silver,0.41421356237309515,0.47,0.17,0.2727272727272727,2.0,0.6945211354302263,0.0,2870.0,1226.0,0.0,0.0010452961672473868,0.0,10.840160291211324,1.883694127286295
bronze,bronze,0.30277563773199456,0.2,0.0,0.18181818181818182,3.0,0.4932945842036751,0.0,2897.0,1198.0,1.0,0.00034518467380048324,0.0,11.261169224876332,1.8406703650188663
bronze,bronze,0.30277563773199456,0.2,0.17,0.18181818181818182,3.0,0.4932945842036751,0.0,2897.0,1198.0,1.0,0.00034518467380048324,0.0,11.261169224876332,1.8406703650188663
bronze,bronze,0.30277563773199456,0.34,0.0,0.2727272727272727,3.0,0.6945211354302263,0.0,3412.0,683.0,1.0,0.0008792497069167644,0.0,12.00145121855036,1.8889869973836537
bronze,bronze,0.30277563773199456,0.34,0.17,0.2727272727272727,3.0,0.6945211354302263,0.0,3412.0,683.0,1.0,0.0008792497069167644,0.0,12.00145121855036,1.8889869973836537
bronze,bronze,0.30277563773199456,0.47,0.0,0.18181818181818182,3.0,0.6945211354302263,0.0,2478.0,1618.0,0.0,0.0012106537530266344,1.0,10.220667884002353,2.935354668367813
bronze,bronze,0.30277563773199456,0.47,0.17,0.18181818181818182,3.0,0.6945211354302263,0.0,2478.0,1618.0,0.0,0.0012106537530266344,1.0,10.220667884002353,2.935354668367813
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.0,0.2727272727272727,2.0,0.60815749906659,0.00980392156862745,4026.0,70.0,0.0,0.03452558370591158,0.0,15.540297103455627,1.851323705988538
near_golden_m0_020,near_golden,0.5980339887498948,0.2,0.17,0.2727272727272727,2.0,0.60815749906659,0.00980392156862745,4026.0,70.0,0.0,0.03452558370591158,0.0,15.540297103455627,1.851323705988538
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.0,0.18181818181818182,3.0,0.6414908323999232,0.0,3070.0,984.0,42.0,0.000977198697068404,1.0,10.642885041463295,2.9374174949774696
near_golden_m0_020,near_golden,0.5980339887498948,0.34,0.17,0.18181818181818182,3.0,0.6414908323999232,0.0,3070.0,984.0,42.0,0.000977198697068404,1.0,10.642885041463295,2.9374174949774696
