flow,family,spread_rate,differentiation_score,integration_score,recovery_score,uniformity_penalty,locality_penalty,overload_penalty,score
silver,metallic,0.7548076923076923,0.5810254059262814,1.0,5.285398416849809e-25,0.0,0.0,0.9999999999999999,0.36310310711898847
bounded_cf_2,bounded_cf,0.8689903846153847,0.5205166725528949,1.0,5.193472259770461e-33,0.0,0.0,0.9999999999999999,0.32232653900224867
golden,phi,0.8852163461538463,0.49800809191720474,1.0,1.9982107577624965e-29,0.0,0.0,0.9999999999999999,0.314933358755892
random_cf_1,random_cf,0.9423076923076923,0.4340251305935977,1.0,4.8029907413029414e-32,0.0,0.0,0.9999999999999999,0.2949748162228664
fib_13_21,rational,0.9705528846153846,0.40032591418857644,1.0,1.4087210140780732e-36,0.0,0.0,0.9999999999999999,0.28537236772211644
pi_mod1,constant,0.9651442307692307,0.34849402422598924,1.0,1.2966502508800357e-44,0.0,0.0,0.9999999999999999,0.27202884146001566
