flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_basin_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,gap_from_real
bounded_cf_2,bounded_cf,basin_break,0.7929265944809938,0.7450980392156863,0.42696629213483145,0.11146838156484459,0.12540192926045016,0.5602968460111317,0.15213358070500926,0.5602968460111317,0.09833024118738404,0.0,0.4397031539888683,0.09899055682188213,0.5451244512216111,-0.0013926931200689552
random_cf_1,random_cf,real,0.7947476766859443,0.7573529411764706,0.4309623430962343,0.06915477497255763,0.1437980241492865,0.5841784989858012,0.17038539553752535,0.5841784989858012,0.12778904665314403,0.0,0.4158215010141988,0.0801042005861283,0.5969976911605128,0.0
random_cf_1,random_cf,shuffled_similarity,0.7283278358995557,0.7423887587822015,0.4260752688172043,0.08122941822173436,0.10208562019758508,0.31968810916179335,0.08771929824561403,0.31968810916179335,0.07602339181286549,0.0,0.6803118908382066,0.08205796157603387,0.5959446156663613,0.06641984078638852
random_cf_1,random_cf,random_tint,0.7695955468685001,0.7573529411764706,0.4309623430962343,0.06915477497255763,0.1437980241492865,0.5841784989858012,0.17038539553752535,0.5841784989858012,0.12778904665314403,0.1257606490872211,0.4158215010141988,0.0801042005861283,0.5969976911605128,0.02515212981744419
random_cf_1,random_cf,basin_break,0.7921399718709627,0.7396593673965937,0.4251748251748252,0.07464324917672886,0.14050493962678376,0.5976095617529881,0.1752988047808765,0.5976095617529881,0.1294820717131474,0.0,0.40239043824701193,0.0801042005861283,0.6011903689418931,0.002607704814981515
fib_13_21,rational,real,0.721420664328666,0.6446280991735537,0.39195979899497485,0.06602768903088392,0.29818956336528224,0.7441077441077442,0.22053872053872053,0.7441077441077442,0.22727272727272727,0.0,0.2558922558922559,0.07228915662650602,0.6056337516173684,0.0
fib_13_21,rational,shuffled_similarity,0.7218689273042629,0.7069408740359897,0.4141566265060241,0.059637912673056445,0.23322683706070288,0.43582089552238806,0.16567164179104477,0.43582089552238806,0.16119402985074627,0.0,0.564179104477612,0.08563985672419408,0.3745794836873839,-0.0004482629755968581
fib_13_21,rational,random_tint,0.6850570279650297,0.6446280991735537,0.39195979899497485,0.06602768903088392,0.29818956336528224,0.7441077441077442,0.22053872053872053,0.7441077441077442,0.22727272727272727,0.18181818181818182,0.2558922558922559,0.07228915662650602,0.6056337516173684,0.036363636363636376
fib_13_21,rational,basin_break,0.7225122074046931,0.6584699453551912,0.3970345963756178,0.058572949946751864,0.29499467518636846,0.7641357027463651,0.2407108239095315,0.7641357027463651,0.2245557350565428,0.0,0.2358642972536349,0.0742429176164116,0.6041092975045079,-0.0010915430760271017
pi_mod1,constant,real,0.8000799337684628,0.7566909975669099,0.4307479224376731,0.06531049250535331,0.16167023554603854,0.5982456140350877,0.18596491228070175,0.5982456140350877,0.08771929824561403,0.0,0.4017543859649123,0.09899055682188213,0.5357176406150794,0.0
pi_mod1,constant,shuffled_similarity,0.7389679340154024,0.8018433179723502,0.44501278772378516,0.06852248394004283,0.09421841541755889,0.327212020033389,0.08848080133555926,0.327212020033389,0.06176961602671119,0.0,0.672787979966611,0.11071312276131554,0.5317380101122895,0.061111999753060364
pi_mod1,constant,random_tint,0.7677992320140768,0.7566909975669099,0.4307479224376731,0.06531049250535331,0.16167023554603854,0.5982456140350877,0.18596491228070175,0.5982456140350877,0.08771929824561403,0.16140350877192983,0.4017543859649123,0.09899055682188213,0.5357176406150794,0.03228070175438591
pi_mod1,constant,basin_break,0.8010961512350723,0.7583732057416268,0.4312925170068027,0.069593147751606,0.14346895074946467,0.5860869565217391,0.18434782608695652,0.5860869565217391,0.08695652173913043,0.0,0.41391304347826086,0.10094431781178768,0.5367683987494865,-0.0010162174666095147
