flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,phase_bind_gain,phase_bind_threshold,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.55,0.14,3,1.8,0.08,0.08,0.14,0.42,0.24,0.9436619718309859,0.4855072463768116,0.002258610954263128,0.14059853190287974,0.880187025131502,0.3489187609585038,0.880187025131502,0.10753945061367622,0.0,0.11981297486849796,3.45703125,0.576171875,0.10192119830674047,0.4906224722444549,0.7914946629123976
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.72,0.08,3,1.8,0.14,0.04,0.08,0.18,0.36,0.9294554455445545,0.4817190506735087,0.002258610954263128,0.11744776962168267,0.9392523364485982,0.37149532710280375,0.9392523364485982,0.07476635514018691,0.0,0.06074766355140187,3.45703125,0.576171875,0.10680560078150439,0.4843944539451631,0.7893601240920578
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,13,0.55,0.08,3,1.2,0.08,0.08,0.14,0.3,0.24,0.9092071611253197,0.47622237106496984,0.002258610954263128,0.1547148503670243,0.9265569917743831,0.3490011750881316,0.9265569917743831,0.10634547591069331,0.0,0.07344300822561692,3.45703125,0.576171875,0.10257245197004233,0.49147839450035813,0.7781729284635256
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.72,0.08,3,1.2,0.14,0.04,0.14,0.3,0.24,0.851228978007762,0.45981830887491265,0.002258610954263128,0.18972332015810275,0.9235364396654719,0.33691756272401435,0.9235364396654719,0.1111111111111111,0.0,0.07646356033452807,3.45703125,0.576171875,0.08726799088244871,0.4919530491010501,0.765833267761089
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,3,1.8,0.08,0.08,0.14,0.42,0.36,0.8914919852034525,0.47131681877444587,0.002258610954263128,0.13156408808582723,0.8844621513944223,0.5036994877632328,0.8844621513944223,0.07285145133750712,0.0,0.11553784860557768,3.45703125,0.576171875,0.10257245197004233,0.4881763439791028,0.7934665537823262
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,5,1.2,0.14,0.08,0.08,0.18,0.36,0.8804878048780488,0.4682230869001297,0.002258610954263128,0.12704686617730096,0.923425978445831,0.5382870107770845,0.923425978445831,0.05672149744753262,0.0,0.07657402155416904,5.76171875,0.576171875,0.10094431781178768,0.46516819287186273,0.7871540458428375
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,13,0.72,0.14,3,1.2,0.14,0.04,0.08,0.42,0.24,0.8767650834403081,0.46716826265389877,0.002258610954263128,0.17221908526256352,0.8886986301369864,0.4737442922374429,0.8886986301369864,0.10730593607305935,0.0,0.1113013698630137,3.45703125,0.576171875,0.09084988603060892,0.4940447431827001,0.7793111017556527
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,8,0.72,0.08,5,1.8,0.14,0.04,0.14,0.3,0.36,0.8452970297029703,0.4580818242790074,0.002258610954263128,0.15584415584415584,0.9404424276800908,0.5371525808281339,0.9404424276800908,0.06296086216676121,0.0,0.05955757231990925,5.76171875,0.576171875,0.09996743731683491,0.45985488252938367,0.7751942496937894
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,13,0.55,0.08,3,1.8,0.08,0.04,0.08,0.42,0.36,0.8653366583541147,0.46390374331550804,0.002258610954263128,0.15302089215132694,0.8962962962962963,0.49230769230769234,0.8962962962962963,0.08433048433048433,0.0,0.1037037037037037,3.45703125,0.576171875,0.09671116900032563,0.49172377003054246,0.7835491300281694
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,8,0.72,0.08,3,1.2,0.14,0.08,0.14,0.3,0.36,0.9272727272727272,0.4811320754716981,0.002258610954263128,0.09994353472614342,0.9031505250875146,0.3751458576429405,0.9031505250875146,0.05367561260210035,0.0,0.09684947491248541,3.45703125,0.576171875,0.1126668837512211,0.48479691327326135,0.8023877492993226
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,8,0.72,0.14,5,1.8,0.14,0.08,0.14,0.42,0.36,0.9215219976218787,0.47957920792079206,0.002258610954263128,0.08526256352343309,0.8495726495726496,0.3606837606837607,0.8495726495726496,0.036467236467236465,0.0,0.15042735042735042,5.76171875,0.576171875,0.11755128622598503,0.46050850079854133,0.813045852371911
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,13,0.72,0.08,3,1.2,0.08,0.04,0.14,0.18,0.36,0.9526699029126213,0.48788067122436296,0.002258610954263128,0.08921513269339357,0.9076655052264808,0.3780487804878049,0.9076655052264808,0.0545876887340302,0.0,0.09233449477351917,3.45703125,0.576171875,0.11234125691957017,0.48317847292912475,0.8054241501320778
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.14,8,0.55,0.08,5,1.2,0.08,0.08,0.08,0.3,0.24,0.9251870324189526,0.4805699481865285,0.002258610954263128,0.1259175607001694,0.8957264957264958,0.3817663817663818,0.8957264957264958,0.08091168091168091,0.0,0.10427350427350428,5.76171875,0.576171875,0.11559752523607945,0.45367760267745905,0.7895877904443523
