flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_field_radius,best_field_width,best_field_support_gain,best_field_competition_gain,best_phase_bind_gain,best_phase_bind_threshold,mean_score,mean_recall_survival_rate,mean_same_core_recall_rate,mean_same_field_recall_rate,mean_field_overlap_rate,mean_phase_binding_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8254798548718583,13,13,0.04,0.78,21,3,1.8,0.08,0.08,0.14,0.42,0.7920863012658598,0.8748682791734332,0.4448949272571141,0.8748682791734332,4.438657407407407,0.576171875,0.02109768491043591,0.12513172082656682,0.06845461956751557,0.42663858511472375
silver,metallic,0.8009792641740133,21,13,0.08,0.78,21,5,1.2,0.08,0.08,0.08,0.42,0.7712239505371101,0.986593036324012,0.2621106183722486,0.986593036324012,2.332175925925926,0.302734375,0.013713018324610051,0.013406963675988023,0.02833901294002829,0.44290129641647485
bounded_cf_2,bounded_cf,0.7767058207360407,21,13,0.04,0.78,21,3,1.8,0.08,0.08,0.14,0.42,0.7530141060537089,0.9794755498316775,0.25197054978744204,0.9794755498316775,2.3371913580246915,0.3033854166666667,0.01135875191355583,0.020524450168322453,0.04360157457189714,0.4014955106929392
random_cf_1,random_cf,0.7885672410588725,21,13,0.08,0.78,21,5,1.2,0.08,0.08,0.08,0.42,0.7634692078587034,0.9699740896695394,0.25502092933841225,0.9699740896695394,2.277006172839506,0.24626253858024685,0.012593641446060311,0.03002591033046059,0.041839327152098184,0.43890213860501137
fib_13_21,rational,0.7441908656987192,21,13,0.08,0.78,21,5,1.8,0.08,0.08,0.08,0.3,0.7085954321159846,0.9966481125427707,0.29889208533576955,0.9966481125427707,2.3522376543209877,0.30526017554012347,0.011513875577759678,0.0033518874572291964,0.09597583161798069,0.3489950964515293
pi_mod1,constant,0.7841873668179287,21,13,0.08,0.78,21,5,1.2,0.08,0.08,0.08,0.42,0.7615760819800796,0.9887961870626931,0.28360785527001603,0.9887961870626931,2.339699074074074,0.2751314139660494,0.013245567162123809,0.011203812937306872,0.03778663430234553,0.3977991428949761
