flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.8231771506985186,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.0
golden,phi,no_binding,0.8099681876904467,0.9312796208530806,0.4822085889570552,0.003952569169960474,0.0756634669678148,0.43141718838929993,0.21172453044963005,0.43141718838929993,0.07398975526465566,0.0,0.5685828116107,3.45703125,0.0,0.5234375,0.23079427083333334,0.10745685444480625,0.48285531357706546,0.01320896300807195
golden,phi,shuffled_phase,0.8262294334339606,0.8768656716417911,0.4671968190854871,0.0016939582156973462,0.14624505928853754,0.8299203640500569,0.44880546075085326,0.8299203640500569,0.07394766780432309,0.0,0.17007963594994313,3.45703125,0.3841145833333333,0.5211588541666666,0.3330078125,0.10582872028655162,0.4939051630556358,-0.0030522827354420023
golden,phi,flat_binding,0.7649363019213874,0.6042496679946879,0.37665562913907286,0.000564652738565782,0.31733483907396953,0.8967780429594272,0.3937947494033413,0.8967780429594272,0.07637231503579953,0.0,0.1032219570405728,3.45703125,0.576171875,0.5325520833333334,0.435546875,0.0696841419732986,0.45934443577454454,0.058240848777131204
golden,phi,no_multiscale,0.8042310233384844,0.8695652173913043,0.46511627906976744,0.002258610954263128,0.14793901750423488,0.8454960091220068,0.45438996579247437,0.8454960091220068,0.07696693272519954,0.0,0.15450399087799316,3.45703125,0.576171875,0.0,0.33203125,0.09899055682188213,0.4939927508351468,0.018946127360034204
golden,phi,no_band,0.8090790036243615,0.9029850746268657,0.4745098039215686,0.002258610954263128,0.13382269904009034,0.7996585088218554,0.4359704040978941,0.7996585088218554,0.07683551508252703,0.0,0.20034149117814457,3.45703125,0.576171875,0.521484375,0.0,0.10615434711820254,0.4919818998309248,0.01409814707415713
silver,metallic,real,0.7861998083717562,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.0
silver,metallic,no_binding,0.7620575889737982,0.6346555323590815,0.388250319284802,0.1358288770053476,0.026737967914438502,0.4689119170984456,0.12694300518134716,0.4689119170984456,0.03238341968911917,0.0,0.5310880829015544,1.81640625,0.0,0.18815104166666666,0.08072916666666667,0.0475415174210355,0.5881855984430826,0.02414221939795802
silver,metallic,shuffled_phase,0.7858631643195891,0.847682119205298,0.45878136200716846,0.020320855614973262,0.08449197860962566,0.9478155339805825,0.30339805825242716,0.9478155339805825,0.04733009708737864,0.0,0.05218446601941747,1.81640625,0.2177734375,0.18815104166666666,0.1474609375,0.04363399544122436,0.6004780074820117,0.0003366440521670455
silver,metallic,flat_binding,0.7369290102745245,0.6540284360189573,0.3954154727793696,0.0053475935828877,0.24812834224598931,1.0,0.23916083916083916,1.0,0.06293706293706294,0.0,0.0,1.81640625,0.302734375,0.1923828125,0.1826171875,0.036795831976554866,0.6047211944533195,0.04927079809723167
silver,metallic,no_multiscale,0.7789932789144106,0.8424507658643327,0.45724465558194777,0.014973262032085561,0.08449197860962566,0.9620563035495716,0.31211750305997554,0.9620563035495716,0.046511627906976744,0.0,0.037943696450428395,1.81640625,0.302734375,0.0,0.14778645833333334,0.042005861282969716,0.5985505944445082,0.007206529457345567
silver,metallic,no_band,0.7722750084093009,0.8217391304347826,0.4510739856801909,0.019251336898395723,0.08449197860962566,0.9533169533169533,0.3108108108108108,0.9533169533169533,0.04791154791154791,0.0,0.04668304668304668,1.81640625,0.302734375,0.18977864583333334,0.0,0.042005861282969716,0.5996151059515549,0.013924799962455325
bounded_cf_2,bounded_cf,real,0.7763900941916941,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.0
bounded_cf_2,bounded_cf,no_binding,0.7206992284616612,0.6477541371158393,0.3931133428981349,0.24008574490889603,0.012861736334405145,0.3674074074074074,0.10074074074074074,0.3674074074074074,0.017777777777777778,0.0,0.6325925925925926,1.8203125,0.0,0.2610677083333333,0.057942708333333336,0.08922175187235429,0.5258264562145953,0.0556908657300329
bounded_cf_2,bounded_cf,shuffled_phase,0.7751133795035537,0.8470066518847007,0.45858343337334934,0.01822079314040729,0.08896034297963558,0.9392857142857143,0.2702380952380952,0.9392857142857143,0.06547619047619048,0.0,0.060714285714285714,1.8203125,0.24576822916666666,0.2783203125,0.14876302083333334,0.11885379355258874,0.5517227567198175,0.0012767146881403901
bounded_cf_2,bounded_cf,flat_binding,0.7515824211499674,0.7281323877068558,0.4213406292749658,0.0010718113612004287,0.21543408360128619,0.9986684420772304,0.25432756324900135,0.9986684420772304,0.05326231691078562,0.0,0.0013315579227696406,1.8203125,0.3033854166666667,0.2747395833333333,0.1904296875,0.09378052751546727,0.5503200878812387,0.024807673041726708
bounded_cf_2,bounded_cf,no_multiscale,0.766098450237086,0.8536585365853658,0.4605263157894737,0.01714898177920686,0.08681672025723473,0.9360675512665863,0.27261761158021713,0.9360675512665863,0.06755126658624849,0.0,0.06393244873341375,1.8203125,0.3033854166666667,0.0,0.14485677083333334,0.1185281667209378,0.550628025059203,0.010291643954608132
bounded_cf_2,bounded_cf,no_band,0.7590695809632801,0.7987012987012987,0.44404332129963897,0.02572347266881029,0.08360128617363344,0.9229843561973526,0.2611311672683514,0.9229843561973526,0.06257521058965103,0.0,0.07701564380264742,1.8203125,0.3033854166666667,0.2760416666666667,0.0,0.11429501790947574,0.5491848214483477,0.017320513228413992
random_cf_1,random_cf,real,0.7816213058153001,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.0
random_cf_1,random_cf,no_binding,0.7614311156095938,0.6789838337182448,0.40440165061898214,0.1690450054884742,0.03293084522502744,0.4252577319587629,0.12886597938144329,0.4252577319587629,0.03865979381443299,0.0,0.5747422680412371,1.7734375,0.0,0.24609375,0.07096354166666667,0.0846629762292413,0.5942612414401782,0.020190190205706338
random_cf_1,random_cf,shuffled_phase,0.7751359807669145,0.8235294117647058,0.45161290322580644,0.01756311745334797,0.09769484083424808,0.936969696969697,0.2787878787878788,0.936969696969697,0.06787878787878789,0.0,0.06303030303030303,1.7734375,0.20052083333333334,0.2565104166666667,0.1396484375,0.08987300553565614,0.6016677224938665,0.006485325048385615
random_cf_1,random_cf,flat_binding,0.7386250379115007,0.6666666666666666,0.4,0.003293084522502744,0.2557628979143798,1.0,0.21335268505079827,1.0,0.062409288824383166,0.0,0.0,1.7734375,0.2955729166666667,0.2506510416666667,0.17708333333333334,0.05665906870726148,0.6098618908173619,0.0429962679037994
random_cf_1,random_cf,no_multiscale,0.7726905414409644,0.8449074074074074,0.45796737766624845,0.019758507135016465,0.10537870472008781,0.8800959232613909,0.2541966426858513,0.8800959232613909,0.07314148681055156,0.0,0.11990407673860912,1.7734375,0.17350260416666666,0.0,0.1474609375,0.09084988603060892,0.6070913064697043,0.008930764374335709
random_cf_1,random_cf,no_band,0.7718025902583907,0.8356164383561644,0.4552238805970149,0.019758507135016465,0.09769484083424808,0.8724672228843862,0.2526817640047676,0.8724672228843862,0.07032181168057211,0.0,0.12753277711561384,1.7734375,0.17350260416666666,0.2571614583333333,0.0,0.09019863236730706,0.6052295484061319,0.009818715556909385
