flow,real_score,same_field_recall_rate,split_rate,no_binding_gap,shuffled_phase_gap,flat_binding_gap,no_multiscale_gap,no_band_gap
bounded_cf_2,0.7763900941916941,0.9445114595898673,0.06755126658624849,0.0556908657300329,0.0012767146881403901,0.024807673041726708,0.010291643954608132,0.017320513228413992
fib_13_21,0.7086363971520944,0.9924433249370277,0.06926952141057935,-0.011896031866861168,-0.0021163954840777155,0.05533995559481453,0.011443929840003197,-0.0005310339978571443
golden,0.8231771506985186,0.849971477467199,0.0775812892184826,0.01320896300807195,-0.0030522827354420023,0.058240848777131204,0.018946127360034204,0.01409814707415713
pi_mod1,0.7894763062032037,0.9715976331360947,0.0035502958579881655,0.07966864935690354,-0.0030756194560852546,0.034695231355984846,0.00919367928923942,0.009908073435362819
random_cf_1,0.7816213058153001,0.8907563025210085,0.07202881152460984,0.020190190205706338,0.006485325048385615,0.0429962679037994,0.008930764374335709,0.009818715556909385
silver,0.7861998083717562,0.9681372549019608,0.04656862745098039,0.02414221939795802,0.0003366440521670455,0.04927079809723167,0.007206529457345567,0.013924799962455325
