flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_family_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.8068321579989374,0.9178255372945638,0.47857613711272246,0.003952569169960474,0.13946922642574816,0.4732965009208103,0.19705340699815838,0.4732965009208103,0.12338858195211787,0.0,0.5267034990791897,0.0986649299902312,0.48673489113149304,0.0
golden,phi,shuffled_similarity,0.7316037583428395,0.9187192118226601,0.47881899871630296,0.003952569169960474,0.1163184641445511,0.30829800121138706,0.11932162325863113,0.30829800121138706,0.1029678982434888,0.0,0.6917019987886129,0.10061869098013676,0.4634461889114184,0.07522839965609784
golden,phi,random_tint,0.7820316669001037,0.9178255372945638,0.47857613711272246,0.003952569169960474,0.13946922642574816,0.4732965009208103,0.19705340699815838,0.4732965009208103,0.12338858195211787,0.1240024554941682,0.5267034990791897,0.0986649299902312,0.48673489113149304,0.024800491098833644
golden,phi,family_break,0.8046119208957326,0.9298469387755102,0.48182419035029744,0.003952569169960474,0.1417278373800113,0.46617915904936014,0.1736745886654479,0.46617915904936014,0.125533211456429,0.0,0.5338208409506399,0.10029306414848584,0.4916522185412173,0.0022202371032047363
silver,metallic,real,0.7898422881354512,0.7389033942558747,0.42492492492492495,0.06417112299465241,0.2235294117647059,0.45739910313901344,0.09192825112107623,0.45739910313901344,0.07399103139013453,0.0,0.5426008968609866,0.04005210029306415,0.5978733658151043,0.0
silver,metallic,shuffled_similarity,0.6825434000868893,0.7598152424942263,0.431758530183727,0.06310160427807486,0.12192513368983957,0.22040816326530613,0.0673469387755102,0.22040816326530613,0.04693877551020408,0.0,0.7795918367346939,0.045587756431129924,0.5922119318128811,0.10729888804856191
silver,metallic,random_tint,0.7346853374628055,0.7389033942558747,0.42492492492492495,0.06417112299465241,0.2235294117647059,0.45739910313901344,0.09192825112107623,0.45739910313901344,0.07399103139013453,0.2757847533632287,0.5426008968609866,0.04005210029306415,0.5978733658151043,0.0551569506726457
silver,metallic,family_break,0.7744072699146765,0.7082294264339152,0.4145985401459854,0.059893048128342244,0.20748663101604278,0.4436936936936937,0.11936936936936937,0.4436936936936937,0.1036036036036036,0.0,0.5563063063063063,0.03972647346141322,0.5947365567683061,0.015435018220774754
bounded_cf_2,bounded_cf,real,0.7854459867030512,0.7215496368038741,0.4191279887482419,0.10718113612004287,0.1307609860664523,0.5549242424242424,0.1534090909090909,0.5549242424242424,0.10795454545454546,0.0,0.44507575757575757,0.09671116900032563,0.5456143430324858,0.0
bounded_cf_2,bounded_cf,shuffled_similarity,0.7364819204073111,0.7511737089201878,0.4289544235924933,0.10396570203644159,0.09646302250803858,0.3333333333333333,0.08912655971479501,0.3333333333333333,0.0659536541889483,0.0,0.6666666666666666,0.10322370563334418,0.5434057488749942,0.04896406629574013
bounded_cf_2,bounded_cf,random_tint,0.7574156836727483,0.7215496368038741,0.4191279887482419,0.10718113612004287,0.1307609860664523,0.5549242424242424,0.1534090909090909,0.5549242424242424,0.10795454545454546,0.14015151515151514,0.44507575757575757,0.09671116900032563,0.5456143430324858,0.02803030303030296
