flow,real_score,same_slot_recall_rate,same_family_recall_rate,context_distortion_rate,split_rate,shuffled_similarity_gap,random_tint_gap,family_break_gap
bounded_cf_2,0.7854459867030512,0.1534090909090909,0.5549242424242424,0.0,0.10795454545454546,0.04896406629574013,0.02803030303030296,-0.006171327444125074
fib_13_21,0.72045380007117,0.250814332247557,0.752442996742671,0.0,0.255700325732899,0.007798518168384061,0.03488045968158027,0.04146488534417281
golden,0.8068321579989374,0.19705340699815838,0.4732965009208103,0.0,0.12338858195211787,0.07522839965609784,0.024800491098833644,0.0022202371032047363
pi_mod1,0.7970818431222172,0.18181818181818182,0.5971479500891266,0.0,0.09982174688057041,0.07623657773386272,0.030523700293068168,0.003336976821214921
random_cf_1,0.7940207431567413,0.17857142857142858,0.6031746031746031,0.0,0.13293650793650794,0.09137107934569733,0.028968253968253976,-0.00686821323681841
silver,0.7898422881354512,0.09192825112107623,0.45739910313901344,0.0,0.07399103139013453,0.10729888804856191,0.0551569506726457,0.015435018220774754
