flow,family,mode,spread_rate,differentiation_score,integration_score,recovery_score,uniformity_penalty,locality_penalty,overload_penalty,score
golden,phi,point_slot,0.4296875000000001,0.7902453458168355,1.0,5.644557920596753e-13,0.0,0.0,0.9999999999999999,0.6549965932798443
golden,phi,flat_local_cloud,0.9477163461538463,0.354080149581852,1.0,2.161893349163055e-40,0.0,0.0,0.9999999999999999,0.2739975585154119
golden,phi,global_smooth_cloud,0.9795673076923077,0.07576255536829703,1.0,1.2840531017017386e-51,0.5672644055477959,0.0,0.9999999999999999,0.14406298670892598
golden,phi,coherence_weighted_cloud,0.8852163461538463,0.49800809191720474,1.0,1.9982107577624965e-29,0.0,0.0,0.9999999999999999,0.314933358755892
golden,phi,context_gated_cloud,0.6610576923076923,0.6471950101668917,0.9999999999999999,2.9107980059558804e-09,0.0,0.0,0.6623165381220251,0.4512760205412427
silver,metallic,point_slot,0.38521634615384615,0.8181231215068201,1.0,6.762999443694156e-13,0.0,0.0,0.9999999999999999,0.6725944610454364
silver,metallic,flat_local_cloud,0.8485576923076925,0.4342958524395492,1.0,1.1064814948884854e-34,0.0,0.0,0.9999999999999999,0.3023736761325957
silver,metallic,global_smooth_cloud,0.954326923076923,0.08226121730005725,1.0,1.2840531017017386e-51,0.5181930653295574,0.0,0.9999999999999999,0.15129233901380956
silver,metallic,coherence_weighted_cloud,0.7548076923076923,0.5810254059262814,1.0,5.285398416849809e-25,0.0,0.0,0.9999999999999999,0.36310310711898847
silver,metallic,context_gated_cloud,0.5673076923076923,0.6693626697368528,1.0,1.3640475064059175e-08,0.0,0.0,0.6091902164967767,0.540420467286039
bounded_cf_2,bounded_cf,point_slot,0.4038461538461539,0.8258806168428864,1.0,5.935690655249329e-15,0.0,0.0,0.9999999999999999,0.6722826273943577
bounded_cf_2,bounded_cf,flat_local_cloud,0.9182692307692308,0.36463090924747854,1.0,2.521713633321288e-42,0.0,0.0,0.9999999999999999,0.27800544061442606
bounded_cf_2,bounded_cf,global_smooth_cloud,0.9723557692307692,0.0808382366501594,1.0,1.2840531017017386e-51,0.5356695148906319,0.0,0.9999999999999999,0.1486969323427599
bounded_cf_2,bounded_cf,coherence_weighted_cloud,0.8689903846153847,0.5205166725528949,1.0,5.193472259770461e-33,0.0,0.0,0.9999999999999999,0.32232653900224867
bounded_cf_2,bounded_cf,context_gated_cloud,0.641826923076923,0.6389614158951308,1.0,6.495862502678277e-09,0.0,0.0,0.3083252259080124,0.4848398862663953
random_cf_1,random_cf,point_slot,0.5084134615384615,0.7631362879645821,1.0,7.607919983283204e-14,0.0,0.0,0.9999999999999999,0.5955058726270516
random_cf_1,random_cf,flat_local_cloud,0.9675480769230769,0.29250870520468975,1.0,9.099544320839934e-45,0.0,0.0,0.9999999999999999,0.2574121923128239
random_cf_1,random_cf,global_smooth_cloud,0.9861778846153846,0.0643101486173751,1.0,1.2840531017017386e-51,0.6338376272665847,0.0,0.9999999999999999,0.13430174754761154
random_cf_1,random_cf,coherence_weighted_cloud,0.9423076923076923,0.4340251305935977,1.0,4.8029907413029414e-32,0.0,0.0,0.9999999999999999,0.2949748162228664
random_cf_1,random_cf,context_gated_cloud,0.7403846153846154,0.5698589283278681,1.0,4.16702315664711e-08,0.0,0.0,0.15035289766482618,0.4168743557191893
fib_13_21,rational,point_slot,0.3924278846153847,0.8277897708425928,1.0,6.970668191156775e-12,0.0,0.0,0.9999999999999999,0.6745587486041137
fib_13_21,rational,flat_local_cloud,0.9819711538461539,0.18492347860891492,1.0,2.216300853578325e-48,0.0,0.0,0.9999999999999999,0.2291236991824704
fib_13_21,rational,global_smooth_cloud,0.9861778846153846,0.07756527007584059,1.0,1.2840531017017386e-51,0.5612159181541987,0.0,0.9999999999999999,0.14501025003805118
fib_13_21,rational,coherence_weighted_cloud,0.9705528846153846,0.40032591418857644,1.0,1.4087210140780732e-36,0.0,0.0,0.9999999999999999,0.28537236772211644
fib_13_21,rational,context_gated_cloud,0.6971153846153846,0.6170462276842508,1.0,2.7112917330737933e-06,0.0,0.0,0.4438022917079635,0.43312197434854915
pi_mod1,constant,point_slot,0.5048076923076923,0.7642650121795154,1.0,4.4147898536860216e-14,0.0,0.0,0.9999999999999999,0.5988798811300546
pi_mod1,constant,flat_local_cloud,0.9645432692307693,0.16945138379634092,1.0,4.607658130977476e-49,0.05652553754965549,0.0,0.9999999999999999,0.21984069322598965
pi_mod1,constant,global_smooth_cloud,0.9651442307692308,0.0862348054821193,1.0,1.2840531017017386e-51,0.5027607585327071,0.0,0.9999999999999999,0.15356536873333876
pi_mod1,constant,coherence_weighted_cloud,0.9651442307692307,0.34849402422598924,1.0,1.2966502508800357e-44,0.0,0.0,0.9999999999999999,0.27202884146001566
pi_mod1,constant,context_gated_cloud,0.7716346153846155,0.5575074413527618,1.0,1.25042265064725e-07,0.0,0.0,0.06452597693567282,0.4073352401782263
