flow,best_mode,real_score,spread_rate,differentiation_score,integration_score,recovery_score,real_vs_point_gap,real_vs_flat_gap,real_vs_global_gap,real_vs_gated_gap
bounded_cf_2,point_slot,0.32232653900224867,0.8689903846153847,0.5205166725528949,1.0,5.193472259770461e-33,-0.34995608839210907,0.04432109838782261,0.17362960665948876,-0.16251334726414662
fib_13_21,point_slot,0.28537236772211644,0.9705528846153846,0.40032591418857644,1.0,1.4087210140780732e-36,-0.38918638088199725,0.05624866853964605,0.14036211768406526,-0.14774960662643272
golden,point_slot,0.314933358755892,0.8852163461538463,0.49800809191720474,1.0,1.9982107577624965e-29,-0.34006323452395226,0.0409358002404801,0.17087037204696603,-0.1363426617853507
pi_mod1,point_slot,0.27202884146001566,0.9651442307692307,0.34849402422598924,1.0,1.2966502508800357e-44,-0.326851039670039,0.05218814823402601,0.1184634727266769,-0.13530639871821065
random_cf_1,point_slot,0.2949748162228664,0.9423076923076923,0.4340251305935977,1.0,4.8029907413029414e-32,-0.30053105640418515,0.0375626239100425,0.16067306867525488,-0.12189953949632287
silver,point_slot,0.36310310711898847,0.7548076923076923,0.5810254059262814,1.0,5.285398416849809e-25,-0.30949135392644794,0.060729430986392774,0.2118107681051789,-0.17731736016705052
