model,anchor,family,alpha,offset,window_width,beta,learning_rate,model_rate,surprise_high,revision_threshold,coherence_limit,write_threshold,write_count,witness_count,admission_rate,write_rate,witness_rate,revision_rate,mean_revision_size,delayed_retention,pollution,phase_lock_resistance,composite_score
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.035,0.04,0.28,0.12,0.5,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.014817274931732429,0.3977272727272727,0.01709819247679531,0.5096096154177394,0.4076027956878207
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.035,0.04,0.28,0.12,0.5,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.014735952107800487,0.3977272727272727,0.01709819247679531,0.5581541058993496,0.4162696465035701
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.035,0.04,0.28,0.12,0.5,0.48,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.014913444181778226,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4606887136884432
raw_write,golden,phi,0.6300339887498948,0.012,0.18,0.0,0.035,0.04,0.28,0.12,0.5,0.48,39.0,49.0,1.0,0.4431818181818182,0.5568181818181818,0.0,0.014447154000003959,0.4431818181818182,0.019052271617000488,0.6670128665114261,0.44851529070912044
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.035,0.04,0.28,0.12,0.5,0.48,32.0,59.0,1.0,0.3516483516483517,0.6483516483516484,0.0,0.013562336564186608,0.3516483516483517,0.015632633121641426,0.6068314867574371,0.41087211013649916
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.035,0.04,0.42,0.12,0.2,0.62,26.0,62.0,1.0,0.29545454545454547,0.7045454545454546,0.0,0.014817274931732429,0.29545454545454547,0.012701514411333659,0.5133752904004105,0.37924714449537994
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.035,0.04,0.42,0.12,0.2,0.62,26.0,62.0,1.0,0.29545454545454547,0.7045454545454546,0.0,0.014735952107800487,0.29545454545454547,0.012701514411333659,0.5647425038486529,0.38842208544512313
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.035,0.04,0.42,0.12,0.2,0.62,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.014913444181778226,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4606887136884432
raw_write,golden,phi,0.6300339887498948,0.012,0.18,0.0,0.035,0.04,0.42,0.12,0.2,0.62,30.0,58.0,1.0,0.3409090909090909,0.6590909090909091,0.0,0.014447154000003959,0.3409090909090909,0.014655593551538837,0.6680784177936867,0.41967361725060576
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.035,0.04,0.42,0.12,0.2,0.62,21.0,70.0,1.0,0.23076923076923078,0.7692307692307693,0.0,0.013562336564186608,0.23076923076923078,0.010258915486077186,0.607598641648025,0.37671240494519653
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.035,0.08,0.28,0.035,0.34,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.02833888724817423,0.3977272727272727,0.01709819247679531,0.5096096154177394,0.4194342064647073
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.035,0.08,0.28,0.035,0.34,0.48,35.0,53.0,1.0,0.3977272727272727,0.6022727272727273,0.0,0.028425940485081947,0.3977272727272727,0.01709819247679531,0.5581541058993496,0.4282483863336914
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.035,0.08,0.28,0.035,0.34,0.48,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.029027095943888546,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4730381589802897
raw_write,golden,phi,0.6300339887498948,0.012,0.18,0.0,0.035,0.08,0.28,0.035,0.34,0.48,39.0,49.0,1.0,0.4431818181818182,0.5568181818181818,0.0,0.02823881229629665,0.4431818181818182,0.019052271617000488,0.6670128665114261,0.4605829917183765
raw_write,golden,phi,0.6420339887498948,0.024,0.18,0.0,0.035,0.08,0.28,0.035,0.34,0.48,32.0,59.0,1.0,0.3516483516483517,0.6483516483516484,0.0,0.025542912474191104,0.3516483516483517,0.015632633121641426,0.6068314867574371,0.4213551140577531
raw_write,golden,phi,0.5940339887498948,-0.024,0.18,0.0,0.035,0.08,0.42,0.035,0.2,0.62,26.0,62.0,1.0,0.29545454545454547,0.7045454545454546,0.0,0.02833888724817423,0.29545454545454547,0.012701514411333659,0.5133752904004105,0.39107855527226654
raw_write,golden,phi,0.6060339887498948,-0.012,0.18,0.0,0.035,0.08,0.42,0.035,0.2,0.62,26.0,62.0,1.0,0.29545454545454547,0.7045454545454546,0.0,0.028425940485081947,0.29545454545454547,0.012701514411333659,0.5647425038486529,0.4004008252752444
raw_write,golden,phi,0.6180339887498948,0.0,0.18,0.0,0.035,0.08,0.42,0.035,0.2,0.62,39.0,48.0,1.0,0.4482758620689655,0.5517241379310345,0.0,0.029027095943888546,0.4482758620689655,0.019052271617000488,0.7242206900723941,0.4730381589802897
