model,best_anchor,best_composite,mean_composite,mean_admission_rate,mean_write_rate,mean_revision_rate,mean_revision_size,mean_surrogate_gap
raw_write,bounded_cf_2,0.5001248830031663,0.41890471290942544,0.9666666666666667,0.34551648892576176,0.0,0.03231501919689363,-0.08946129996814123
surprise_only,bounded_cf_2,0.6280163880618204,0.5406320065662118,0.4052885498591848,0.9666666666666667,0.0,0.04937213577709957,0.10550459087931363
local_prediction,bounded_cf_2,0.514608997216638,0.4371957595830372,0.9666666666666667,0.41346658015561066,0.0,0.03231501919689363,0.0038740980094886246
model_revision,bounded_cf_2,0.7780163880618203,0.6734256017304934,0.4774289969124563,0.861699084020561,0.4774289969124563,0.04320574267360641,0.23593608610746009
model_revision_witness,bounded_cf_2,0.7780163880618203,0.6734256017304934,0.4774289969124563,0.861699084020561,0.4774289969124563,0.04320574267360641,0.27819726525104754
