flow,real_score,same_field_recall_rate,same_core_recall_rate,split_rate,no_field_gap,flat_field_gap,shuffled_field_gap
bounded_cf_2,0.7963356696879023,0.6972909305064782,0.17314487632508835,0.03297997644287397,0.0798784534025766,0.012318042734590251,0.015122755315844727
fib_13_21,0.7986134180766917,0.6582969432314411,0.25327510917030566,0.0851528384279476,0.11215573003110724,-0.03485651748828056,0.0017713874546333441
golden,0.8039937825633418,0.5536626916524702,0.26519023282226006,0.05848949460533787,0.10043579591573826,-0.0014559722349262172,0.0010596388589751982
pi_mod1,0.8100837098416951,0.6711409395973155,0.1767337807606264,0.0022371364653243847,0.09594581278380943,0.019031092488512646,0.01777681328902303
random_cf_1,0.8320960710291843,0.665158371040724,0.19117647058823528,0.010180995475113122,0.09772352228614778,0.02576038224505406,0.021826977982650764
silver,0.8221805967522938,0.7003405221339387,0.22360953461975028,0.0022701475595913734,0.12635626432774394,0.0067286177194282315,0.002988141600212102
