flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.8039937825633418,0.7764578833693304,0.4370820668693009,0.007340485601355167,0.06380575945793338,0.5536626916524702,0.26519023282226006,0.5536626916524702,0.05848949460533787,0.0,0.4463373083475298,5.76171875,0.08857049820905243,0.44495912716762465,0.0
golden,phi,no_field,0.7035579866476035,0.6217264791464597,0.3833732057416268,0.029926595143986448,0.025974025974025976,0.6796267496111975,0.6796267496111975,0.6796267496111975,0.017107309486780714,0.0,0.3203732503888025,0.0,0.08661673721914685,0.4291869605884371,0.10043579591573826
golden,phi,flat_field,0.805449754798268,0.776824034334764,0.43719806763285024,0.00564652738565782,0.05928853754940711,0.5565019875070982,0.262350936967632,0.5565019875070982,0.055650198750709826,0.0,0.44349801249290177,5.76171875,0.09378052751546727,0.4505169707437785,-0.0014559722349262172
golden,phi,shuffled_field,0.8029341437043666,0.768409818569904,0.43452021726010864,0.00564652738565782,0.058723884810841336,0.5519591141396933,0.25383304940374785,0.5519591141396933,0.054514480408858604,0.0,0.44804088586030666,5.76171875,0.09540866167372192,0.44720053537575655,0.0010596388589751982
silver,metallic,real,0.8221805967522938,0.7381443298969073,0.4246737841043891,0.08342245989304813,0.014973262032085561,0.7003405221339387,0.22360953461975028,0.7003405221339387,0.0022701475595913734,0.0,0.2996594778660613,3.02734375,0.04819277108433735,0.5773986910708888,0.0
silver,metallic,no_field,0.6958243324245499,0.6022988505747127,0.37589670014347204,0.24064171122994651,0.013903743315508022,0.7456647398843931,0.7456647398843931,0.7456647398843931,0.0,0.0,0.2543352601156069,0.0,0.045262129599479,0.4350296553811447,0.12635626432774394
silver,metallic,flat_field,0.8154519790328656,0.6842105263157895,0.40625,0.10909090909090909,0.0010695187165775401,0.6651376146788991,0.19724770642201836,0.6651376146788991,0.0011467889908256881,0.0,0.3348623853211009,3.02734375,0.04623901009443178,0.571037701952054,0.0067286177194282315
silver,metallic,shuffled_field,0.8191924551520817,0.7049180327868853,0.41346153846153844,0.10909090909090909,0.0010695187165775401,0.6624857468643102,0.1949828962371722,0.6624857468643102,0.0011402508551881414,0.0,0.33751425313568983,3.0804036458333335,0.04916965157929013,0.5706921872523123,0.002988141600212102
bounded_cf_2,bounded_cf,real,0.7963356696879023,0.7101123595505618,0.4152431011826544,0.15434083601286175,0.030010718113612004,0.6972909305064782,0.17314487632508835,0.6972909305064782,0.03297997644287397,0.0,0.3027090694935218,3.0338541666666665,0.10289807880169326,0.5431219533942737,0.0
bounded_cf_2,bounded_cf,no_field,0.7164572162853257,0.5822784810126582,0.368,0.3215434083601286,0.00857449088960343,0.6774193548387096,0.6774193548387096,0.6774193548387096,0.0,0.0,0.3225806451612903,0.0,0.07489417127971344,0.5262384028195701,0.0798784534025766
bounded_cf_2,bounded_cf,flat_field,0.784017626953312,0.6227678571428571,0.38376891334250346,0.19506966773847803,0.02572347266881029,0.6301703163017032,0.12408759124087591,0.6301703163017032,0.029197080291970802,0.0,0.36982968369829683,3.0338541666666665,0.09084988603060892,0.5369277878887297,0.012318042734590251
