model,best_anchor,best_composite,mean_composite,mean_click_rate,mean_refresh_rate,mean_glow_persistence,mean_surrogate_gap
click_only,golden,0.7000098380194593,0.4918207006048851,0.4661189644318253,0.0,0.0,-0.04060230359840317
glow_only,bounded_cf_2,0.5002138279355904,0.2920925800589037,0.2515289317714803,0.0,0.5642152443910257,-0.1131343616892116
click_afterglow,fib_13_21,0.4601358130445123,0.33478781440094835,0.4661189644318253,0.0,0.5202045147235577,-0.03745497197174119
click_afterglow_refresh,golden,0.47524325000100337,0.33362470326848537,0.4661189644318253,0.02849567017131674,0.5537326910556891,-0.061226062551207605
