model,mode,best_anchor,best_downstream_score,mean_downstream_score,mean_phase_lock_resistance,mean_delayed_retention,mean_pollution,mean_coherence_error
surprise_only,real,noble_1,0.7757661602432245,0.6825470086904709,0.6199572216899222,0.98,0.024902993928396955,0.07363263076222606
surprise_only,random_projection,silver,0.7894657275858007,0.724966428313635,0.7886784171477726,1.0,0.026319236048107566,0.07349567542650598
surprise_only,phase_scrambled,golden,0.7884017991449564,0.7220594385830135,0.7857935171807129,0.9930952380952381,0.02592760602042478,0.07345182698235565
model_revision,real,noble_1,0.7757661602432245,0.6634489733658755,0.6251500091375813,0.8063168375610525,0.024686300509456346,0.1016445378078114
model_revision,random_projection,silver,0.8056238488043823,0.7076074518165957,0.7836548455374872,0.8263779878009655,0.025984367366878355,0.09959244355610976
model_revision,phase_scrambled,random_cf_1,0.804191835117223,0.7037490941386536,0.7775036125429439,0.8213816008851408,0.025740223788587247,0.09977355898699297
model_revision_witness,real,noble_1,0.7757661602432245,0.6634489733658755,0.6251500091375813,0.8063168375610525,0.024686300509456346,0.1016445378078114
model_revision_witness,random_projection,pi_mod1,0.8056391009236631,0.7077945805278655,0.7825020698731815,0.8265937783282464,0.025890850722311395,0.09955893326170309
model_revision_witness,phase_scrambled,noble_1,0.8057418072048128,0.7039972805808719,0.7810838298249728,0.8208471286608426,0.025715332542396538,0.10023369379453648
