flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,interference_coherence_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.7768610477106334,0.9601769911504425,0.4898419864559819,0.003952569169960474,0.2456239412761152,0.5406976744186046,0.2796511627906977,0.5406976744186046,0.2441860465116279,0.0,0.45930232558139533,1.0,0.10061869098013676,0.4739265183812821,0.0
golden,phi,flat_distance,0.7734308668182635,0.9636913767019667,0.49075500770416025,0.003952569169960474,0.26312817617165446,0.5395348837209303,0.2813953488372093,0.5395348837209303,0.2558139534883721,0.0,0.4604651162790698,1.0,0.09605991533702377,0.47244502582555714,0.003430180892369905
golden,phi,far_only,0.7718772542191431,0.9643387815750372,0.4909228441754917,0.003952569169960474,0.24957651044607565,0.5365005793742758,0.27404403244495945,0.5365005793742758,0.24565469293163383,0.0,0.46349942062572425,1.0,0.10485183979159883,0.4420528823830975,0.0049837934914902515
golden,phi,near_only,0.7688709794112603,0.9641255605381166,0.4908675799086758,0.003952569169960474,0.2540937323546019,0.5410122164048866,0.2658522396742292,0.5410122164048866,0.2524723676556137,0.0,0.45898778359511344,1.0,0.10257245197004233,0.44391176834200596,0.007990068299373099
silver,metallic,real,0.7808527838817898,0.8142857142857143,0.44881889763779526,0.045989304812834225,0.13903743315508021,0.4847328244274809,0.1316793893129771,0.4847328244274809,0.15648854961832062,0.0,0.5152671755725191,1.0,0.03842396613480951,0.5993765716703299,0.0
silver,metallic,flat_distance,0.7659690948732094,0.7908653846153846,0.44161073825503355,0.008556149732620321,0.1946524064171123,0.48326359832635984,0.1297071129707113,0.48326359832635984,0.18619246861924685,0.0,0.5167364016736402,1.0,0.040703353956366005,0.6002013663759636,0.014883689008580392
silver,metallic,far_only,0.7838198756944397,0.821917808219178,0.45112781954887216,0.016042780748663103,0.1304812834224599,0.47191011235955055,0.1254681647940075,0.47191011235955055,0.1404494382022472,0.0,0.5280898876404494,1.0,0.039400846629762294,0.5959475713187692,-0.002967091812649869
silver,metallic,near_only,0.7684133802368617,0.8004750593824228,0.4445910290237467,0.02459893048128342,0.16470588235294117,0.46732673267326735,0.1306930693069307,0.46732673267326735,0.17425742574257425,0.0,0.5326732673267327,1.0,0.03874959296646044,0.5971888217315102,0.012439403644928126
bounded_cf_2,bounded_cf,real,0.7701489481423263,0.8035264483627204,0.44553072625698326,0.10932475884244373,0.1232583065380493,0.5035971223021583,0.13489208633093525,0.5035971223021583,0.17086330935251798,0.0,0.49640287769784175,1.0,0.10354933246499512,0.5493460510635404,0.0
bounded_cf_2,bounded_cf,flat_distance,0.7626446151567323,0.8134328358208955,0.448559670781893,0.05144694533762058,0.16720257234726688,0.5076660988074957,0.12776831345826234,0.5076660988074957,0.19591141396933562,0.0,0.49233390119250425,1.0,0.10322370563334418,0.5522430395229301,0.007504332985593942
bounded_cf_2,bounded_cf,far_only,0.7642934021785964,0.7896039603960396,0.4412171507607192,0.08788853161843516,0.13719185423365488,0.48547008547008547,0.14017094017094017,0.48547008547008547,0.17094017094017094,0.0,0.5145299145299145,1.0,0.10159557147508955,0.5420107912190721,0.005855545963729836
bounded_cf_2,bounded_cf,near_only,0.7635353587547032,0.7783251231527094,0.4376731301939058,0.08681672025723473,0.13933547695605572,0.48788927335640137,0.1453287197231834,0.48788927335640137,0.17301038062283736,0.0,0.5121107266435986,1.0,0.10094431781178768,0.5477757293201297,0.00661358938762302
random_cf_1,random_cf,real,0.7872420666047266,0.8151041666666666,0.4490674318507891,0.08562019758507135,0.14928649835345773,0.51698670605613,0.19054652880354506,0.51698670605613,0.16691285081240767,0.0,0.48301329394387,1.0,0.08661673721914685,0.6031474516466644,0.0
random_cf_1,random_cf,flat_distance,0.7786661946603046,0.8071065989847716,0.44662921348314605,0.043907793633369926,0.17453347969264543,0.5229226361031518,0.20057306590257878,0.5229226361031518,0.19197707736389685,0.0,0.47707736389684813,1.0,0.0846629762292413,0.6047859787963423,0.008575871944421998
random_cf_1,random_cf,far_only,0.7874773253553127,0.8096446700507615,0.4474053295932679,0.06805708013172337,0.14928649835345773,0.5172413793103449,0.1853448275862069,0.5172413793103449,0.16235632183908047,0.0,0.4827586206896552,1.0,0.08498860306089222,0.6047556967109347,-0.00023525875058605372
random_cf_1,random_cf,near_only,0.7845820785498245,0.8409703504043127,0.4568081991215227,0.08232711306256861,0.16794731064763996,0.5072046109510087,0.19020172910662825,0.5072046109510087,0.1873198847262248,0.0,0.49279538904899134,1.0,0.0846629762292413,0.6028152396851181,0.002659988054902085
fib_13_21,rational,real,0.701970236483507,0.7601156069364162,0.4318555008210181,0.08413205537806177,0.2673056443024494,0.5513595166163142,0.1933534743202417,0.5513595166163142,0.32326283987915405,0.0,0.4486404833836858,1.0,0.08336046890263758,0.3841258760003168,0.0
fib_13_21,rational,flat_distance,0.6966502792197918,0.7303370786516854,0.42207792207792205,0.03727369542066028,0.30670926517571884,0.558599695585997,0.1933028919330289,0.558599695585997,0.3455098934550989,0.0,0.441400304414003,1.0,0.08205796157603387,0.3856514942158623,0.005319957263715147
fib_13_21,rational,far_only,0.6949549925451762,0.7308781869688386,0.42225859247135844,0.06602768903088392,0.2832800851970181,0.5504587155963303,0.18042813455657492,0.5504587155963303,0.3348623853211009,0.0,0.44954128440366975,1.0,0.08140670791273201,0.3816621201318805,0.007015243938330751
fib_13_21,rational,near_only,0.6936623400433635,0.7275280898876404,0.4211382113821138,0.06602768903088392,0.2790202342917998,0.5339506172839507,0.1712962962962963,0.5339506172839507,0.3287037037037037,0.0,0.4660493827160494,1.0,0.0823835884076848,0.3837993212225541,0.008307896440143514
pi_mod1,constant,real,0.7701385689945158,0.7949367088607595,0.44287729196050774,0.07494646680942184,0.16595289079229122,0.5364806866952789,0.17024320457796852,0.5364806866952789,0.17453505007153075,0.0,0.463519313304721,1.0,0.09899055682188213,0.5423651344318696,0.0
pi_mod1,constant,flat_distance,0.7664882314083575,0.8029556650246306,0.4453551912568306,0.035331905781584586,0.1809421841541756,0.5432276657060519,0.18011527377521613,0.5432276657060519,0.19164265129682997,0.0,0.45677233429394815,1.0,0.10354933246499512,0.5405722528132875,0.003650337586158292
pi_mod1,constant,far_only,0.7712388822456413,0.8078817733990148,0.44686648501362397,0.05032119914346895,0.16381156316916487,0.5367965367965368,0.1673881673881674,0.5367965367965368,0.17604617604617603,0.0,0.46320346320346323,1.0,0.10485183979159883,0.5406242993367831,-0.0011003132511254732
pi_mod1,constant,near_only,0.7664676532203079,0.8061224489795918,0.4463276836158192,0.06316916488222699,0.17880085653104924,0.5416666666666666,0.16235632183908047,0.5416666666666666,0.1882183908045977,0.0,0.4583333333333333,1.0,0.10094431781178768,0.5425689224025954,0.0036709157742079723
