flow,best_mode,nested_score,same_field_recall_rate,same_core_recall_rate,macro_window_rate,split_rate,nested_vs_local_gap,nested_vs_over_blended_gap,nested_vs_blurred_local_gap
bounded_cf_2,over_blended,0.7763900941916941,0.9445114595898673,0.2738238841978287,0.2776692708333333,0.06755126658624849,0.010291643954608132,-0.0003924690354922822,0.011110309223415826
fib_13_21,nested,0.7088523021538936,0.9911838790931989,0.21536523929471033,0.2783203125,0.06926952141057935,0.011659834841802441,0.00021590500179924366,0.012739359850798437
golden,nested,0.8231771506985186,0.849971477467199,0.46035367940673133,0.5198567708333334,0.0775812892184826,0.018946127360034204,0.00015222258895397633,0.017523747421560154
pi_mod1,nested,0.7899944588010072,0.9704142011834319,0.26272189349112424,0.28515625,0.0035502958579881655,0.009711831887042832,0.0005181525978034118,0.01248430870435191
random_cf_1,nested,0.7816213058153001,0.8907563025210085,0.25690276110444177,0.2571614583333333,0.07202881152460984,0.008930764374335709,0.00045964313257074174,0.011990984389787851
silver,over_blended,0.7861998083717562,0.9681372549019608,0.3137254901960784,0.18880208333333334,0.04656862745098039,0.007206529457345567,-5.92211405103793e-05,0.008236923241518701
