flow,balanced_score,rewrite_drift_rate,same_field_recall_rate,balanced_vs_rigid_gap,balanced_vs_overplastic_gap,balanced_vs_random_gap
bounded_cf_2,0.7758040307035984,0.0,0.9433734939759036,-0.000586063488095756,-0.0010798910155750407,0.0003711052654927771
fib_13_21,0.6991598993616894,0.0,0.990909090909091,-0.009476497790404936,0.004751619465317214,0.0004791048617597271
golden,0.8177331950387593,0.0,0.8429799426934097,-0.005443955659759303,0.012598322208200785,-0.00032856887186250017
pi_mod1,0.7933299005594054,0.0,0.9630952380952381,0.003853594356201695,0.003247094299164255,0.0041125254528362465
random_cf_1,0.7856322975906825,0.0,0.8882138517618469,0.004010991775382444,0.004053535784917739,0.005448476802253577
silver,0.7816106627606835,0.0,0.9699879951980792,-0.004589145611072709,0.004787979950833687,-0.003853357745158381
