flow,family,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,rewrite_drift_rate,score
golden,phi,balanced,0.8324937027707808,0.4542955326460481,0.002258610954263128,0.176171654432524,0.8429799426934097,0.43782234957020055,0.8429799426934097,0.07851002865329514,0.0,0.15702005730659027,3.45703125,0.576171875,0.5201822916666666,0.3336588541666667,0.09801367632692934,0.49392379841495593,0.0,0.8177331950387593
golden,phi,rigid,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.0,0.8231771506985186
golden,phi,overplastic,0.8033205619412516,0.4454674220963173,0.002258610954263128,0.20045172219085264,0.8471264367816091,0.4224137931034483,0.8471264367816091,0.0867816091954023,0.0,0.1528735632183908,3.45703125,0.576171875,0.5198567708333334,0.3307291666666667,0.09150113969391079,0.4672490913978199,0.0,0.8051348728305585
golden,phi,random_plastic,0.8304020100502513,0.45367192862045297,0.002258610954263128,0.17504234895539245,0.8429799426934097,0.43896848137535815,0.8429799426934097,0.07679083094555873,0.0,0.15702005730659027,3.45703125,0.576171875,0.5211588541666666,0.3330078125,0.09833930315858026,0.4950557065413208,0.0,0.8180617639106218
silver,metallic,balanced,0.8344370860927153,0.4548736462093863,0.009625668449197862,0.10160427807486631,0.9699879951980792,0.30732292917166865,0.9699879951980792,0.05402160864345738,0.0,0.030012004801920768,1.81640625,0.302734375,0.18977864583333334,0.15006510416666666,0.04233148811462065,0.5980638588376472,0.0,0.7816106627606835
silver,metallic,rigid,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.0,0.7861998083717562
silver,metallic,overplastic,0.8187919463087249,0.45018450184501846,0.0106951871657754,0.11978609625668449,0.9670731707317073,0.30121951219512194,0.9670731707317073,0.06097560975609756,0.0,0.032926829268292684,1.81640625,0.302734375,0.1923828125,0.15071614583333334,0.042005861282969716,0.6008790102811274,0.0,0.7768226828098498
silver,metallic,random_plastic,0.8549107142857143,0.4608904933814681,0.009625668449197862,0.10160427807486631,0.9690107270560191,0.31227651966626935,0.9690107270560191,0.05601907032181168,0.0,0.03098927294398093,1.81640625,0.302734375,0.189453125,0.15201822916666666,0.04265711494627157,0.599262733677324,0.0,0.7854640205058419
bounded_cf_2,bounded_cf,balanced,0.8482142857142857,0.45893719806763283,0.00964630225080386,0.10289389067524116,0.9433734939759036,0.28072289156626506,0.9433734939759036,0.07108433734939759,0.0,0.056626506024096385,1.8203125,0.3033854166666667,0.2770182291666667,0.14453125,0.11592315206773038,0.5504938055663644,0.0,0.7758040307035984
bounded_cf_2,bounded_cf,rigid,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.0,0.7763900941916941
bounded_cf_2,bounded_cf,overplastic,0.8510158013544018,0.45975609756097563,0.010718113612004287,0.11039657020364416,0.9418181818181818,0.2775757575757576,0.9418181818181818,0.06909090909090909,0.0,0.05818181818181818,1.8203125,0.3033854166666667,0.2779947916666667,0.14420572916666666,0.11462064474112667,0.551071384388869,0.0,0.7768839217191734
bounded_cf_2,bounded_cf,random_plastic,0.8584269662921349,0.4619105199516324,0.010718113612004287,0.10289389067524116,0.944578313253012,0.27951807228915665,0.944578313253012,0.07590361445783132,0.0,0.05542168674698795,1.8203125,0.3033854166666667,0.2760416666666667,0.14485677083333334,0.11787691305763595,0.5496901316317659,0.0,0.7754329254381056
random_cf_1,random_cf,balanced,0.8418604651162791,0.45707070707070707,0.01646542261251372,0.1141602634467618,0.8882138517618469,0.2709599027946537,0.8882138517618469,0.0692588092345079,0.0,0.1117861482381531,1.7734375,0.17350260416666666,0.2545572916666667,0.1474609375,0.08661673721914685,0.609744447138237,0.0,0.7856322975906825
random_cf_1,random_cf,rigid,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.0,0.7816213058153001
random_cf_1,random_cf,overplastic,0.8313817330210773,0.4539641943734015,0.014270032930845226,0.12733260153677278,0.8938271604938272,0.2802469135802469,0.8938271604938272,0.07654320987654321,0.0,0.10617283950617284,1.7734375,0.17350260416666666,0.2545572916666667,0.1455078125,0.08433734939759036,0.6120981655536417,0.0,0.7815787618057648
random_cf_1,random_cf,random_plastic,0.8484848484848485,0.45901639344262296,0.010976948408342482,0.11855104281009879,0.8923821039903265,0.2503022974607013,0.8923821039903265,0.07859733978234583,0.0,0.10761789600967352,1.7734375,0.17350260416666666,0.2548828125,0.14778645833333334,0.08791924454575056,0.6071185514196595,0.0,0.780183820788429
fib_13_21,rational,balanced,0.7181208053691275,0.41796875,0.002129925452609159,0.1799787007454739,0.990909090909091,0.2,0.990909090909091,0.07272727272727272,0.0,0.00909090909090909,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.09605991533702377,0.3820529405125036,0.0,0.6991598993616894
fib_13_21,rational,rigid,0.755011135857461,0.4302030456852792,0.003194888178913738,0.15761448349307774,0.9924433249370277,0.21536523929471033,0.9924433249370277,0.06926952141057935,0.0,0.007556675062972292,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.10159557147508955,0.3840139174397543,0.0,0.7086363971520944
fib_13_21,rational,overplastic,0.6975169300225733,0.4109042553191489,0.0010649627263045794,0.19808306709265175,0.9932705248990579,0.21534320323014805,0.9932705248990579,0.08075370121130551,0.0,0.006729475100942127,3.0533854166666665,0.3050130208333333,0.2796223958333333,0.0,0.09215239335721263,0.38384047694655854,0.0,0.6944082798963722
fib_13_21,rational,random_plastic,0.7120535714285714,0.41590612777053454,0.0010649627263045794,0.18210862619808307,0.9908376963350786,0.20680628272251309,0.9908376963350786,0.07329842931937172,0.0,0.009162303664921465,3.0533854166666665,0.3050130208333333,0.2783203125,0.0,0.09540866167372192,0.38199324343431607,0.0,0.6986807944999297
pi_mod1,constant,balanced,0.8879492600422833,0.47032474804031354,0.004282655246252677,0.03961456102783726,0.9630952380952381,0.26785714285714285,0.9630952380952381,0.007142857142857143,0.0,0.036904761904761905,3.037109375,0.2740885416666667,0.2835286458333333,0.11751302083333333,0.13187886681862585,0.5306150696049929,0.0,0.7933299005594054
pi_mod1,constant,rigid,0.8713692946058091,0.4656319290465632,0.0053533190578158455,0.028907922912205567,0.9715976331360947,0.26272189349112424,0.9715976331360947,0.0035502958579881655,0.0,0.028402366863905324,3.037109375,0.2740885416666667,0.28515625,0.11848958333333333,0.131227613155324,0.5271449204300005,0.0,0.7894763062032037
pi_mod1,constant,overplastic,0.8789808917197452,0.46779661016949153,0.0032119914346895075,0.04925053533190578,0.964200477326969,0.26252983293556087,0.964200477326969,0.010739856801909307,0.0,0.03579952267303103,3.037109375,0.2740885416666667,0.2848307291666667,0.11686197916666667,0.12699446434386194,0.5327868186119005,0.0,0.7900828062602412
pi_mod1,constant,random_plastic,0.871578947368421,0.46569178852643417,0.004282655246252677,0.043897216274089934,0.9650602409638555,0.26506024096385544,0.9650602409638555,0.008433734939759036,0.0,0.03493975903614458,3.037109375,0.2740885416666667,0.2838541666666667,0.1162109375,0.12829697167046564,0.5294261952363275,0.0,0.7892173751065692
