name,family,alpha,window_type,window_size,phase,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,write_count,witness_count,release_count,pollution,delayed_retention,compression_score,compression_score_cap,composite_score
golden,golden,0.6180339887498948,single,0.2,0.0,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,2685.0,1411.0,0.0,0.00037243947858472997,1.0,10.499996866166507,45.010989010989015,4.722610374738869
golden,golden,0.6180339887498948,single,0.2,0.17,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,2685.0,1411.0,0.0,0.00037243947858472997,1.0,10.499996866166507,45.010989010989015,4.722610374738869
golden,golden,0.6180339887498948,single,0.34,0.0,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2954.0,1141.0,1.0,0.001015572105619499,1.0,10.901832491154114,45.010989010989015,4.442231858141444
golden,golden,0.6180339887498948,single,0.34,0.17,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2954.0,1141.0,1.0,0.001015572105619499,1.0,10.901832491154114,45.010989010989015,4.442231858141444
golden,golden,0.6180339887498948,single,0.47,0.0,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3486.0,610.0,0.0,0.0037292025243832474,1.0,10.390635940508005,45.010989010989015,4.080809349727924
golden,golden,0.6180339887498948,single,0.47,0.17,0.18181818181818182,3.0,0.2721072582271615,0.6945211354302263,0.0,257,3486.0,610.0,0.0,0.0037292025243832474,1.0,10.390635940508005,45.010989010989015,4.080809349727924
golden,golden,0.6180339887498948,moving,0.2,0.0,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2248.0,1847.0,1.0,0.0013345195729537367,1.0,10.46964934325563,45.010989010989015,4.1704453814026134
golden,golden,0.6180339887498948,moving,0.2,0.17,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2248.0,1847.0,1.0,0.0013345195729537367,1.0,10.46964934325563,45.010989010989015,4.1704453814026134
golden,golden,0.6180339887498948,moving,0.34,0.0,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,3312.0,783.0,1.0,0.0009057971014492754,1.0,9.187497257895695,45.010989010989015,4.123298114319135
golden,golden,0.6180339887498948,moving,0.34,0.17,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,3312.0,783.0,1.0,0.0009057971014492754,1.0,9.187497257895695,45.010989010989015,4.123298114319135
golden,golden,0.6180339887498948,moving,0.47,0.0,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2781.0,1314.0,1.0,0.0010787486515641855,1.0,11.199685532118963,45.010989010989015,4.274265230638237
golden,golden,0.6180339887498948,moving,0.47,0.17,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2781.0,1314.0,1.0,0.0010787486515641855,1.0,11.199685532118963,45.010989010989015,4.274265230638237
