flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_field_radius,best_field_width,best_field_support_gain,best_field_competition_gain,best_phase_bind_gain,best_phase_bind_threshold,best_window_levels,best_window_blend_gain,best_admission_center,best_admission_width,best_admission_gain,mean_score,mean_recall_survival_rate,mean_same_core_recall_rate,mean_same_field_recall_rate,mean_field_overlap_rate,mean_phase_binding_rate,mean_macro_window_rate,mean_admission_band_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8400893967884987,13,13,0.04,0.78,21,3,1.2,0.14,0.08,0.08,0.42,2,0.14,0.2,0.18,0.14,0.7909234033885942,0.8833515849455472,0.42701491360897925,0.8833515849455472,4.481336805555555,0.576171875,0.424660011574074,0.1253858024691358,0.023598186322220147,0.11664841505445266,0.07402904671641385,0.4225271335542195
silver,metallic,0.7918638061870804,21,13,0.04,0.78,21,3,1.2,0.14,0.08,0.08,0.42,2,0.14,0.2,0.18,0.14,0.7657284404625135,0.9910882724562717,0.24562057179060867,0.9910882724562717,2.3546006944444446,0.302734375,0.13963035300925927,0.05227623456790123,0.015301031103009696,0.008911727543728253,0.02971119899867522,0.44070943221109987
bounded_cf_2,bounded_cf,0.7862772260041707,21,13,0.04,0.78,21,3,1.2,0.14,0.08,0.08,0.42,2,0.14,0.2,0.18,0.14,0.7539967911440969,0.9852438360822146,0.25188227400422203,0.9852438360822146,2.3596643518518516,0.3033854166666667,0.22811173804012344,0.05437403549382716,0.013519061229074134,0.014756163917785454,0.048721431327322755,0.39934037243267634
random_cf_1,random_cf,0.7976362169072101,21,13,0.04,0.78,21,3,1.2,0.14,0.08,0.08,0.42,2,0.14,0.2,0.18,0.14,0.7646093334693005,0.9697167312780617,0.24989327034006942,0.9697167312780617,2.298900462962963,0.23316333912037038,0.20422212577160492,0.05591724537037038,0.014499425478229952,0.030283268721938365,0.044473455251574416,0.40091680467096935
fib_13_21,rational,0.7519296382163791,21,13,0.04,0.78,13,5,1.8,0.08,0.08,0.14,0.42,3,0.14,0.1,0.1,0.08,0.7047817346492701,0.9978965220125708,0.28255910125610506,0.9978965220125708,2.3748553240740735,0.3052420910493828,0.22715928819444445,0.05434389467592592,0.01294823374210119,0.002103477987429051,0.10308422999942236,0.34909856505583053
pi_mod1,constant,0.7908786708540895,21,13,0.04,0.78,13,5,1.8,0.14,0.04,0.14,0.42,3,0.08,0.1,0.1,0.14,0.7636899677010129,0.989797166821412,0.28123204078759856,0.989797166821412,2.3621961805555554,0.2658480420524692,0.23089674961419757,0.05513358410493828,0.014746438668116292,0.010202833178588031,0.03916130821296387,0.4074531685702269
