flow,real_moderate_score,same_field_recall_rate,split_rate,real_vs_shuffled_gap,real_vs_flat_gap,moderate_vs_no_band_gap
bounded_cf_2,0.7763900941916941,0.9445114595898673,0.06755126658624849,0.0022138901631393315,0.024807673041726708,0.017320513228413992
fib_13_21,0.7177592509221459,0.9922580645161291,0.07096774193548387,-0.0003320366619148363,0.05465068814641316,0.008591819772194365
golden,0.8231771506985186,0.849971477467199,0.0775812892184826,-0.00401229690372773,0.058240848777131204,0.01409814707415713
pi_mod1,0.7909945404779616,0.9715639810426541,0.0035545023696682463,-0.0017113045610019917,0.0313039932041661,0.011426307710120653
random_cf_1,0.7816213058153001,0.8907563025210085,0.07202881152460984,0.007555553618382782,0.0429962679037994,0.009818715556909385
silver,0.7861998083717562,0.9681372549019608,0.04656862745098039,-0.0014465846588879172,0.04927079809723167,0.013924799962455325
