flow,family,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,score
golden,phi,real_moderate,0.8681592039800995,0.4647137150466045,0.002258610954263128,0.14963297571993225,0.849971477467199,0.46035367940673133,0.849971477467199,0.0775812892184826,0.0,0.1500285225328009,3.45703125,0.576171875,0.5198567708333334,0.3330078125,0.0986649299902312,0.49460140968706,0.8231771506985186
golden,phi,shuffled_moderate,0.8732919254658386,0.4661803713527852,0.0016939582156973462,0.14680971202710333,0.8183371298405467,0.4624145785876993,0.8183371298405467,0.07574031890660592,0.0,0.18166287015945332,3.45703125,0.4055989583333333,0.5208333333333334,0.3277994791666667,0.10485183979159883,0.4914857463650042,0.8271894476022463
golden,phi,flat_moderate,0.6042496679946879,0.37665562913907286,0.000564652738565782,0.31733483907396953,0.8967780429594272,0.3937947494033413,0.8967780429594272,0.07637231503579953,0.0,0.1032219570405728,3.45703125,0.576171875,0.5325520833333334,0.435546875,0.0696841419732986,0.45934443577454454,0.7649363019213874
golden,phi,real_no_band,0.9029850746268657,0.4745098039215686,0.002258610954263128,0.13382269904009034,0.7996585088218554,0.4359704040978941,0.7996585088218554,0.07683551508252703,0.0,0.20034149117814457,3.45703125,0.576171875,0.521484375,0.0,0.10615434711820254,0.4919818998309248,0.8090790036243615
silver,metallic,real_moderate,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.7861998083717562
silver,metallic,shuffled_moderate,0.8584070796460177,0.46190476190476193,0.014973262032085561,0.08663101604278074,0.9411764705882353,0.30612244897959184,0.9411764705882353,0.05042016806722689,0.0,0.058823529411764705,1.81640625,0.20052083333333334,0.18977864583333334,0.1513671875,0.043308368609573426,0.599961514254949,0.7876463930306441
silver,metallic,flat_moderate,0.6540284360189573,0.3954154727793696,0.0053475935828877,0.24812834224598931,1.0,0.23916083916083916,1.0,0.06293706293706294,0.0,0.0,1.81640625,0.302734375,0.1923828125,0.1826171875,0.036795831976554866,0.6047211944533195,0.7369290102745245
silver,metallic,real_no_band,0.8217391304347826,0.4510739856801909,0.019251336898395723,0.08449197860962566,0.9533169533169533,0.3108108108108108,0.9533169533169533,0.04791154791154791,0.0,0.04668304668304668,1.81640625,0.302734375,0.18977864583333334,0.0,0.042005861282969716,0.5996151059515549,0.7722750084093009
bounded_cf_2,bounded_cf,real_moderate,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.7763900941916941
bounded_cf_2,bounded_cf,shuffled_moderate,0.8561797752808988,0.4612590799031477,0.022508038585209004,0.09217577706323687,0.933253873659118,0.2598331346841478,0.933253873659118,0.06912991656734208,0.0,0.066746126340882,1.8203125,0.2236328125,0.2763671875,0.150390625,0.11755128622598503,0.550538913946778,0.7741762040285548
bounded_cf_2,bounded_cf,flat_moderate,0.7281323877068558,0.4213406292749658,0.0010718113612004287,0.21543408360128619,0.9986684420772304,0.25432756324900135,0.9986684420772304,0.05326231691078562,0.0,0.0013315579227696406,1.8203125,0.3033854166666667,0.2747395833333333,0.1904296875,0.09378052751546727,0.5503200878812387,0.7515824211499674
bounded_cf_2,bounded_cf,real_no_band,0.7987012987012987,0.44404332129963897,0.02572347266881029,0.08360128617363344,0.9229843561973526,0.2611311672683514,0.9229843561973526,0.06257521058965103,0.0,0.07701564380264742,1.8203125,0.3033854166666667,0.2760416666666667,0.0,0.11429501790947574,0.5491848214483477,0.7590695809632801
random_cf_1,random_cf,real_moderate,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.7816213058153001
random_cf_1,random_cf,shuffled_moderate,0.8237986270022883,0.451693851944793,0.019758507135016465,0.10537870472008781,0.9386503067484663,0.2883435582822086,0.9386503067484663,0.07607361963190185,0.0,0.06134969325153374,1.7734375,0.20703125,0.2555338541666667,0.1435546875,0.090524259198958,0.6039120407729257,0.7740657521969173
random_cf_1,random_cf,flat_moderate,0.6666666666666666,0.4,0.003293084522502744,0.2557628979143798,1.0,0.21335268505079827,1.0,0.062409288824383166,0.0,0.0,1.7734375,0.2955729166666667,0.2506510416666667,0.17708333333333334,0.05665906870726148,0.6098618908173619,0.7386250379115007
random_cf_1,random_cf,real_no_band,0.8356164383561644,0.4552238805970149,0.019758507135016465,0.09769484083424808,0.8724672228843862,0.2526817640047676,0.8724672228843862,0.07032181168057211,0.0,0.12753277711561384,1.7734375,0.17350260416666666,0.2571614583333333,0.0,0.09019863236730706,0.6052295484061319,0.7718025902583907
fib_13_21,rational,real_moderate,0.7394209354120267,0.42509603072983354,0.002129925452609159,0.16613418530351437,0.9922580645161291,0.2167741935483871,0.9922580645161291,0.07096774193548387,0.0,0.007741935483870968,3.0533854166666665,0.3050130208333333,0.2783203125,0.14680989583333334,0.09964181048518397,0.38166697897365953,0.7177592509221459
fib_13_21,rational,shuffled_moderate,0.7339246119733924,0.42327365728900257,0.002129925452609159,0.1650692225772098,0.9581749049429658,0.21039290240811154,0.9581749049429658,0.0697084917617237,0.0,0.04182509505703422,3.0533854166666665,0.21940104166666666,0.2776692708333333,0.14225260416666666,0.0986649299902312,0.38134262822325304,0.7180912875840607
fib_13_21,rational,flat_moderate,0.48642533936651583,0.3272450532724505,0.0010649627263045794,0.2992545260915868,1.0,0.16987740805604204,1.0,0.07880910683012259,0.0,0.0,3.0533854166666665,0.3053385416666667,0.2682291666666667,0.15201822916666666,0.06089221751872354,0.38727919037554337,0.6631085627757327
fib_13_21,rational,real_no_band,0.7416481069042317,0.4258312020460358,0.007454739084132056,0.1597444089456869,0.9858429858429858,0.22522522522522523,0.9858429858429858,0.0682110682110682,0.0,0.014157014157014158,3.0533854166666665,0.3050130208333333,0.2789713541666667,0.0,0.10061869098013676,0.3855173296519173,0.7091674311499515
pi_mod1,constant,real_moderate,0.8648648648648649,0.463768115942029,0.006423982869379015,0.033190578158458245,0.9715639810426541,0.2618483412322275,0.9715639810426541,0.0035545023696682463,0.0,0.02843601895734597,3.037109375,0.2740885416666667,0.28515625,0.1494140625,0.1299251058287203,0.5277866016400894,0.7909945404779616
pi_mod1,constant,shuffled_moderate,0.8672199170124482,0.46444444444444444,0.0053533190578158455,0.031049250535331904,0.9609929078014184,0.2647754137115839,0.9609929078014184,0.004728132387706856,0.0,0.03900709219858156,3.037109375,0.26953125,0.2845052083333333,0.1474609375,0.13187886681862585,0.527468633013416,0.7927058450389636
pi_mod1,constant,flat_moderate,0.7070484581497798,0.41419354838709677,0.0010706638115631692,0.16916488222698073,1.0,0.24338624338624337,1.0,0.013227513227513227,0.0,0.0,3.037109375,0.3037109375,0.2819010416666667,0.19563802083333334,0.0963855421686747,0.5409810046631254,0.7596905472737955
pi_mod1,constant,real_no_band,0.8648648648648649,0.463768115942029,0.01284796573875803,0.02676659528907923,0.9584816132858838,0.2597864768683274,0.9584816132858838,0.004744958481613286,0.0,0.04151838671411625,3.037109375,0.2740885416666667,0.2848307291666667,0.0,0.13057635949202215,0.5258374656643208,0.7795682327678409
