flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_recall_gain,best_split_threshold,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.4884910436611251,13,13,0.36,0.7,13,0.06,0.44,0.40490065215265636,0.0,0.0,0.4277450320498261,0.5362944261090641,0.26298173761022886,-0.012520197075549022
silver,metallic,0.5300617324998312,21,13,0.1,0.82,13,0.12,0.3,0.43728524284626125,0.0,0.0,0.25793135629351926,0.398242986911102,0.24969799231092807,0.03332886281978564
bounded_cf_2,bounded_cf,0.5313554567926796,21,13,0.1,0.82,21,0.12,0.3,0.45543833455883415,0.0,0.0,0.13903265901803105,0.49538062466822647,0.2096888628706083,0.05787658202214857
random_cf_1,random_cf,0.5391973313664479,21,13,0.22,0.82,21,0.12,0.44,0.45466995739665245,0.0,0.0,0.15939376889395984,0.41071559402578856,0.2174783163688167,0.07703845551238359
fib_13_21,rational,0.4887481590062705,21,13,0.22,0.82,13,0.2,0.44,0.4014669052369384,0.0,0.0,0.17678664644404568,0.4203324848182809,0.38346511184114185,-0.009090935771153608
pi_mod1,constant,0.5360864438159761,21,13,0.1,0.82,21,0.12,0.3,0.45125878149298365,0.0,0.0,0.14672188501810007,0.4304286904185141,0.22419441899044867,0.0494455345801737
