flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_recall_gain,best_layer_window,best_recency_decay,best_resonance_gain,best_layer_match_threshold,best_basin_radius,best_split_threshold,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_same_region_recall_rate,mean_same_layer_recall_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.7243705787780379,13,13,0.08,0.78,21,0.08,8,0.72,0.08,0.08,2,0.36,0.6770694341521981,0.45769348310179264,0.20222910396211777,0.45769348310179264,0.024149037182049214,0.027499635927263406,0.5423065168982073,0.1564755787944226,0.2927607821700829
silver,metallic,0.7306048279156089,21,13,0.08,0.78,13,0.14,8,0.55,0.08,0.08,2,0.36,0.6750900180689869,0.6299846450519133,0.17071701913050882,0.6299846450519133,0.04371650138868932,0.018819946823838248,0.3700153549480867,0.13162101820700098,0.3044210398925735
bounded_cf_2,bounded_cf,0.703800027766838,21,13,0.08,0.68,21,0.2,8,0.72,0.08,0.08,2,0.36,0.6615689410305722,0.4948765019942038,0.1452553017550779,0.4948765019942038,0.011114758707080685,0.014423532944068007,0.5051234980057961,0.11686657611735428,0.29850986531200796
random_cf_1,random_cf,0.7124545475322215,21,13,0.08,0.68,13,0.14,21,0.72,0.14,0.08,2,0.36,0.6786520826103405,0.5334640492427855,0.1729218767917556,0.5334640492427855,0.018444520982462676,0.017203227847359955,0.4665359507572145,0.1324667217526004,0.33539927397976066
fib_13_21,rational,0.6315922374901256,21,13,0.04,0.68,21,0.14,21,0.55,0.14,0.08,2,0.36,0.596728118170892,0.5280104499303647,0.16127343780979064,0.5280104499303647,0.00928823311564069,0.015344882767520737,0.4719895500696352,0.26155117734042715,0.24260106126098624
pi_mod1,constant,0.719951974806958,21,13,0.08,0.68,13,0.14,21,0.72,0.14,0.08,2,0.36,0.6723193303049579,0.5512891777430305,0.1711201732464385,0.5512891777430305,0.02138288757861516,0.01939482923069919,0.44871082225696945,0.12873770780187993,0.3043701608424712
