flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,layer_match_threshold,basin_radius,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,same_layer_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,21,0.55,0.14,0.16,2,0.36,0.9391634980988594,0.4843137254901961,0.003952569169960474,0.132128740824393,0.5064377682403434,0.21397915389331698,0.5064377682403434,0.011649294911097487,0.12262415695892091,0.0,0.49356223175965663,0.10126994464343862,0.484978887392271,0.7052835905743207
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,8,0.72,0.14,0.16,2,0.24,0.950354609929078,0.48727272727272725,0.004517221908526256,0.21908526256352343,0.5310913705583756,0.21573604060913706,0.5310913705583756,0.01649746192893401,0.23540609137055837,0.0,0.46890862944162437,0.09801367632692934,0.4803318289381835,0.6688694122605068
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.72,0.14,0.16,2,0.24,0.9363241678726484,0.48355754857997013,0.003952569169960474,0.24054206662902314,0.5329849771391247,0.232527759634226,0.5329849771391247,0.016982364467668192,0.25016329196603526,0.0,0.46701502286087526,0.09964181048518397,0.47852509952244604,0.6625078942399718
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,13,0.72,0.08,0.24,2,0.36,0.9201623815967523,0.4792107117688513,0.003952569169960474,0.19480519480519481,0.6156269691241336,0.2520478890989288,0.6156269691241336,0.001260239445494644,0.17895400126023944,0.0,0.38437303087586644,0.09605991533702377,0.45385821324984454,0.677776097686728
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,8,0.55,0.08,0.08,2,0.24,0.9446749654218534,0.48577524893314367,0.004517221908526256,0.2015810276679842,0.5237268518518519,0.2621527777777778,0.5237268518518519,0.027777777777777776,0.203125,0.0,0.47627314814814814,0.0963855421686747,0.44808054887732496,0.6820598844122164
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.08,8,0.55,0.14,0.08,2,0.36,0.9255874673629243,0.48067796610169494,0.003952569169960474,0.163184641445511,0.49856404365307294,0.26249282021826537,0.49856404365307294,0.032165422171166,0.12062033314187248,0.0,0.5014359563469271,0.10192119830674047,0.4792096265879564,0.7126859097482299
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,0.16,2,0.36,0.9288645690834473,0.48156028368794324,0.003952569169960474,0.19988706945228685,0.4954022988505747,0.2660919540229885,0.4954022988505747,0.005172413793103448,0.15977011494252874,0.0,0.5045977011494253,0.09931618365353305,0.47505641838386825,0.6903391318068093
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.2,13,0.55,0.08,0.16,2,0.36,0.9574742268041238,0.489137590520079,0.003952569169960474,0.1383399209486166,0.42996941896024465,0.1492354740061162,0.42996941896024465,0.0061162079510703364,0.14067278287461774,0.0,0.5700305810397553,0.10485183979159883,0.48457056322610825,0.686403964331998
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.08,21,0.72,0.08,0.24,2,0.36,0.9617346938775511,0.49024707412223667,0.003952569169960474,0.12761151891586675,0.5108695652173914,0.28489702517162474,0.5108695652173914,0.0005720823798627002,0.11212814645308924,0.0,0.4891304347826087,0.10354933246499512,0.45244531390417575,0.710645678315098
golden,phi,0.6180339887498948,13,13,0.04,0.68,21,0.14,21,0.55,0.08,0.24,2,0.36,0.9550128534704371,0.48849441157133466,0.003952569169960474,0.13721061547148503,0.42955326460481097,0.22279495990836198,0.42955326460481097,0.0057273768613974796,0.12027491408934708,0.0,0.570446735395189,0.10420058612829697,0.45256243607658664,0.694475260822955
