flow,real_score,same_slot_recall_rate,context_distortion_rate,split_rate,shuffled_similarity_gap,random_tint_gap,slot_break_gap
bounded_cf_2,0.7909393000160623,0.391304347826087,0.0,0.09178743961352658,0.10730546787581141,0.04541062801932361,0.017226720546677177
fib_13_21,0.7397221465218317,0.3795180722891566,0.0,0.22289156626506024,0.10461464217947025,0.08627040185559975,0.0011340549101747088
golden,0.8024602504547068,0.5075301204819277,0.0,0.12650602409638553,0.0488786303454074,0.02266319568879538,0.001072094557937886
pi_mod1,0.7974653733084673,0.41148325358851673,0.0,0.10526315789473684,0.11652265882648838,0.018181818181818188,0.006110868876569531
random_cf_1,0.8051819602023711,0.5324675324675324,0.0,0.08441558441558442,0.13329623493216936,0.05877488048219637,-0.003837156922501639
silver,0.795063071615794,0.4232558139534884,0.0,0.13023255813953488,0.1315863886014449,0.050448534262935385,-0.006338401174504349
