flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.8024602504547068,0.8896631823461092,0.47080516287645974,0.003952569169960474,0.07735742518351214,0.5075301204819277,0.5075301204819277,0.12650602409638553,0.0,0.4924698795180723,0.10810810810810811,0.4639631848851703,0.0
golden,phi,shuffled_similarity,0.7535816201092994,0.8906789413118527,0.4710894704808278,0.004517221908526256,0.06775832862789384,0.3106508875739645,0.3106508875739645,0.08579881656804733,0.0,0.6893491124260355,0.10810810810810811,0.4612851034472708,0.0488786303454074
golden,phi,random_tint,0.7797970547659114,0.8930232558139535,0.47174447174447176,0.003952569169960474,0.07679277244494635,0.506006006006006,0.506006006006006,0.12612612612612611,0.11711711711711711,0.493993993993994,0.10875936177140996,0.4641693142420197,0.02266319568879538
golden,phi,slot_break,0.8013881558967689,0.9022379269729093,0.4743034055727554,0.003952569169960474,0.08413325804630152,0.49922958397534667,0.49922958397534667,0.14021571648690292,0.0,0.5007704160246533,0.10192119830674047,0.4728521292194413,0.001072094557937886
silver,metallic,real,0.795063071615794,0.7577197149643705,0.43108108108108106,0.06737967914438503,0.1411764705882353,0.4232558139534884,0.4232558139534884,0.13023255813953488,0.0,0.5767441860465117,0.04135460761966786,0.5919498607973932,0.0
silver,metallic,shuffled_similarity,0.6634766830143491,0.7415730337078652,0.4258064516129032,0.06844919786096257,0.10267379679144385,0.1875,0.1875,0.07142857142857142,0.0,0.8125,0.04363399544122436,0.5882198275518131,0.1315863886014449
silver,metallic,random_tint,0.7446145373528587,0.7619047619047619,0.43243243243243246,0.06737967914438503,0.1411764705882353,0.41935483870967744,0.41935483870967744,0.12903225806451613,0.25806451612903225,0.5806451612903226,0.04168023445131879,0.5919329468910142,0.050448534262935385
silver,metallic,slot_break,0.8014014727902984,0.731764705882353,0.422554347826087,0.06203208556149733,0.15080213903743314,0.4305555555555556,0.4305555555555556,0.09722222222222222,0.0,0.5694444444444444,0.041028980788016936,0.5951294974946209,-0.006338401174504349
bounded_cf_2,bounded_cf,real,0.7909393000160623,0.7423887587822015,0.4260752688172043,0.10396570203644159,0.09860664523043944,0.391304347826087,0.391304347826087,0.09178743961352658,0.0,0.6086956521739131,0.10289807880169326,0.5388615576860838,0.0
bounded_cf_2,bounded_cf,shuffled_similarity,0.6836338321402509,0.7694117647058824,0.4348404255319149,0.10932475884244373,0.08467309753483387,0.2290748898678414,0.2290748898678414,0.0881057268722467,0.0,0.7709251101321586,0.10647997394985347,0.5367168963356554,0.10730546787581141
bounded_cf_2,bounded_cf,random_tint,0.7455286719967387,0.7423887587822015,0.4260752688172043,0.10396570203644159,0.09860664523043944,0.391304347826087,0.391304347826087,0.09178743961352658,0.22705314009661837,0.6086956521739131,0.10289807880169326,0.5388615576860838,0.04541062801932361
