name,family,alpha,window_size,phase,window_mode,drift_scale,balance_score,balance_spread,complexity_ratio,complexity_deviation,periodicity_match,best_period,tradeoff_score
golden,golden,0.6180339887498948,0.2,0.0,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2.661749159930978
golden,golden,0.6180339887498948,0.2,0.0,moving,0.07,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.3253855235673417
golden,golden,0.6180339887498948,0.2,0.0,moving,0.11,0.2727272727272727,2.0,0.21622077158325917,0.26417067780704145,0.0,257,2.971337299064572
golden,golden,0.6180339887498948,0.2,0.0,double,0.0,0.2727272727272727,2.0,0.1975333945907978,0.48142589733498825,0.0,257,2.7758076014894195
golden,golden,0.6180339887498948,0.2,0.17,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.0,257,2.661749159930978
golden,golden,0.6180339887498948,0.2,0.17,moving,0.07,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.3253855235673417
golden,golden,0.6180339887498948,0.2,0.17,moving,0.11,0.2727272727272727,2.0,0.21622077158325917,0.26417067780704145,0.0,257,2.971337299064572
golden,golden,0.6180339887498948,0.2,0.17,double,0.0,0.2727272727272727,2.0,0.1975333945907978,0.48142589733498825,0.0,257,2.7758076014894195
golden,golden,0.6180339887498948,0.34,0.0,moving,0.03,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
golden,golden,0.6180339887498948,0.34,0.0,moving,0.07,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
golden,golden,0.6180339887498948,0.34,0.0,moving,0.11,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.3253855235673417
golden,golden,0.6180339887498948,0.34,0.0,double,0.0,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.1112946144764324
golden,golden,0.6180339887498948,0.34,0.17,moving,0.03,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
golden,golden,0.6180339887498948,0.34,0.17,moving,0.07,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.0,257,2.295385523567342
golden,golden,0.6180339887498948,0.34,0.17,moving,0.11,0.18181818181818182,3.0,0.2294936218635251,0.60815749906659,0.0,257,2.3253855235673417
golden,golden,0.6180339887498948,0.34,0.17,double,0.0,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.1112946144764324
golden,golden,0.6180339887498948,0.47,0.0,moving,0.03,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
golden,golden,0.6180339887498948,0.47,0.0,moving,0.07,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.3840218872037053
golden,golden,0.6180339887498948,0.47,0.0,moving,0.11,0.36363636363636365,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.7203855235673418
golden,golden,0.6180339887498948,0.47,0.0,double,0.0,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.1112946144764324
golden,golden,0.6180339887498948,0.47,0.17,moving,0.03,0.18181818181818182,4.0,0.2721072582271615,0.6945211354302263,0.0,257,2.047658250840069
golden,golden,0.6180339887498948,0.47,0.17,moving,0.07,0.2727272727272727,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.3840218872037053
golden,golden,0.6180339887498948,0.47,0.17,moving,0.11,0.36363636363636365,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.7203855235673418
golden,golden,0.6180339887498948,0.47,0.17,double,0.0,0.09090909090909091,3.0,0.2721072582271615,0.6945211354302263,0.0,257,2.1112946144764324
silver,silver,0.41421356237309515,0.2,0.0,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.008928571428571428,112,2.621570588502407
silver,silver,0.41421356237309515,0.2,0.0,moving,0.07,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,2.7238920170738354
silver,silver,0.41421356237309515,0.2,0.0,moving,0.11,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,2.5238920170738353
silver,silver,0.41421356237309515,0.2,0.0,double,0.0,0.09090909090909091,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.3112946144764326
silver,silver,0.41421356237309515,0.2,0.17,moving,0.03,0.2727272727272727,2.0,0.2294936218635251,0.60815749906659,0.008928571428571428,112,2.621570588502407
silver,silver,0.41421356237309515,0.2,0.17,moving,0.07,0.2727272727272727,2.0,0.20818680368170692,0.5391098800189709,0.0,257,2.7238920170738354
silver,silver,0.41421356237309515,0.2,0.17,moving,0.11,0.2727272727272727,3.0,0.20818680368170692,0.5391098800189709,0.0,257,2.5238920170738353
silver,silver,0.41421356237309515,0.2,0.17,double,0.0,0.09090909090909091,2.0,0.2721072582271615,0.6945211354302263,0.0,257,2.3112946144764326
silver,silver,0.41421356237309515,0.34,0.0,moving,0.03,0.18181818181818182,3.0,0.23801634913625236,0.6414908323999232,0.008928571428571428,112,2.2552069521387703
silver,silver,0.41421356237309515,0.34,0.0,moving,0.07,0.18181818181818182,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2.495385523567342
silver,silver,0.41421356237309515,0.34,0.0,moving,0.11,0.2727272727272727,2.0,0.23801634913625236,0.6414908323999232,0.0,257,2.631749159930978
