flow,family,best_score,best_delay,mean_score,mean_witness_conversion,mean_delayed_retention,mean_prediction_update_rate,mean_rupture_rate,mean_fit_error,density_gap,block_gap
golden,phi,0.7828974103486029,21,0.2932650718621069,0.02667476708057323,0.013986066059115412,0.02976190476190476,0.5215725416377642,0.4141770390035675,-0.017281433989599915,0.02852619625012337
silver,metallic,0.7913371288587557,21,0.3034054481579447,0.029817918732686174,0.01548866477558581,0.03273809523809524,0.5228676020187358,0.4123524310776287,-0.002566570734807927,0.036016766518538745
bounded_cf_2,bounded_cf,0.7923186474762317,5,0.3024893483108256,0.036018796111846434,0.018630381250088476,0.03869047619047619,0.48628730906187434,0.40857230144348544,-0.01502079275659901,-0.00845025032037855
random_cf_1,random_cf,0.7891637752817573,21,0.3036069295297416,0.030836131657538627,0.01598999277976586,0.03373015873015873,0.4907755815901849,0.4220043341105168,-0.011932562750666065,0.038517660027688805
fib_13_21,rational,0.7860190778771372,13,0.280623293796251,0.02374545826199199,0.012508352655988647,0.026785714285714284,0.5207767252791143,0.39364540191444425,-0.043003514075935556,-0.030819351437506026
pi_mod1,constant,0.7884191376541919,21,0.30481879181578364,0.03692700018564716,0.019284285835096553,0.04265873015873016,0.46627399803851327,0.4434352139911314,-0.004073780710855013,-0.002361476096250703
