flow,family,alpha,offset,window_width,beta,drift,membrane_gain,membrane_decay,write_threshold,overload_threshold,stability_window,write_count,witness_count,release_count,overload_count,witness_conversion,delayed_retention,release_rate,overload_rate,mean_crossing_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.3,0.9,0.52,1.15,5,0.0,0.0,433.0,483.0,0.0,0.0,0.47270742358078605,0.527292576419214,0.5112050381297224,0.0,0.284720687496297,0.3730718415012826
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.3,0.9,0.52,1.15,5,0.0,1.0,463.0,378.0,0.0,0.0,0.5498812351543944,0.4489311163895487,0.5099202872388681,0.0,0.783181742802295,0.47349396166246716
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.3,0.9,0.52,1.15,5,0.0,0.0,445.0,355.0,0.0,0.0,0.55625,0.44375,0.5020276921797139,0.0,0.8384836976662099,0.48351270105570626
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.3,0.9,0.52,1.15,5,0.0,0.0,461.0,315.0,0.0,0.0,0.5940721649484536,0.4059278350515464,0.5328985751207534,0.0,0.7162926069178156,0.46331156492314185
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.0,0.3,0.9,0.68,1.15,5,0.0,0.0,456.0,427.0,0.0,0.0,0.5164212910532276,0.48357870894677235,0.2560026057844861,0.0,0.785262462690749,0.4417170311717428
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.0,0.3,0.9,0.68,1.15,5,0.0,0.0,494.0,403.0,0.0,0.0,0.5507246376811594,0.4492753623188406,0.36340827606757165,0.0,0.8189531782839248,0.46222391654204303
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.0,0.3,0.9,0.68,1.15,5,0.0,0.0,492.0,394.0,0.0,0.0,0.5553047404063205,0.44469525959367945,0.4362842585778509,0.0,0.7887925829921051,0.4653470963247156
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.0,0.3,0.9,0.68,1.15,5,0.0,0.0,433.0,483.0,0.0,0.0,0.47270742358078605,0.527292576419214,0.5112050381297224,0.0,0.284720687496297,0.3730718415012826
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.0,0.3,0.9,0.68,1.15,5,0.0,1.0,463.0,378.0,0.0,0.0,0.5498812351543944,0.4489311163895487,0.5099202872388681,0.0,0.783181742802295,0.47349396166246716
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.0,0.3,0.9,0.68,1.15,5,0.0,0.0,445.0,355.0,0.0,0.0,0.55625,0.44375,0.5020276921797139,0.0,0.8384836976662099,0.48351270105570626
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.3,0.9,0.68,1.15,5,0.0,0.0,461.0,315.0,0.0,0.0,0.5940721649484536,0.4059278350515464,0.5328985751207534,0.0,0.7162926069178156,0.46331156492314185
