mode,flow,family,alpha,offset,delay,slot_count,window_width,stack_gain,stack_decay,groove_gain,groove_decay,phase_gain,relation_gain,write_threshold,rupture_threshold,write_count,witness_count,witness_conversion,delayed_retention,release_rate,rupture_rate,groove_rate,relation_rate,phase_hit_rate,total_groove,max_groove,pollution,phase_lock_resistance,score
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,13,0.22,0.3,0.992,0.1,0.985,0.16,0.18,0.72,1.2,332.0,838.0,0.39618138424821003,0.28376068376068375,0.029850746268656716,0.0,0.6202321724709784,0.0,0.0,1.5107907031428693,0.10970567826972748,0.07977857375447737,0.42006701681485525,0.49987423179438006
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,13,0.22,0.3,0.992,0.1,0.985,0.16,0.18,0.72,1.2,212.0,578.0,0.36678200692041524,0.2683544303797468,0.15219721329046088,0.0010718113612004287,0.4866023579849946,0.0,0.0,1.1046043719785816,0.0964988955202715,0.06903288830999674,0.42922261094008385,0.48757252887882685
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,13,0.22,0.3,0.992,0.1,0.985,0.16,0.18,0.72,1.2,224.0,587.0,0.38160136286201024,0.2762022194821208,0.13539445628997868,0.0,0.511727078891258,0.0,0.0,1.1816997655492123,0.13642286597847086,0.07261478345815696,0.576994798444884,0.5141210377664803
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,13,0.22,0.3,0.992,0.1,0.985,0.16,0.18,0.72,1.2,227.0,556.0,0.40827338129496404,0.28991060025542786,0.1792452830188679,0.0,0.45178197064989517,0.0,0.0,1.1186886971346541,0.11829369140465544,0.07391729078476067,0.5007201736583158,0.5062739515660315
slot_stack,golden,phi,0.5820339887498948,-0.036,8,13,0.22,0.3,0.992,0.1,0.995,0.32,0.18,0.72,1.6,269.0,584.0,0.4606164383561644,0.31535756154747946,0.0925531914893617,0.0,0.7946808510638298,0.0,0.0,3.4604150458835172,0.3589994267001085,0.052425919895799415,0.4889527297473819,0.52342118110176
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,13,0.22,0.3,0.992,0.1,0.995,0.32,0.18,0.72,1.6,252.0,585.0,0.4307692307692308,0.3010752688172043,0.10862619808306709,0.0,0.825346112886049,0.0,0.0,3.56247751368137,0.23812259127433963,0.057635949202214265,0.4925521684245161,0.5157012911115443
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,13,0.22,0.3,0.992,0.1,0.995,0.32,0.18,0.72,1.6,263.0,587.0,0.44804088586030666,0.30941176470588233,0.09381663113006397,0.0,0.7825159914712153,0.0,0.0,3.4969769403191875,0.37343555877139195,0.06838163464669489,0.547985576290511,0.5281726041585211
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,13,0.22,0.3,0.992,0.1,0.995,0.32,0.18,0.72,1.6,371.0,803.0,0.46201743462017436,0.31601362862010224,0.026533996683250415,0.0,0.9162520729684909,0.0,0.0,4.4877473289134,0.3094829959552734,0.08759361771409964,0.40868873403272354,0.5132044526699695
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,13,0.22,0.3,0.992,0.1,0.995,0.32,0.18,0.72,1.6,240.0,561.0,0.42780748663101603,0.299625468164794,0.1414790996784566,0.0,0.752411575562701,0.0,0.0,3.5990089897325026,0.20656254656300133,0.07749918593292088,0.43029296233686665,0.5023088389432141
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,13,0.22,0.3,0.992,0.1,0.995,0.32,0.18,0.72,1.6,241.0,589.0,0.4091680814940577,0.29036144578313255,0.11513859275053305,0.0,0.7750533049040512,0.0,0.0,3.5183104312935316,0.258753285663378,0.07815043959622273,0.5771911031317585,0.5215053809387932
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,13,0.22,0.3,0.992,0.1,0.995,0.32,0.18,0.72,1.6,240.0,558.0,0.43010752688172044,0.3007518796992481,0.16352201257861634,0.0,0.6823899371069182,0.0,0.0,3.4659166208868,0.24807149412723067,0.07815043959622273,0.5010928715639935,0.5120981031389412
slot_stack,golden,phi,0.5820339887498948,-0.036,8,13,0.3,0.18,0.975,0.1,0.985,0.16,0.18,0.54,1.6,178.0,656.0,0.27134146341463417,0.21342925659472423,0.38676470588235295,0.0,0.6330882352941176,0.0,0.0,1.6274840982681735,0.14643355902998803,0.039400846629762294,0.4701153420114953,0.45842721182250173
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,13,0.3,0.18,0.975,0.1,0.985,0.16,0.18,0.54,1.6,171.0,576.0,0.296875,0.2289156626506024,0.4425373134328358,0.0,0.6507462686567164,0.0,0.0,1.6661793808667764,0.1532548810017023,0.045913383262780855,0.4915669302782413,0.4641966500519497
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,13,0.3,0.18,0.975,0.1,0.985,0.16,0.18,0.54,1.6,183.0,581.0,0.31497418244406195,0.2395287958115183,0.4289985052316891,0.0,0.6472346786248132,0.0,0.0,1.622918034315607,0.23102935617042342,0.044610875936177144,0.5476419152542655,0.47796797012969405
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,13,0.3,0.18,0.975,0.1,0.985,0.16,0.18,0.54,1.6,323.0,808.0,0.3997524752475248,0.28558797524314766,0.3624577226606539,0.0,0.8072153325817362,0.0,0.0,2.1378879766102594,0.3192162876702241,0.0846629762292413,0.4111815089431651,0.47908771221947705
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,13,0.3,0.18,0.975,0.1,0.985,0.16,0.18,0.54,1.6,143.0,534.0,0.26779026217228463,0.21122599704579026,0.49021084337349397,0.0,0.5933734939759037,0.0,0.0,1.5401823612150674,0.11738965518661164,0.045913383262780855,0.43343768344779254,0.44537278927160573
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,13,0.3,0.18,0.975,0.1,0.985,0.16,0.18,0.54,1.6,146.0,542.0,0.2693726937269373,0.21220930232558138,0.4857997010463378,0.0,0.5560538116591929,0.0,0.0,1.6506774324882767,0.14515513393210272,0.047215890589384565,0.46403283960725206,0.4505323987729556
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,13,0.3,0.18,0.975,0.1,0.985,0.16,0.18,0.54,1.6,155.0,487.0,0.3182751540041068,0.24143302180685358,0.5233853006681515,0.0,0.5419450631031922,0.0,0.0,1.6025611524819252,0.13791615212693845,0.05047215890589384,0.5047764453988037,0.466273366661908
slot_stack,golden,phi,0.5820339887498948,-0.036,8,13,0.3,0.18,0.975,0.1,0.985,0.32,0.18,0.54,1.2,178.0,656.0,0.27134146341463417,0.21342925659472423,0.38676470588235295,0.0,0.6330882352941176,0.0,0.0,1.6274840982681735,0.14643355902998803,0.039400846629762294,0.4701153420114953,0.45842721182250173
slot_stack,golden,phi,0.5940339887498948,-0.023999999999999997,8,13,0.3,0.18,0.975,0.1,0.985,0.32,0.18,0.54,1.2,171.0,576.0,0.296875,0.2289156626506024,0.4425373134328358,0.0,0.6507462686567164,0.0,0.0,1.6661793808667764,0.1532548810017023,0.045913383262780855,0.4915669302782413,0.4641966500519497
slot_stack,golden,phi,0.6060339887498948,-0.011999999999999997,8,13,0.3,0.18,0.975,0.1,0.985,0.32,0.18,0.54,1.2,183.0,581.0,0.31497418244406195,0.2395287958115183,0.4289985052316891,0.0,0.6472346786248132,0.0,0.0,1.622918034315607,0.23102935617042342,0.044610875936177144,0.5476419152542655,0.47796797012969405
slot_stack,golden,phi,0.6180339887498948,3.469446951953614e-18,8,13,0.3,0.18,0.975,0.1,0.985,0.32,0.18,0.54,1.2,323.0,808.0,0.3997524752475248,0.28558797524314766,0.3624577226606539,0.0,0.8072153325817362,0.0,0.0,2.1378879766102594,0.3192162876702241,0.0846629762292413,0.4111815089431651,0.47908771221947705
slot_stack,golden,phi,0.6300339887498948,0.012000000000000004,8,13,0.3,0.18,0.975,0.1,0.985,0.32,0.18,0.54,1.2,143.0,534.0,0.26779026217228463,0.21122599704579026,0.49021084337349397,0.0,0.5933734939759037,0.0,0.0,1.5401823612150674,0.11738965518661164,0.045913383262780855,0.43343768344779254,0.44537278927160573
slot_stack,golden,phi,0.6420339887498948,0.024000000000000004,8,13,0.3,0.18,0.975,0.1,0.985,0.32,0.18,0.54,1.2,146.0,542.0,0.2693726937269373,0.21220930232558138,0.4857997010463378,0.0,0.5560538116591929,0.0,0.0,1.6506774324882767,0.14515513393210272,0.047215890589384565,0.46403283960725206,0.4505323987729556
slot_stack,golden,phi,0.6540339887498948,0.036000000000000004,8,13,0.3,0.18,0.975,0.1,0.985,0.32,0.18,0.54,1.2,155.0,487.0,0.3182751540041068,0.24143302180685358,0.5233853006681515,0.0,0.5419450631031922,0.0,0.0,1.6025611524819252,0.13791615212693845,0.05047215890589384,0.5047764453988037,0.466273366661908
slot_stack,golden,phi,0.5820339887498948,-0.036,8,13,0.3,0.18,0.992,0.18,0.985,0.16,0.18,0.54,1.2,402.0,791.0,0.5082174462705437,0.3369656328583403,0.12205882352941176,0.0007352941176470588,0.8897058823529411,0.0,0.0,2.929471376882712,0.2635804062539785,0.057635949202214265,0.4614887554858592,0.5280089420751242
