mode,flow,family,best_score,best_delay,best_slot_count,mean_score,mean_witness_conversion,mean_delayed_retention,mean_groove_rate,mean_relation_rate,mean_phase_hit_rate,mean_rupture_rate,density_gap,block_gap,phase_scramble_gap
slot_stack,golden,phi,0.603537473004635,13,13,0.4963190643240051,0.4021275753280488,0.2753024016394598,0.7318928861118675,0.0,0.0,0.005679337343643209,0.09811527907124928,0.1649193878986307,-0.002602588472780498
slot_stack,silver,metallic,0.6049743528105802,21,13,0.4963884951804772,0.393606737033938,0.26919423952233973,0.7155418341171897,0.0,0.0,0.001733728431980751,0.11510974084096781,0.16080463841484954,-0.09656862349389123
slot_stack,bounded_cf_2,bounded_cf,0.5807807880114056,21,13,0.4889991957303959,0.39007751762892157,0.26839720840491,0.6463252983046297,0.0,0.0,0.0014642251357607156,0.09568951556984123,0.16799859051676053,-0.09279678480514081
slot_stack,random_cf_1,random_cf,0.5859386215654163,13,13,0.4923235628325232,0.3940712980073032,0.27170612540840394,0.6691364713797348,0.0,0.0,0.0025645930730615637,0.09959753943191724,0.16568013166326295,-0.08718298594807694
slot_stack,fib_13_21,rational,0.584021886389356,13,13,0.4849053028496361,0.40439601443121187,0.27623563398900053,0.7196851928308015,0.0,0.0,0.005627551444122267,0.09385925824340402,0.15821303131114378,-0.07171948320516591
slot_stack,pi_mod1,constant,0.5843661305090648,21,13,0.4869619053431884,0.3870080595731372,0.26816625306420255,0.6634835086330899,0.0,0.0,0.0024964478836543903,0.10130765773565525,0.1618200587054371,-0.08961191410888514
relational,golden,phi,0.7246394567459833,21,13,0.6508881505672038,0.5951773215614802,0.36663840836926076,0.7318928861118675,0.8039830782903966,0.0,0.07045073009928231,0.2738316419078782,0.3037041275707492,-0.03824168744921275
relational,silver,metallic,0.737709217701912,21,13,0.6571002426631645,0.6044741770680218,0.36995974007249555,0.7155649955382704,0.8208316960626073,0.0,0.06633312639799037,0.26453055113887314,0.31208047372591696,-0.03085724669217471
relational,bounded_cf_2,bounded_cf,0.7244004729344342,21,13,0.6428890338363198,0.5798454627713924,0.3601805506971617,0.6463252983046297,0.7937897570428374,0.0,0.05931707015803134,0.24244290352684356,0.3064725138891425,-0.08445527272609876
relational,random_cf_1,random_cf,0.7268093610773131,21,13,0.6487166333446186,0.5918912892213497,0.36509324129663207,0.6691364713797348,0.8094617914750277,0.0,0.06462886399708223,0.2940601355028827,0.307323657069897,-0.07750052267137197
relational,fib_13_21,rational,0.7168361767179865,21,13,0.6398928530960639,0.5933001931318274,0.3659174566151803,0.7196851928308015,0.7883524815613917,0.0,0.06696345432357674,0.23752134682977577,0.3021954361810581,-0.04177824805799846
relational,pi_mod1,constant,0.7284683018504067,21,13,0.6440201487872393,0.5855056879803091,0.3622151665221284,0.6634835086330899,0.8037021397426967,0.0,0.06306685885484753,0.24318379948470703,0.30715585688515684,-0.060677207534810984
phase_groove,golden,phi,0.8170937022303991,13,13,0.740106126361297,0.5645537931927426,0.357502625432273,0.7318928861118675,0.8532193805794153,0.5898613865015803,0.19473299370693067,0.33635919944273146,0.4063455849849705,-0.0317135445707295
phase_groove,silver,metallic,0.8300814185264486,21,13,0.7449651134321394,0.5734509346062857,0.36109714105342305,0.7157120720058148,0.8689801239714137,0.5694522284133885,0.18592044699482174,0.3511729677846916,0.40304333900855394,-0.03133463131301106
phase_groove,bounded_cf_2,bounded_cf,0.8082017195794795,21,13,0.7345225553793512,0.5513391726675582,0.35226231319429646,0.6464402560999787,0.8441609521139797,0.5719395647672343,0.17448480018663168,0.3694776187855817,0.40382591608235074,-0.0572260331162594
phase_groove,random_cf_1,random_cf,0.81606247791434,21,13,0.7362002570409361,0.5564627264587255,0.3543698134278129,0.6691429786154635,0.8575526034281351,0.5667960278315146,0.184782620704893,0.344196856634449,0.3995260837314092,-0.07199277285120165
phase_groove,fib_13_21,rational,0.8051851212352421,21,13,0.7331467770543831,0.5701819294180409,0.35993116512921125,0.7196851928308015,0.8385540245352405,0.5828035094609122,0.18893159440700397,0.3472855712367269,0.4047335313815418,-0.044372063243677484
phase_groove,pi_mod1,constant,0.8069203981756115,21,13,0.7350598909792987,0.5565998002537375,0.3546141810278885,0.6635376635120964,0.8520267289901302,0.5755124417591765,0.18191438415767372,0.33795768036189694,0.4040290406833664,-0.04547626523660875
