anchor,model,real_score,shuffled_score,markov_score,density_score,surrogate_gap
golden,flat_ternary,0.5962255362027843,0.7904572581037491,0.7522302524329616,0.7735780731284712,-0.19423172190096483
golden,torus_single_flow,0.5312517075021242,0.5486060953170986,0.6138733130653332,0.5454146079632758,-0.08262160556320897
golden,torus_counter_flow,0.530611147541708,0.5590229022728199,0.6726689243204387,0.5639127109477253,-0.14205777677873066
golden,sphere_projected_torus,0.7564836015641294,0.7892283088405659,0.7538636039798312,0.7918715302685374,-0.03538792870440799
silver,flat_ternary,0.7242092444533236,0.8076251973025232,0.7463109566826462,0.7816609822423154,-0.08341595284919967
silver,torus_single_flow,0.5423362847699,0.5636851028973322,0.5761318539959117,0.5596144680842002,-0.03379556922601168
silver,torus_counter_flow,0.5432867390997025,0.5574246879073366,0.6930647358557294,0.5578963076036229,-0.14977799675602688
silver,sphere_projected_torus,0.738901033422086,0.7937932333923365,0.7590166256709181,0.8106854003111836,-0.07178436688909762
bronze,flat_ternary,0.6900223920328755,0.8057267244203812,0.781933685709788,0.7945906907582378,-0.11570433238750566
bronze,torus_single_flow,0.5434972481304802,0.5560264408841735,0.6250095719247679,0.5592368479087317,-0.08151232379428774
bronze,torus_counter_flow,0.5456465034605601,0.5450162305675527,0.6715246809705302,0.559571282450481,-0.1258781775099701
bronze,sphere_projected_torus,0.634888619661457,0.8000148412622342,0.7775357000707627,0.7797221316283787,-0.16512622160077717
noble_a,flat_ternary,0.709225095441771,0.7932338412218987,0.7400672843248686,0.7970502904709647,-0.08782519502919361
noble_a,torus_single_flow,0.534644179914324,0.5564850860555102,0.6928578560232037,0.5490158257449669,-0.1582136761088797
noble_a,torus_counter_flow,0.5339876353080307,0.562225747055517,0.5926790684886569,0.5569611389902818,-0.058691433180626196
noble_a,sphere_projected_torus,0.7457848725405634,0.7810971041697774,0.7536482324183744,0.7927986615538272,-0.04701378901326381
noble_b,flat_ternary,0.6888488916287617,0.7918199990529826,0.7448925139349415,0.8036566946189807,-0.11480780299021898
noble_b,torus_single_flow,0.5249469433166103,0.5491156663829576,0.61819587108228,0.5628425698732898,-0.09324892776566973
noble_b,torus_counter_flow,0.5251889399816504,0.5608521259147192,0.6025372565485346,0.5636934529672788,-0.07734831656688423
noble_b,sphere_projected_torus,0.6832533850413839,0.790607616338132,0.727853989606763,0.778507603383752,-0.10735423129674815
bounded_probe,flat_ternary,0.6894958603294834,0.7898575410354012,0.7433365472199136,0.7869737483397944,-0.10036168070591778
bounded_probe,torus_single_flow,0.5433712458963141,0.5620222288660179,0.6130383490577518,0.5472763085909985,-0.06966710316143765
bounded_probe,torus_counter_flow,0.5411706470487184,0.5617048131595851,0.651036796721793,0.5554712462443502,-0.10986614967307462
bounded_probe,sphere_projected_torus,0.7010002624582455,0.7938235865966443,0.7779038692616684,0.7798658282579296,-0.09282332413839878
random_bad_cf,flat_ternary,0.6491589426651715,0.7901518634505637,0.7899834695875415,0.8072200443494129,-0.15806110168424137
random_bad_cf,torus_single_flow,0.5279561137152602,0.5608327114093998,0.6500531511301587,0.5562859276271792,-0.12209703741489852
random_bad_cf,torus_counter_flow,0.5270159564352876,0.558010725424684,0.5796251639452359,0.5560626513996175,-0.05260920750994824
random_bad_cf,sphere_projected_torus,0.7086030437207108,0.8049039781117571,0.7441236261051448,0.7990127426490756,-0.09630093439104626
pi_mod1,flat_ternary,0.7488135315896386,0.8008166545913088,0.7573782266200734,0.8029863705536717,-0.05417283896403313
pi_mod1,torus_single_flow,0.5442778875639817,0.5509767035176936,0.5319986177296983,0.5613491327967688,-0.017071245232787136
pi_mod1,torus_counter_flow,0.4996022663592944,0.5561543459360501,0.634760203898533,0.5615459490015136,-0.13515793753923866
pi_mod1,sphere_projected_torus,0.6748601372040733,0.8007589939094732,0.7530885528462322,0.7986756894630749,-0.1258988567053999
e_mod1,flat_ternary,0.6345702593188087,0.7862866464751621,0.7836216609699909,0.797105132353731,-0.1625348730349223
e_mod1,torus_single_flow,0.5450012613031894,0.5373992065755706,0.60192541610391,0.5461384820266748,-0.05692415480072066
e_mod1,torus_counter_flow,0.5451163286428696,0.5426460782438038,0.5330527695041491,0.552371752719511,-0.00725542407664137
e_mod1,sphere_projected_torus,0.5373511018845452,0.8068713004316558,0.7866090734662083,0.8114357701654816,-0.27408466828093647
fib_13_21,flat_ternary,0.7061883946321208,0.7818447297618286,0.7363392850866008,0.8000695870011906,-0.09388119236906978
fib_13_21,torus_single_flow,0.5314149247228629,0.5476366766487756,0.6508090075383584,0.5600957056719329,-0.11939408281549546
fib_13_21,torus_counter_flow,0.5095045885498948,0.5534566885265663,0.6583536710112319,0.5548337578088194,-0.1488490824613371
fib_13_21,sphere_projected_torus,0.7528333121811377,0.7983513516526586,0.7547765050180615,0.7930650225840508,-0.04551803947152089
