anchor,anchor_family,model,global_hotspot_offset,hotspot_stability,phase_lock_resistance,delayed_retention,pollution,witness_conversion,mean_closure_latency,return_interval_diversity,rigidity_after_perturbation,center_share,composite_score,surrogate_gap
golden,phi_anchor,flat_ternary,-0.01800000000000001,0.375,0.38287694343741296,0.9925595238095238,0.3889068544898576,0.3661782203631591,3.018446421950315,0.13989310178730632,0.96942138671875,0.8475341796875,0.7489170005706391,-0.19423172190096483
golden,phi_anchor,torus_single_flow,-0.021000000000000008,0.0,0.5713398715846116,0.5,0.12425524568714867,0.12137333500436688,5.6775815524649484,0.31404861329800127,0.99127197265625,0.91192626953125,0.6865773183884972,-0.08262160556320897
golden,phi_anchor,torus_counter_flow,-0.021000000000000008,0.0,0.5734223919398055,0.5,0.13023697320407843,0.12052738290549914,5.667374655575588,0.32849569849220334,0.99066162109375,0.9122314453125,0.6873080972791543,-0.14205777677873066
golden,phi_anchor,sphere_projected_torus,-0.048,0.75,0.5919220983318996,0.9996234939759037,0.0008224833621829676,0.41944448050259475,2.8722970339854763,0.1850197521586193,0.96795654296875,0.82373046875,0.9217103802730954,-0.03538792870440799
silver,metallic_anchor,flat_ternary,0.02399999999999998,0.375,0.5457805733903758,0.9982642478625373,0.07415444971961493,0.41089305579449054,2.7609270339774206,0.21469222590398032,0.96868896484375,0.8236083984375,0.8924766440654763,-0.08341595284919967
silver,metallic_anchor,torus_single_flow,-0.06,0.625,0.5699128562418957,0.5,0.08497106354356182,0.14200070197982106,5.66080686701927,0.3242947616523135,0.989990234375,0.9124755859375,0.6986936940432957,-0.03379556922601168
silver,metallic_anchor,torus_counter_flow,-0.06,0.625,0.5695659129633694,0.5,0.08150311184101036,0.1440830614464383,5.568447969856816,0.3271372871711264,0.99078369140625,0.91204833984375,0.6999074792567364,-0.14977799675602688
silver,metallic_anchor,sphere_projected_torus,0.02399999999999998,0.25,0.5523497207999186,0.9988786843410543,0.02594745835680219,0.42558660225543865,2.8714800467590162,0.2647122775965995,0.96807861328125,0.82391357421875,0.9121599286488048,-0.07178436688909762
bronze,metallic_anchor,flat_ternary,-0.009000000000000011,0.375,0.5540515831156654,0.9984380792954348,0.29424896144660334,0.44962213255637884,3.532241033702636,0.29895810012034874,0.96795654296875,0.82354736328125,0.8666584188881052,-0.11570433238750566
bronze,metallic_anchor,torus_single_flow,-0.06,0.75,0.5899088854385046,0.5,0.11558222612403476,0.14469262392330873,5.750944951945405,0.364660296351065,0.9918212890625,0.91253662109375,0.7039838535471581,-0.08151232379428774
bronze,metallic_anchor,torus_counter_flow,-0.06,0.625,0.5893050058813005,0.5,0.10472930738324876,0.14571479409759813,5.810526487119242,0.3628788244568717,0.99066162109375,0.91290283203125,0.70580131187945,-0.1258781775099701
bronze,metallic_anchor,sphere_projected_torus,-0.006000000000000012,0.5,0.414475464740408,0.9961541801361434,0.30126077948150126,0.41831081726610236,3.5426381417382924,0.11153024998597219,0.9664306640625,0.83074951171875,0.7925438634175126,-0.16512622160077717
noble_a,noble_anchor,flat_ternary,-0.01500000000000001,0.375,0.5094356475780403,0.9992858797960913,0.12341144309051805,0.44944009744686275,2.829267634559942,0.3115257485774927,0.96832275390625,0.82366943359375,0.8870888230987829,-0.08782519502919361
noble_a,noble_anchor,torus_single_flow,-0.01200000000000001,0.0,0.5694730957030072,0.5,0.11626897277450499,0.1348728996122361,5.725189473220933,0.3341305960438744,0.99163818359375,0.9110107421875,0.6919491923029033,-0.1582136761088797
noble_a,noble_anchor,torus_counter_flow,-0.01200000000000001,0.0,0.5710200137412347,0.5,0.12380893640350876,0.13668121064840383,5.648571466668652,0.327242658470449,0.991943359375,0.9114990234375,0.6907401101326264,-0.058691433180626196
noble_a,noble_anchor,sphere_projected_torus,0.011999999999999983,0.75,0.5688901442505033,0.9968276827260705,0.03216958644752192,0.44269105345331594,3.355678139492288,0.3155625444437773,0.96820068359375,0.8236083984375,0.9241258499680984,-0.04701378901326381
noble_b,noble_anchor,flat_ternary,0.0029999999999999853,0.25,0.5761171431129073,0.997401515418331,0.2757777210692156,0.38251212703935367,2.3038965876723227,0.45387333020076803,0.96826171875,0.8236083984375,0.8809061478118702,-0.11480780299021898
noble_b,noble_anchor,torus_single_flow,-0.03900000000000001,0.0,0.5314021959383446,0.5,0.09305127561319648,0.12711362122340217,5.862083567492736,0.33462659482980806,0.990234375,0.91156005859375,0.6815486012541739,-0.09324892776566973
