anchor,anchor_family,model,model_label,alpha,offset,window_width,phase,beta,length,max_closure_age,memory_capacity,write_count,release_count,witness_expired,delayed_retention,pollution,witness_conversion,mean_closure_latency,return_interval_diversity,phase_lock_resistance,symmetry_balance,rigidity_after_perturbation,center_share,composite_score,surrogate_base_score
golden,phi_anchor,flat_ternary,Flat Ternary,0.5580339887498948,-0.06,0.18,0.0,0.0,4096,4,34,181.0,3476.0,0.0,0.9945054945054945,0.0,0.29193548387096774,2.0,0.0,0.5848282742777167,0.9967741935483871,0.967529296875,0.8486328125,0.8764431781776558,0.7298515388127365
golden,phi_anchor,flat_ternary,Flat Ternary,0.5640339887498947,-0.054,0.18,0.0,0.0,4096,4,34,229.0,3476.0,0.0,1.0,0.0,0.36935483870967745,2.0,0.0,0.45307794853788275,0.9967741935483871,0.9658203125,0.8486328125,0.8469511143980414,0.7005303734706221
golden,phi_anchor,flat_ternary,Flat Ternary,0.5700339887498947,-0.048,0.18,0.0,0.0,4096,4,34,278.0,3477.0,0.0,1.0,0.0,0.4491114701130856,2.0,0.0,0.6149044880407633,0.9983844911147012,0.96826171875,0.848876953125,0.91665298698495,0.769907590554215
golden,phi_anchor,flat_ternary,Flat Ternary,0.5760339887498948,-0.042,0.18,0.0,0.0,4096,4,34,291.0,3476.0,0.0,1.0,0.0,0.4693548387096774,2.0,0.0,0.6078447207221727,1.0,0.9697265625,0.8486328125,0.9181237322632807,0.7711510760132806
golden,phi_anchor,flat_ternary,Flat Ternary,0.5820339887498948,-0.036000000000000004,0.18,0.0,0.0,4096,4,34,242.0,3476.0,0.0,0.9958847736625515,0.0,0.3903225806451613,2.0,0.0,0.5829543396148515,1.0,0.967529296875,0.8486328125,0.894063206298193,0.7473102766106929
golden,phi_anchor,flat_ternary,Flat Ternary,0.5880339887498948,-0.030000000000000006,0.18,0.0,0.0,4096,4,34,192.0,3476.0,0.0,0.9948186528497409,0.0,0.3096774193548387,2.0,0.0,0.2813468180881088,0.9935483870967742,0.96923828125,0.8486328125,0.7765503239115942,0.6299490764317555
golden,phi_anchor,flat_ternary,Flat Ternary,0.5940339887498948,-0.024000000000000007,0.18,0.0,0.0,4096,4,34,144.0,3476.0,0.0,0.993103448275862,0.1527777777777778,0.23225806451612904,2.0,0.0,0.5817874061817938,1.0,0.9677734375,0.8486328125,0.8339049234263991,0.687127579676399
golden,phi_anchor,flat_ternary,Flat Ternary,0.6000339887498948,-0.01800000000000001,0.18,0.0,0.0,4096,4,34,69.0,3632.0,0.0,0.9857142857142858,0.9855072463768116,0.14870689655172414,3.0,0.0,0.2698164247936127,0.3793103448275862,0.966064453125,0.88671875,0.5129753390876557,0.3974033765337764
golden,phi_anchor,flat_ternary,Flat Ternary,0.6060339887498948,-0.01200000000000001,0.18,0.0,0.0,4096,4,34,168.0,3480.0,0.0,1.0,0.2619047619047619,0.2727272727272727,3.0,0.0,0.41091941908542007,0.9935064935064936,0.96826171875,0.849609375,0.7629240557493242,0.6164225591989996
golden,phi_anchor,flat_ternary,Flat Ternary,0.6120339887498948,-0.006000000000000012,0.18,0.0,0.0,4096,4,34,243.0,3476.0,0.0,1.0,0.0,0.3919354838709677,3.0,0.0,0.6008147376583606,1.0,0.9677734375,0.8486328125,0.901602741650617,0.754825397900617
golden,phi_anchor,flat_ternary,Flat Ternary,0.6180339887498948,-1.3877787807814457e-17,0.18,0.0,0.0,4096,4,34,302.0,3478.0,0.0,1.0,0.0,0.4886731391585761,3.0,0.0,0.6018062202286467,1.0,0.968994140625,0.84912109375,0.9194746939887837,0.7725752799262836
golden,phi_anchor,flat_ternary,Flat Ternary,0.6240339887498948,0.0059999999999999845,0.18,0.0,0.0,4096,4,34,229.0,3477.0,0.0,1.0,0.0,0.36995153473344106,3.0,0.0,0.5697866526979114,0.9951534733441034,0.968017578125,0.848876953125,0.8868781696490144,0.7403187381693093
golden,phi_anchor,flat_ternary,Flat Ternary,0.6300339887498948,0.011999999999999983,0.18,0.0,0.0,4096,4,34,155.0,3476.0,0.0,1.0,0.0,0.25,3.0,0.0,0.5542280698497506,1.0,0.96728515625,0.8486328125,0.8601660593739153,0.7134375437489152
golden,phi_anchor,flat_ternary,Flat Ternary,0.6360339887498948,0.01799999999999998,0.18,0.0,0.0,4096,4,34,79.0,3477.0,0.0,0.9875,0.0,0.12762520193861066,3.0,0.0,0.29188596044420023,0.9983844911147012,0.9677734375,0.848876953125,0.7454103312057131,0.598713762899978
golden,phi_anchor,flat_ternary,Flat Ternary,0.6420339887498948,0.02399999999999998,0.18,0.0,0.0,4096,4,34,8.0,3477.0,0.0,0.8888888888888888,0.0,0.012924071082390954,3.0,0.0,0.58869933631406,0.9983844911147012,0.9677734375,0.848876953125,0.7980695643362348,0.6513729960304997
golden,phi_anchor,flat_ternary,Flat Ternary,0.6480339887498948,0.029999999999999978,0.18,0.0,0.0,4096,4,34,0.0,3477.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5749341584906205,0.9983844911147012,0.968017578125,0.848876953125,0.5421985962550461,0.395477613886811
golden,phi_anchor,flat_ternary,Flat Ternary,0.6540339887498947,0.035999999999999976,0.18,0.0,0.0,4096,4,34,0.0,3478.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5930670343567563,1.0,0.968505859375,0.84912109375,0.5484933776187972,0.4016427916812972
golden,phi_anchor,flat_ternary,Flat Ternary,0.6600339887498947,0.041999999999999975,0.18,0.0,0.0,4096,4,34,0.0,3477.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4913128297273589,0.9919224555735057,0.968017578125,0.848876953125,0.5134442426984773,0.367046362107302
golden,phi_anchor,flat_ternary,Flat Ternary,0.6660339887498947,0.04799999999999997,0.18,0.0,0.0,4096,4,34,0.0,3468.0,0.0,0.0,0.0,0.0,4.0,0.0,0.27109156213675234,0.9808917197452229,0.968505859375,0.8466796875,0.438066303051257,0.29217113112649584
golden,phi_anchor,flat_ternary,Flat Ternary,0.6720339887498947,0.05399999999999997,0.18,0.0,0.0,4096,4,34,0.0,3476.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5755871532624985,0.9967741935483871,0.9677734375,0.8486328125,0.5423156855366689,0.3956996321092495
golden,phi_anchor,flat_ternary,Flat Ternary,0.6780339887498947,0.05999999999999997,0.18,0.0,0.0,4096,4,34,0.0,3476.0,0.0,0.0,0.0,0.0,4.0,0.0,0.5934377701551055,0.9967741935483871,0.96728515625,0.8486328125,0.5483360671551553,0.40176884185273587
golden,phi_anchor,flat_ternary,Flat Ternary,0.5580339887498948,-0.06,0.18,0.0,0.0,4096,13,34,235.0,3476.0,0.0,0.9957627118644068,0.0,0.3790322580645161,2.6893617021276595,0.4692889665329597,0.5848282742777167,0.9967741935483871,0.967529296875,0.8486328125,0.939401515046286,0.7458809790280706
