flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_field_radius,best_field_width,best_field_support_gain,best_field_competition_gain,mean_score,mean_recall_survival_rate,mean_same_core_recall_rate,mean_same_field_recall_rate,mean_field_overlap_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8393064245187768,13,13,0.04,0.58,21,5,1.8,0.14,0.08,0.773511253168553,0.4300341623919059,0.17178830032767098,0.4300341623919059,4.609375,0.02121415115396197,0.5699658376080942,0.045614084967831044,0.4058091328477664
silver,metallic,0.838389282065372,21,13,0.04,0.58,21,5,1.2,0.08,0.08,0.7785498323581351,0.49909938048188024,0.13820134421213406,0.49909938048188024,2.421875,0.013408659001797621,0.5009006195181198,0.01104910491423213,0.4519429046899617
bounded_cf_2,bounded_cf,0.8158208784666602,21,13,0.04,0.58,21,5,1.2,0.08,0.08,0.7434168437733197,0.42335586235876627,0.0967757112107276,0.42335586235876627,2.4270833333333335,0.010501669650789655,0.5766441376412337,0.020684901603040942,0.3920970529539973
random_cf_1,random_cf,0.8442088978209091,21,13,0.04,0.58,21,5,1.2,0.08,0.08,0.7753318556998902,0.45602967814705136,0.12686156689437184,0.45602967814705136,2.3645833333333335,0.012897402897070144,0.5439703218529486,0.01764742553412678,0.4493961674130798
fib_13_21,rational,0.8330866768036924,21,13,0.04,0.58,21,5,1.8,0.14,0.08,0.7653775055000877,0.458331626234684,0.16077182385352579,0.458331626234684,2.4427083333333335,0.01169460729972598,0.5416683737653161,0.07025769293316496,0.3999965876938024
pi_mod1,constant,0.8281004650587835,21,13,0.04,0.58,21,5,1.2,0.08,0.08,0.7634641470148108,0.46257974860022355,0.12078855153667822,0.46257974860022355,2.4296875,0.013113294454333999,0.5374202513997764,0.013124043591231213,0.3974289498994714
