flow,family,alpha,best_delay,best_slot_count,context_pressure,similarity_threshold,recall_window,recall_gain,layer_window,recency_decay,resonance_gain,field_radius,field_width,field_support_gain,field_competition_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.55,0.14,3,1.8,0.08,0.08,0.36,0.7567287784679089,0.4307601649970536,0.00564652738565782,0.03613777526821005,0.4870615296147211,0.15008625646923518,0.4870615296147211,0.03680276020701553,0.0,0.5129384703852788,3.45703125,0.095083034842071,0.45688907044520444,0.7939677414587663
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.08,8,0.72,0.08,3,1.8,0.14,0.04,0.24,0.8125,0.4482758620689655,0.004517221908526256,0.07848673066064371,0.5423631123919308,0.17579250720461095,0.5423631123919308,0.07953890489913544,0.0,0.45763688760806914,3.45703125,0.0963855421686747,0.4720470366390296,0.7964930525603112
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.14,13,0.55,0.08,3,1.2,0.08,0.08,0.24,0.8093645484949833,0.44731977818853974,0.004517221908526256,0.07905138339920949,0.5020149683362118,0.15428900402993667,0.5020149683362118,0.0800230282095567,0.0,0.49798503166378816,3.45703125,0.0963855421686747,0.4731272942474757,0.7934851528425934
golden,phi,0.6180339887498948,13,13,0.04,0.58,13,0.2,8,0.72,0.08,3,1.2,0.14,0.04,0.24,0.8975903614457831,0.473015873015873,0.004517221908526256,0.10615471485036702,0.5709322524609148,0.2252460914881297,0.5709322524609148,0.09669947886508395,0.0,0.4290677475390851,3.45703125,0.09573428850537284,0.4853242199244133,0.812399989493949
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,3,1.8,0.08,0.04,0.24,0.830316742081448,0.453646477132262,0.004517221908526256,0.0818746470920384,0.4926052332195677,0.2161547212741752,0.4926052332195677,0.07963594994311718,0.0,0.5073947667804323,3.45703125,0.09345490068381634,0.4766502339676021,0.8032658555955912
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,8,0.55,0.14,5,1.2,0.08,0.08,0.36,0.8041666666666667,0.4457274826789838,0.005081874647092038,0.01693958215697346,0.4957410562180579,0.252129471890971,0.4957410562180579,0.014196479273140262,0.0,0.504258943781942,5.76171875,0.09964181048518397,0.443178918802288,0.8212661645805684
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.14,13,0.72,0.08,5,1.8,0.14,0.08,0.36,0.8634886240520043,0.4633720930232558,0.005081874647092038,0.023715415019762844,0.5621805792163543,0.31686541737649065,0.5621805792163543,0.018171493469619535,0.0,0.43781942078364566,5.76171875,0.10159557147508955,0.4512706546191364,0.8393064245187768
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,8,0.72,0.08,5,1.8,0.08,0.04,0.24,0.7880434782608695,0.44072948328267475,0.007905138339920948,0.06324110671936758,0.5502555366269165,0.26348665530948323,0.5502555366269165,0.05678591709256105,0.0,0.4497444633730835,5.76171875,0.090524259198958,0.4474225894944689,0.8066846657307761
golden,phi,0.6180339887498948,13,13,0.04,0.58,21,0.2,13,0.55,0.08,3,1.2,0.14,0.08,0.36,0.9179190751445087,0.47860156720916214,0.005081874647092038,0.05815923207227555,0.5108077360637088,0.2713310580204778,0.5108077360637088,0.052901023890784986,0.0,0.4891922639362912,3.45703125,0.10354933246499512,0.4691957080573781,0.833814729867315
golden,phi,0.6180339887498948,13,13,0.04,0.68,13,0.08,8,0.72,0.08,3,1.2,0.14,0.08,0.36,0.7773109243697479,0.4373522458628842,0.005081874647092038,0.039525691699604744,0.45633314054366686,0.14285714285714285,0.45633314054366686,0.03990746096009254,0.0,0.5436668594563332,3.45703125,0.0963855421686747,0.46065184605308096,0.7899815718410826
