flow,moderate_score,same_field_recall_rate,split_rate,wide_band_gap,wrong_center_gap,no_band_gap
bounded_cf_2,0.7763900941916941,0.9445114595898673,0.06755126658624849,0.0047500389053791725,0.018433839950829256,0.017320513228413992
fib_13_21,0.7177592509221459,0.9922580645161291,0.07096774193548387,-0.000551203559878588,0.007828385889205425,0.008591819772194365
golden,0.8231771506985186,0.849971477467199,0.0775812892184826,0.0076439595282040695,0.01628561582249688,0.01409814707415713
pi_mod1,0.7909945404779616,0.9715639810426541,0.0035545023696682463,-0.0011267519518900482,0.009544918510132838,0.011426307710120653
random_cf_1,0.7816213058153001,0.8907563025210085,0.07202881152460984,-0.0016705203120158663,0.005253258253361426,0.009818715556909385
silver,0.7861998083717562,0.9681372549019608,0.04656862745098039,0.00013091703303058644,0.011088566435406899,0.013924799962455325
