flow,family,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,frame_shift_rate,score
golden,phi,balanced_frame,0.8295454545454546,0.453416149068323,0.002258610954263128,0.1795595708639187,0.8406876790830946,0.4355300859598854,0.8406876790830946,0.08653295128939828,0.0,0.15931232091690545,3.45703125,0.576171875,0.5159505208333334,0.3317057291666667,0.09573428850537284,0.4970069407358526,0.8406876790830946,0.8152042977846687
golden,phi,rigid_core,0.8757763975155279,0.46688741721854304,0.002258610954263128,0.14511575381140598,0.8454960091220068,0.45438996579247437,0.8454960091220068,0.08038768529076397,0.0,0.15450399087799316,3.45703125,0.576171875,0.5201822916666666,0.3333333333333333,0.10485183979159883,0.49285495807537827,0.0,0.8240593874792859
golden,phi,touchup_frame,0.8576779026217228,0.46169354838709675,0.002258610954263128,0.15753811405985318,0.8432155074116305,0.45781071835803877,0.8432155074116305,0.08038768529076397,0.0,0.15678449258836943,3.45703125,0.576171875,0.513671875,0.3346354166666667,0.0986649299902312,0.49542709068323043,0.0,0.8218065056648445
golden,phi,overwash_frame,0.8138639281129654,0.448690728945506,0.002258610954263128,0.19988706945228685,0.8438576349024111,0.4196326061997704,0.8438576349024111,0.09242250287026406,0.0,0.15614236509758897,3.45703125,0.576171875,0.5159505208333334,0.3326822916666667,0.09117551286225985,0.4687407548010909,0.8438576349024111,0.8059984893107766
golden,phi,random_frame,0.820125786163522,0.45058742225293713,0.002258610954263128,0.18068887634105024,0.8388761467889908,0.42603211009174313,0.8388761467889908,0.08199541284403669,0.0,0.16112385321100917,3.45703125,0.576171875,0.513671875,0.33203125,0.09671116900032563,0.49420853358441574,0.8388761467889908,0.8150407956628474
silver,metallic,balanced_frame,0.8675496688741722,0.4645390070921986,0.0106951871657754,0.08449197860962566,0.9605734767025089,0.3118279569892473,0.9605734767025089,0.05854241338112306,0.0,0.03942652329749104,1.81640625,0.302734375,0.19075520833333334,0.15201822916666666,0.043308368609573426,0.6002175662044733,0.9605734767025089,0.7885084900173279
silver,metallic,rigid_core,0.8714596949891068,0.46565774155995343,0.016042780748663103,0.06524064171122995,0.9594755661501788,0.31942789034564956,0.9594755661501788,0.05125148986889154,0.0,0.04052443384982122,1.81640625,0.302734375,0.17936197916666666,0.150390625,0.045913383262780855,0.5977062976092717,0.0,0.7918238629571186
silver,metallic,touchup_frame,0.8503253796095445,0.45955451348182885,0.0106951871657754,0.07700534759358289,0.9571938168846611,0.3234244946492271,0.9571938168846611,0.0535077288941736,0.0,0.04280618311533888,1.81640625,0.302734375,0.193359375,0.15071614583333334,0.045262129599479,0.5980476610995069,0.0,0.7889372327492092
silver,metallic,overwash_frame,0.86,0.46236559139784944,0.009625668449197862,0.09518716577540107,0.9640718562874252,0.3077844311377245,0.9640718562874252,0.0658682634730539,0.0,0.03592814371257485,1.81640625,0.302734375,0.19075520833333334,0.15169270833333334,0.041028980788016936,0.6014565499526714,0.9640718562874252,0.7837918032657254
silver,metallic,random_frame,0.8772321428571429,0.46730083234244946,0.0106951871657754,0.08983957219251337,0.963226571767497,0.30604982206405695,0.963226571767497,0.06405693950177936,0.0,0.036773428232502965,1.81640625,0.302734375,0.19205729166666666,0.15397135416666666,0.04623901009443178,0.5996608857584911,0.963226571767497,0.7872514324239382
bounded_cf_2,bounded_cf,balanced_frame,0.8730512249443207,0.4661117717003567,0.010718113612004287,0.08788853161843516,0.9407582938388626,0.28672985781990523,0.9407582938388626,0.07345971563981042,0.0,0.05924170616113744,1.8203125,0.3033854166666667,0.2737630208333333,0.14615885416666666,0.11950504721589059,0.549958306121612,0.9407582938388626,0.7803757949675514
bounded_cf_2,bounded_cf,rigid_core,0.8261802575107297,0.45240893066980026,0.020364415862808145,0.06752411575562701,0.9408926417370326,0.27020506634499397,0.9408926417370326,0.06393244873341375,0.0,0.05910735826296743,1.8203125,0.3033854166666667,0.2552083333333333,0.14225260416666666,0.12015630087919245,0.5455594528838315,0.0,0.7721295703562248
bounded_cf_2,bounded_cf,touchup_frame,0.8512035010940919,0.4598108747044917,0.013933547695605574,0.07931404072883172,0.93935790725327,0.291319857312723,0.93935790725327,0.07372175980975029,0.0,0.06064209274673008,1.8203125,0.3033854166666667,0.2724609375,0.14518229166666666,0.12015630087919245,0.5480525860431087,0.0,0.7770351693484692
