flow,family,mode,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_core_recall_rate,same_field_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,field_overlap_rate,phase_binding_rate,macro_window_rate,admission_band_rate,pollution,phase_lock_resistance,lens_shift_rate,score
golden,phi,rigid_readout,0.8703241895261845,0.4653333333333333,0.002258610954263128,0.1507622811970638,0.849971477467199,0.4592127780946948,0.849971477467199,0.07986309184255562,0.0,0.1500285225328009,3.45703125,0.576171875,0.5192057291666666,0.3333333333333333,0.09801367632692934,0.49525741222843456,0.0,0.8228965712523207
golden,phi,touchup_lens,0.8642590286425903,0.4635938543754175,0.002258610954263128,0.15245623941276115,0.8557582668187002,0.4623717217787913,0.8557582668187002,0.07981755986316989,0.0,0.14424173318129987,3.45703125,0.576171875,0.5188802083333334,0.3333333333333333,0.0963855421686747,0.4956365614620454,0.2588369441277081,0.8209490797797333
golden,phi,balanced_lens,0.8617683686176837,0.462876254180602,0.002258610954263128,0.1535855448898927,0.8658675799086758,0.4708904109589041,0.8658675799086758,0.07990867579908675,0.4320776255707763,0.1341324200913242,3.45703125,0.576171875,0.5188802083333334,0.3330078125,0.09605991533702377,0.49566686157221584,0.9235159817351598,0.748733533720242
golden,phi,overwash_lens,0.8580323785803238,0.46179624664879354,0.002258610954263128,0.15527950310559005,0.8786324786324786,0.47635327635327634,0.8786324786324786,0.07863247863247863,0.8068376068376069,0.12136752136752137,3.45703125,0.576171875,0.5192057291666666,0.3343098958333333,0.09964181048518397,0.4956720554659271,0.9988603988603989,0.746399200819053
golden,phi,random_lens,0.8571428571428571,0.46153846153846156,0.002258610954263128,0.1535855448898927,0.8661731207289294,0.46697038724373574,0.8661731207289294,0.07801822323462415,0.10022779043280182,0.13382687927107062,3.45703125,0.576171875,0.5179036458333334,0.3346354166666667,0.09736242266362748,0.4950804700885014,0.765375854214123,0.798528786239069
silver,metallic,rigid_readout,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9681372549019608,0.3137254901960784,0.9681372549019608,0.04656862745098039,0.0,0.031862745098039214,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.0,0.7861998083717562
silver,metallic,touchup_lens,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9693627450980392,0.3137254901960784,0.9693627450980392,0.04656862745098039,0.0,0.030637254901960783,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.03308823529411765,0.7859897243381427
silver,metallic,balanced_lens,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9767156862745098,0.3137254901960784,0.9767156862745098,0.04656862745098039,0.1409313725490196,0.023284313725490197,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.7879901960784313,0.7565429456266582
silver,metallic,overwash_lens,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9803921568627451,0.31495098039215685,0.9803921568627451,0.04656862745098039,0.7830882352941176,0.0196078431372549,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.9644607843137255,0.7142390240580307
silver,metallic,random_lens,0.8402625820568927,0.45659928656361476,0.014973262032085561,0.0855614973262032,0.9779411764705882,0.31495098039215685,0.9779411764705882,0.04656862745098039,0.028186274509803922,0.022058823529411766,1.81640625,0.302734375,0.18880208333333334,0.14811197916666666,0.04168023445131879,0.5988607674052802,0.4963235294117647,0.7790219372232968
bounded_cf_2,bounded_cf,rigid_readout,0.8492239467849224,0.4592326139088729,0.01714898177920686,0.08896034297963558,0.9445114595898673,0.2738238841978287,0.9445114595898673,0.06755126658624849,0.0,0.05548854041013269,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5508108203252511,0.0,0.7763900941916941
bounded_cf_2,bounded_cf,touchup_lens,0.8488888888888889,0.45913461538461536,0.01714898177920686,0.09110396570203644,0.9481302774427021,0.27744270205066346,0.9481302774427021,0.06875753920386007,0.0,0.05186972255729795,1.8203125,0.3033854166666667,0.2776692708333333,0.14518229166666666,0.11787691305763595,0.5505727039516635,0.031363088057901084,0.775697635035884
bounded_cf_2,bounded_cf,balanced_lens,0.8488888888888889,0.45913461538461536,0.01714898177920686,0.09110396570203644,0.962605548854041,0.2798552472858866,0.962605548854041,0.06875753920386007,0.097708082026538,0.03739445114595899,1.8203125,0.3033854166666667,0.2776692708333333,0.14518229166666666,0.11787691305763595,0.5505727039516635,0.6718938480096501,0.7539502629869439
bounded_cf_2,bounded_cf,overwash_lens,0.8488888888888889,0.45913461538461536,0.01714898177920686,0.09110396570203644,0.9686369119420989,0.2810615199034982,0.9686369119420989,0.06875753920386007,0.6477683956574186,0.031363088057901084,1.8203125,0.3033854166666667,0.2776692708333333,0.14485677083333334,0.11787691305763595,0.5505727039516635,0.9481302774427021,0.7025678893763114
bounded_cf_2,bounded_cf,random_lens,0.8488888888888889,0.45913461538461536,0.01714898177920686,0.09110396570203644,0.9517490952955368,0.27864897466827504,0.9517490952955368,0.06875753920386007,0.04945717732207479,0.04825090470446321,1.8203125,0.3033854166666667,0.2776692708333333,0.14518229166666666,0.11787691305763595,0.5505727039516635,0.5090470446320868,0.7653236905244244
random_cf_1,random_cf,rigid_readout,0.8367816091954023,0.4555694618272841,0.01756311745334797,0.10537870472008781,0.8907563025210085,0.25690276110444177,0.8907563025210085,0.07202881152460984,0.0,0.1092436974789916,1.7734375,0.17350260416666666,0.2571614583333333,0.1484375,0.090524259198958,0.606656585635972,0.0,0.7816213058153001
random_cf_1,random_cf,touchup_lens,0.8352402745995423,0.4551122194513716,0.01646542261251372,0.10318331503841932,0.9020556227327691,0.26481257557436516,0.9020556227327691,0.07013301088270858,0.0,0.09794437726723096,1.7734375,0.17350260416666666,0.255859375,0.14811197916666666,0.09150113969391079,0.6075077698443576,0.010882708585247884,0.7810042594810916
