flow,best_mode,balanced_score,same_field_recall_rate,same_core_recall_rate,lens_shift_rate,balanced_vs_rigid_gap,balanced_vs_touchup_gap,balanced_vs_overwash_gap,balanced_vs_random_gap
bounded_cf_2,rigid_readout,0.7539502629869439,0.962605548854041,0.2798552472858866,0.6718938480096501,-0.022439831204750238,-0.02174737204894006,0.05138237361063247,-0.011373427537480496
fib_13_21,rigid_readout,0.6363331341361188,1.0,0.2182741116751269,0.9657360406091371,-0.07230326301597556,-0.07000000000000006,0.0,-0.0103553299492386
golden,rigid_readout,0.748733533720242,0.8658675799086758,0.4708904109589041,0.9235159817351598,-0.07416303753207876,-0.07221554605949132,0.002334332901189007,-0.04979525251882699
pi_mod1,rigid_readout,0.7806319403215783,0.9763313609467456,0.26272189349112424,0.7751479289940828,-0.008844365881625404,-0.008641491832597548,0.0631022823330516,-0.007796183294981329
random_cf_1,rigid_readout,0.7663347059498526,0.9079903147699758,0.2627118644067797,0.6840193704600485,-0.015286599865447448,-0.014669553531238999,0.058896575579384325,-0.008938467980261655
silver,rigid_readout,0.7565429456266582,0.9767156862745098,0.3137254901960784,0.7879901960784313,-0.029656862745097934,-0.02944677871148449,0.0423039215686275,-0.022478991596638576
