model,best_anchor,best_composite,mean_composite,mean_admission_rate,mean_write_rate,mean_overload_rate,mean_ignored_rate,mean_surrogate_gap
raw_appearance,golden,0.6070653480248321,0.5140562993763703,0.9848484848484849,0.27486542368447214,0.0,0.0,-0.14856760502647648
strict_prediction,bounded_cf_2,0.5811218994135363,0.47011737153830574,0.2611477905407032,0.0,0.7237006943077817,0.0,0.030906587173338163
surprise_seeking,bounded_cf_2,0.7686381784514338,0.6978902509924331,0.37494740422143047,0.9848484848484849,0.0,0.6099010806270543,0.12516600246571097
fep_bandpass,silver,0.6456551705745184,0.5244944681834022,0.3487532900863512,0.005206796314718298,0.37494740422143047,0.2611477905407032,-0.0025421465699964063
fep_bandpass_witness,noble_1,0.6600161852515924,0.5251378531166782,0.3487532900863512,0.00692445976625801,0.37494740422143047,0.2611477905407032,-0.03530648061984565
