flow,family,best_composite,mean_composite,mean_witness_conversion,mean_overload_rate,mean_release_rate,mean_crossing_quality,mean_density_gap
golden,phi,0.4145584624185523,0.38649524281484765,0.0,0.9520904120115249,0.0,-0.011940590317157712,-0.0766162631576906
silver,metallic,0.3728430218500848,0.335760935826816,0.0,0.8998480101847935,0.0,-0.3644938681629446,-0.15626527831176562
bounded_cf_2,bounded_cf,0.4171200209405882,0.3801220685272745,0.0,0.9749008141825536,0.0,0.0002854889623099886,-0.09822696479348103
random_cf_1,random_cf,0.4903430764738693,0.4160246647047038,0.0,0.6934119446005733,0.0,0.016706889491439864,-0.15436174688157478
fib_13_21,rational,0.42815270740043576,0.36570238897540336,0.0,0.9467975851195899,0.0,-0.0015042530484625808,-0.11464571759941072
pi_mod1,constant,0.48442338845452526,0.4082853438626298,0.0,0.7379286179672567,0.0,0.034835757309283476,-0.09471824777511284
