flow,family,alpha,offset,window_width,beta,drift,write_threshold,stability_threshold,overload_threshold,write_count,witness_count,release_count,overload_count,witness_conversion,delayed_retention,release_rate,overload_rate,mean_crossing_quality,pollution,phase_lock_resistance,composite_score
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.0,0.26,0.16,0.65,0.0,20.0,0.0,2814.0,0.0,0.0,0.0,0.9929428369795342,0.021659973699241736,0.0,0.4348080000286414,0.3759163123626611
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.003,0.1,0.05,0.45,0.0,104.0,0.0,3320.0,0.0,0.0,0.0,0.969626168224299,-0.3116529753758819,0.0,0.5772152414778633,0.3567324851667605
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.003,0.1,0.05,0.45,0.0,63.0,0.0,3262.0,0.0,0.0,0.0,0.9810526315789474,-0.21168722318073668,0.0,0.5473781614204083,0.3646172856490765
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.003,0.1,0.05,0.45,0.0,30.0,0.0,3197.0,0.0,0.0,0.0,0.9907034397273009,-0.0911891925408181,0.0,0.537628311442828,0.3797769394347128
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.003,0.1,0.05,0.45,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42705353457646666,0.3704107069152933
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.003,0.1,0.05,0.45,0.0,0.0,0.0,3031.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4615569465573509,0.3773113893114701
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.003,0.1,0.05,0.45,0.0,0.0,0.0,2932.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5858779136512677,0.40217558273025356
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.003,0.1,0.05,0.45,0.0,0.0,0.0,2834.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4365369590155286,0.3723073918031057
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.003,0.1,0.05,0.65,0.0,278.0,0.0,3146.0,0.0,0.0,0.0,0.9188084112149533,-0.20956225659753966,0.0,0.5559693985151155,0.37287870009189683
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.003,0.1,0.05,0.65,0.0,219.0,0.0,3106.0,0.0,0.0,0.0,0.9341353383458647,-0.10388944654795611,0.0,0.5202890037648447,0.38006084993618905
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.003,0.1,0.05,0.65,0.0,167.0,0.0,3060.0,0.0,0.0,0.0,0.9482491478153083,-0.002913112095509528,0.0,0.5250442646091509,0.3947469713259729
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.003,0.1,0.05,0.65,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42705353457646666,0.3704107069152933
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.003,0.1,0.05,0.65,0.0,73.0,0.0,2958.0,0.0,0.0,0.0,0.975915539425932,0.09895070543160604,0.0,0.4541166706769265,0.39307438600753297
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.003,0.1,0.05,0.65,0.0,42.0,0.0,2890.0,0.0,0.0,0.0,0.985675306957708,0.07794452632539879,0.0,0.5815112853458706,0.4144264053222131
golden,phi,0.6540339887498948,0.036000000000000004,0.18,0.0,0.003,0.1,0.05,0.65,0.0,21.0,0.0,2813.0,0.0,0.0,0.0,0.992589978828511,0.021545256615855792,0.0,0.43467807536316927,0.3759084056821611
golden,phi,0.5820339887498948,-0.036,0.18,0.0,0.003,0.1,0.1,0.45,0.0,104.0,0.0,3320.0,0.0,0.0,0.0,0.969626168224299,-0.3116529753758819,0.0,0.5772152414778633,0.3567324851667605
golden,phi,0.5940339887498948,-0.023999999999999997,0.18,0.0,0.003,0.1,0.1,0.45,0.0,63.0,0.0,3262.0,0.0,0.0,0.0,0.9810526315789474,-0.21168722318073668,0.0,0.5473781614204083,0.3646172856490765
golden,phi,0.6060339887498948,-0.011999999999999997,0.18,0.0,0.003,0.1,0.1,0.45,0.0,30.0,0.0,3197.0,0.0,0.0,0.0,0.9907034397273009,-0.0911891925408181,0.0,0.537628311442828,0.3797769394347128
golden,phi,0.6180339887498948,3.469446951953614e-18,0.18,0.0,0.003,0.1,0.1,0.45,0.0,0.0,0.0,3129.0,0.0,0.0,0.0,1.0,0.0,0.0,0.42705353457646666,0.3704107069152933
golden,phi,0.6300339887498948,0.012000000000000004,0.18,0.0,0.003,0.1,0.1,0.45,0.0,0.0,0.0,3031.0,0.0,0.0,0.0,1.0,0.0,0.0,0.4615569465573509,0.3773113893114701
golden,phi,0.6420339887498948,0.024000000000000004,0.18,0.0,0.003,0.1,0.1,0.45,0.0,0.0,0.0,2932.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5858779136512677,0.40217558273025356
