flow,family,mode,score,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,same_region_recall_rate,split_rate,context_distortion_rate,blocked_context_rate,interference_coherence_rate,pollution,phase_lock_resistance,gap_from_real
golden,phi,real,0.7768610477106334,0.9601769911504425,0.4898419864559819,0.003952569169960474,0.2456239412761152,0.5406976744186046,0.2796511627906977,0.5406976744186046,0.2441860465116279,0.0,0.45930232558139533,1.0,0.10061869098013676,0.4739265183812821,0.0
golden,phi,no_interference,0.6893384378231484,0.9550724637681159,0.48851000741289846,0.004517221908526256,0.23376623376623376,0.5408878504672897,0.2803738317757009,0.5408878504672897,0.23422897196261683,0.0,0.4591121495327103,0.0,0.09931618365353305,0.4724408334610727,0.08752260988748495
golden,phi,shuffled_neighbor,0.7771928510222189,0.9573529411764706,0.48910593538692715,0.003952569169960474,0.24449463579898362,0.5433391506689936,0.2803955788248982,0.5433391506689936,0.24200116346713205,0.0,0.4566608493310064,1.0,0.09899055682188213,0.4736395937536664,-0.00033180331158555454
golden,phi,inverted_sign,0.6843016354551684,0.950509461426492,0.4873134328358209,0.004517221908526256,0.2388481084133258,0.5444509006391632,0.284137129575828,0.5444509006391632,0.23823358512492737,0.0,0.4555490993608367,0.0,0.09605991533702377,0.4484744860168378,0.09255941225546493
silver,metallic,real,0.7808527838817898,0.8142857142857143,0.44881889763779526,0.045989304812834225,0.13903743315508021,0.4847328244274809,0.1316793893129771,0.4847328244274809,0.15648854961832062,0.0,0.5152671755725191,1.0,0.03842396613480951,0.5993765716703299,0.0
silver,metallic,no_interference,0.6923315327475087,0.795774647887324,0.44313725490196076,0.07272727272727272,0.10909090909090909,0.4671814671814672,0.11583011583011583,0.4671814671814672,0.1274131274131274,0.0,0.5328185328185329,0.0,0.04363399544122436,0.5995259079265418,0.08852125113428111
silver,metallic,shuffled_neighbor,0.783849057185747,0.8221153846153846,0.45118733509234826,0.05668449197860963,0.13262032085561498,0.47058823529411764,0.11195445920303605,0.47058823529411764,0.1366223908918406,0.0,0.5294117647058824,1.0,0.045587756431129924,0.6003186083632797,-0.002996273303957242
silver,metallic,inverted_sign,0.675731202256218,0.7677725118483413,0.4343163538873995,0.07807486631016043,0.12406417112299466,0.45330739299610895,0.10700389105058365,0.45330739299610895,0.1517509727626459,0.0,0.546692607003891,0.0,0.040703353956366005,0.6010875237697408,0.10512158162557184
bounded_cf_2,bounded_cf,real,0.7701489481423263,0.8035264483627204,0.44553072625698326,0.10932475884244373,0.1232583065380493,0.5035971223021583,0.13489208633093525,0.5035971223021583,0.17086330935251798,0.0,0.49640287769784175,1.0,0.10354933246499512,0.5493460510635404,0.0
bounded_cf_2,bounded_cf,no_interference,0.6802859495006481,0.7839195979899497,0.4394366197183099,0.12754555198285103,0.11146838156484459,0.48717948717948717,0.12637362637362637,0.48717948717948717,0.14835164835164835,0.0,0.5128205128205128,0.0,0.10126994464343862,0.544949135214094,0.08986299864167813
bounded_cf_2,bounded_cf,shuffled_neighbor,0.7648314631233502,0.7733990147783252,0.4361111111111111,0.10289389067524116,0.12540192926045016,0.5089605734767025,0.13620071684587814,0.5089605734767025,0.17025089605734767,0.0,0.4910394265232975,1.0,0.10126994464343862,0.545683651122409,0.005317485018976109
bounded_cf_2,bounded_cf,inverted_sign,0.6811419617035775,0.7902813299232737,0.44142857142857145,0.1339764201500536,0.1157556270096463,0.49012567324955114,0.13644524236983843,0.49012567324955114,0.15439856373429084,0.0,0.5098743267504489,0.0,0.10061869098013676,0.5455055201982537,0.08900698643874871
random_cf_1,random_cf,real,0.7872420666047266,0.8151041666666666,0.4490674318507891,0.08562019758507135,0.14928649835345773,0.51698670605613,0.19054652880354506,0.51698670605613,0.16691285081240767,0.0,0.48301329394387,1.0,0.08661673721914685,0.6031474516466644,0.0
random_cf_1,random_cf,no_interference,0.7032997313920465,0.8637602179836512,0.46345029239766083,0.09769484083424808,0.15148188803512624,0.5161764705882353,0.18529411764705883,0.5161764705882353,0.17205882352941176,0.0,0.4838235294117647,0.0,0.08726799088244871,0.6042302929427159,0.08394233521268013
random_cf_1,random_cf,shuffled_neighbor,0.7821233344129707,0.8136482939632546,0.44862518089725034,0.09001097694840834,0.15148188803512624,0.5103550295857988,0.1804733727810651,0.5103550295857988,0.17751479289940827,0.0,0.4896449704142012,1.0,0.08336046890263758,0.6017467718076259,0.005118732191755959
random_cf_1,random_cf,inverted_sign,0.6946099952828725,0.7962962962962963,0.44329896907216493,0.11306256860592755,0.141602634467618,0.5029585798816568,0.1863905325443787,0.5029585798816568,0.16272189349112426,0.0,0.4970414201183432,0.0,0.08498860306089222,0.600024180608848,0.09263207132185414
fib_13_21,rational,real,0.701970236483507,0.7601156069364162,0.4318555008210181,0.08413205537806177,0.2673056443024494,0.5513595166163142,0.1933534743202417,0.5513595166163142,0.32326283987915405,0.0,0.4486404833836858,1.0,0.08336046890263758,0.3841258760003168,0.0
fib_13_21,rational,no_interference,0.6071586972370416,0.7406340057636888,0.42549668874172186,0.10543130990415335,0.25133120340788073,0.5264797507788161,0.17757009345794392,0.5264797507788161,0.3146417445482866,0.0,0.4735202492211838,0.0,0.08336046890263758,0.38552470937454253,0.09481153924646535
fib_13_21,rational,shuffled_neighbor,0.6982355867331653,0.7436619718309859,0.42649434571890144,0.07667731629392971,0.2641107561235357,0.5301391035548686,0.18701700154559506,0.5301391035548686,0.3276661514683153,0.0,0.46986089644513135,1.0,0.0846629762292413,0.3827702987375283,0.0037346497503416565
fib_13_21,rational,inverted_sign,0.601589293920198,0.718475073313783,0.4180887372013652,0.12673056443024494,0.24920127795527156,0.5128617363344051,0.16881028938906753,0.5128617363344051,0.3215434083601286,0.0,0.4871382636655949,0.0,0.07912732009117551,0.3798899386784892,0.10038094256330898
pi_mod1,constant,real,0.7701385689945158,0.7949367088607595,0.44287729196050774,0.07494646680942184,0.16595289079229122,0.5364806866952789,0.17024320457796852,0.5364806866952789,0.17453505007153075,0.0,0.463519313304721,1.0,0.09899055682188213,0.5423651344318696,0.0
pi_mod1,constant,no_interference,0.6784808348549743,0.7803030303030303,0.43829787234042555,0.08244111349036402,0.16274089935760172,0.5451895043731778,0.1618075801749271,0.5451895043731778,0.16909620991253643,0.0,0.45481049562682213,0.0,0.09801367632692934,0.5420662683028359,0.09165773413954148
pi_mod1,constant,shuffled_neighbor,0.7699148628276659,0.8046272493573264,0.4458689458689459,0.08029978586723768,0.16809421841541755,0.5340909090909091,0.16619318181818182,0.5340909090909091,0.17897727272727273,0.0,0.4659090909090909,1.0,0.09899055682188213,0.5429756107050208,0.00022370616684996847
pi_mod1,constant,inverted_sign,0.6779365564125851,0.7873417721518987,0.4405099150141643,0.09100642398286937,0.15310492505353318,0.528023598820059,0.15191740412979352,0.528023598820059,0.17256637168141592,0.0,0.471976401179941,0.0,0.09899055682188213,0.5452771891361237,0.09220201258193073
