flow,real_score,same_region_recall_rate,split_rate,no_interference_gap,shuffled_neighbor_gap,inverted_sign_gap
bounded_cf_2,0.7701489481423263,0.5035971223021583,0.17086330935251798,0.08986299864167813,0.005317485018976109,0.08900698643874871
fib_13_21,0.701970236483507,0.5513595166163142,0.32326283987915405,0.09481153924646535,0.0037346497503416565,0.10038094256330898
golden,0.7768610477106334,0.5406976744186046,0.2441860465116279,0.08752260988748495,-0.00033180331158555454,0.09255941225546493
pi_mod1,0.7701385689945158,0.5364806866952789,0.17453505007153075,0.09165773413954148,0.00022370616684996847,0.09220201258193073
random_cf_1,0.7872420666047266,0.51698670605613,0.16691285081240767,0.08394233521268013,0.005118732191755959,0.09263207132185414
silver,0.7808527838817898,0.4847328244274809,0.15648854961832062,0.08852125113428111,-0.002996273303957242,0.10512158162557184
