flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_recall_window,best_recall_gain,best_split_threshold,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_context_distortion_rate,mean_split_rate,density_gap
golden,phi,0.8376369631921133,13,13,0.0,21,0.2,0.18,0.43697992159933846,0.1875,0.1875,0.718189100254622,0.33071813414277107,-0.04289571290380256
silver,metallic,0.8398822843915583,21,13,0.0,13,0.06,0.3,0.4827735520484661,0.1875,0.1875,0.3379192282446281,0.2868964821367475,0.016499464754421933
bounded_cf_2,bounded_cf,0.8238922407087959,21,13,0.0,13,0.06,0.3,0.4706143595842742,0.1875,0.1875,0.24952924270989318,0.2998933634434308,0.011010569630707956
random_cf_1,random_cf,0.8312516325385971,21,13,0.0,21,0.2,0.18,0.4936434294200233,0.1875,0.1875,0.2292041302243173,0.2469074843478238,0.05862489652155628
fib_13_21,rational,0.8162649928502241,21,13,0.0,13,0.12,0.3,0.44753044069765596,0.1875,0.1875,0.21663135651803098,0.4752906265654219,-4.283192551018944e-05
pi_mod1,constant,0.8216889399862368,21,13,0.0,13,0.12,0.3,0.4866978490879275,0.1875,0.1875,0.20219922670736556,0.27027571438043424,0.023503241657466534
