flow,family,alpha,best_delay,best_slot_count,context_pressure,recall_window,recall_gain,split_threshold,witness_conversion,delayed_retention,release_rate,rupture_rate,recall_survival_rate,same_slot_recall_rate,split_rate,context_distortion_rate,pollution,phase_lock_resistance,score
golden,phi,0.6180339887498948,13,13,0.0,13,0.06,0.3,0.9165751920965971,0.4782359679266896,0.003952569169960474,0.010163749294184076,1.0,1.0,0.0,0.0,0.11527189840442853,0.4515799455522147,0.8312757122670682
golden,phi,0.6180339887498948,13,13,0.0,13,0.12,0.3,0.9216335540838853,0.47960941987363587,0.003952569169960474,0.012987012987012988,1.0,1.0,0.0,0.0,0.11527189840442853,0.4526025575268783,0.8323005517869008
golden,phi,0.6180339887498948,13,13,0.0,13,0.12,0.44,0.9216335540838853,0.47960941987363587,0.003952569169960474,0.012987012987012988,1.0,1.0,0.0,0.0,0.11527189840442853,0.4526025575268783,0.8323005517869008
golden,phi,0.6180339887498948,13,13,0.0,21,0.06,0.44,0.9164835164835164,0.4782110091743119,0.003952569169960474,0.01129305477131564,1.0,1.0,0.0,0.0,0.11559752523607945,0.45233633328606193,0.8313208738637541
golden,phi,0.6180339887498948,13,13,0.0,21,0.12,0.18,0.9375696767001115,0.48388952819332565,0.003952569169960474,0.014680971202710334,1.0,1.0,0.0,0.0,0.11462064474112667,0.4534071277651657,0.8354509674598899
golden,phi,0.6180339887498948,13,13,0.0,21,0.12,0.3,0.9375696767001115,0.48388952819332565,0.003952569169960474,0.014680971202710334,1.0,1.0,0.0,0.0,0.11462064474112667,0.4534071277651657,0.8354509674598899
golden,phi,0.6180339887498948,13,13,0.0,21,0.2,0.18,0.945823927765237,0.48607888631090485,0.003952569169960474,0.02258610954263128,1.0,1.0,0.0,0.0,0.11299251058287203,0.45874258248366906,0.8376369631921133
golden,phi,0.6180339887498948,13,13,0.0,21,0.2,0.3,0.945823927765237,0.48607888631090485,0.003952569169960474,0.02258610954263128,1.0,1.0,0.0,0.0,0.11299251058287203,0.45874258248366906,0.8376369631921133
golden,phi,0.6180339887498948,13,13,0.0,21,0.2,0.44,0.945823927765237,0.48607888631090485,0.003952569169960474,0.02258610954263128,1.0,1.0,0.0,0.0,0.11299251058287203,0.45874258248366906,0.8376369631921133
golden,phi,0.6180339887498948,13,13,0.1,13,0.06,0.18,0.6923076923076923,0.4090909090909091,0.01129305477131564,0.16883116883116883,0.0,0.0,0.6028225806451613,0.5665322580645161,0.0801042005861283,0.43781627219267427,0.29995332863427593
golden,phi,0.6180339887498948,13,13,0.1,13,0.06,0.3,0.8384879725085911,0.45607476635514016,0.004517221908526256,0.08921513269339357,0.0,0.0,0.23919753086419754,0.6404320987654321,0.10322370563334418,0.4725596040651998,0.3684568790058689
golden,phi,0.6180339887498948,13,13,0.1,13,0.06,0.44,0.927023945267959,0.48106508875739645,0.003952569169960474,0.04178430265386787,0.0,0.0,0.09117221418234443,0.6353111432706223,0.11299251058287203,0.4504190736619955,0.4258784170981123
golden,phi,0.6180339887498948,13,13,0.1,13,0.12,0.18,0.7239263803680982,0.4199288256227758,0.00846979107848673,0.1981931112365895,0.0,0.0,0.7048192771084337,0.5682730923694779,0.08205796157603387,0.4695724673394467,0.31014123179543535
golden,phi,0.6180339887498948,13,13,0.1,13,0.12,0.3,0.8261390887290168,0.45239658568614577,0.004517221908526256,0.13551665725578768,0.0,0.0,0.3886178861788618,0.6260162601626016,0.10159557147508955,0.47438464867042474,0.332886899117013
golden,phi,0.6180339887498948,13,13,0.1,13,0.2,0.18,0.7868217054263565,0.4403470715835141,0.006775832862789385,0.21230942970073405,0.0,0.0,0.7611336032388664,0.5526315789473685,0.0928036470205145,0.47203783610766403,0.3220546521666151
golden,phi,0.6180339887498948,13,13,0.1,13,0.2,0.3,0.7962264150943397,0.4432773109243697,0.004517221908526256,0.189158667419537,0.0,0.0,0.5628227194492255,0.6230636833046471,0.09312927385216542,0.44715899098372136,0.32084342463254606
golden,phi,0.6180339887498948,13,13,0.1,21,0.06,0.18,0.6611177170035671,0.39799570508231924,0.012422360248447204,0.19875776397515527,0.0,0.0,0.5317220543806647,0.6450151057401813,0.08140670791273201,0.46330223481730715,0.29646009802570267
golden,phi,0.6180339887498948,13,13,0.1,21,0.06,0.3,0.8471563981042654,0.45862732520846694,0.003952569169960474,0.11575381140598531,0.0,0.0,0.22998872604284104,0.6426155580608793,0.10126994464343862,0.4661357431315595,0.37077000679710215
golden,phi,0.6180339887498948,13,13,0.1,21,0.12,0.3,0.8370927318295739,0.45566166439290584,0.005081874647092038,0.1671372106154715,0.0,0.0,0.3563636363636364,0.6496969696969697,0.09443178117876913,0.4845103496787183,0.33567313309670577
golden,phi,0.6180339887498948,13,13,0.1,21,0.2,0.3,0.8214765100671141,0.4509948415622697,0.005081874647092038,0.22868435911914173,0.0,0.0,0.4993804213135068,0.6703841387856257,0.08889612504070335,0.45169242577960256,0.32512319135655326
golden,phi,0.6180339887498948,13,13,0.1,21,0.2,0.44,0.9223684210526316,0.4798083504449008,0.003952569169960474,0.17108977978543197,0.0,0.0,0.30620985010706636,0.6531049250535332,0.09605991533702377,0.47150842839908436,0.3624227815587455
golden,phi,0.6180339887498948,13,13,0.22,13,0.06,0.18,0.6840277777777778,0.4061855670103093,0.01355166572557877,0.16487859966120835,0.0,0.0,0.5782178217821782,1.0,0.08205796157603387,0.4347403674838558,0.2978677088336088
golden,phi,0.6180339887498948,13,13,0.22,13,0.06,0.3,0.8352402745995423,0.4551122194513716,0.004517221908526256,0.08977978543195934,0.0,0.0,0.24256651017214398,1.0,0.10061869098013676,0.4738893483325963,0.36715354975478176
golden,phi,0.6180339887498948,13,13,0.22,13,0.12,0.18,0.694344163658243,0.40980113636363635,0.009034443817052512,0.19593450028232637,0.0,0.0,0.7214137214137214,1.0,0.07847606642787365,0.4653032138683154,0.30374329409947765
golden,phi,0.6180339887498948,13,13,0.22,13,0.12,0.3,0.8271752085816448,0.4527071102413568,0.004517221908526256,0.12987012987012986,0.0,0.0,0.3685897435897436,1.0,0.09899055682188213,0.4765240196260382,0.3337623022745116
golden,phi,0.6180339887498948,13,13,0.22,13,0.12,0.44,0.9476813317479191,0.48656898656898656,0.003952569169960474,0.07114624505928854,0.0,0.0,0.17155425219941348,1.0,0.1126668837512211,0.45879909761531257,0.4070571213055712
golden,phi,0.6180339887498948,13,13,0.22,13,0.2,0.3,0.8092848180677541,0.4472954230235784,0.003952569169960474,0.18181818181818182,0.0,0.0,0.5303030303030303,1.0,0.09117551286225985,0.45235204357653214,0.3246176008386975
golden,phi,0.6180339887498948,13,13,0.22,13,0.2,0.44,0.9395061728395062,0.48440483768300446,0.003952569169960474,0.10897797854319594,0.0,0.0,0.26061493411420206,1.0,0.11364376424617388,0.4486748304840281,0.3768712615952363
golden,phi,0.6180339887498948,13,13,0.22,21,0.06,0.18,0.6611374407582938,0.3980028530670471,0.01355166572557877,0.19480519480519481,0.0,0.0,0.5251141552511416,1.0,0.08075545424943015,0.46231127835440466,0.29648971146389236
golden,phi,0.6180339887498948,13,13,0.22,21,0.06,0.3,0.8431603773584906,0.45745361484325014,0.004517221908526256,0.11293054771315642,0.0,0.0,0.22247191011235956,1.0,0.1045262129599479,0.4625987853103517,0.37155422649203507
golden,phi,0.6180339887498948,13,13,0.22,21,0.06,0.44,0.9348837209302325,0.4831730769230769,0.003952569169960474,0.05646527385657821,0.0,0.0,0.08493427704752275,1.0,0.11429501790947574,0.4566181033469331,0.42952371314518134
golden,phi,0.6180339887498948,13,13,0.22,21,0.12,0.18,0.651685393258427,0.3945578231292517,0.010728402032749858,0.2422360248447205,0.0,0.0,0.6559633027522935,1.0,0.07587105177466623,0.4633158705139312,0.29302285791431204
golden,phi,0.6180339887498948,13,13,0.22,21,0.12,0.3,0.8300248138957816,0.4535593220338983,0.00564652738565782,0.16149068322981366,0.0,0.0,0.3505535055350554,1.0,0.0928036470205145,0.4823510885013592,0.3342354898175972
golden,phi,0.6180339887498948,13,13,0.22,21,0.12,0.44,0.9678615574783683,0.49183417085427134,0.003952569169960474,0.09712027103331451,0.0,0.0,0.16265060240963855,1.0,0.10745685444480625,0.4671291673655237,0.4139639307699423
golden,phi,0.6180339887498948,13,13,0.22,21,0.2,0.44,0.926509186351706,0.48092643051771117,0.003952569169960474,0.1671372106154715,0.0,0.0,0.298936170212766,1.0,0.09671116900032563,0.45936643152461387,0.36348700099120007
golden,phi,0.6180339887498948,13,13,0.36,13,0.06,0.18,0.6685714285714286,0.4006849315068493,0.012422360248447204,0.163184641445511,0.0,0.0,0.5850202429149798,1.0,0.07977857375447737,0.43368104761005843,0.2947240593618603
golden,phi,0.6180339887498948,13,13,0.36,13,0.06,0.3,0.8244620611551529,0.45189323401613907,0.003952569169960474,0.08639186900056466,0.0,0.0,0.2306501547987616,1.0,0.10224682513839141,0.4699982238224699,0.3678952416845805
golden,phi,0.6180339887498948,13,13,0.36,13,0.12,0.18,0.6765755053507729,0.40354609929078017,0.010163749294184076,0.19367588932806323,0.0,0.0,0.7175732217573222,1.0,0.07489417127971344,0.46545617006921913,0.3004077975577813
golden,phi,0.6180339887498948,13,13,0.36,13,0.12,0.3,0.8175355450236966,0.4498044328552803,0.004517221908526256,0.1293054771315641,0.0,0.0,0.3665594855305466,1.0,0.10257245197004233,0.47060499840471315,0.33080390172711494
golden,phi,0.6180339887498948,13,13,0.36,13,0.2,0.18,0.7634271099744245,0.43292240754169686,0.011857707509881422,0.20948616600790515,0.0,0.0,0.7665289256198347,1.0,0.08889612504070335,0.4679826205308294,0.31704095414389993
golden,phi,0.6180339887498948,13,13,0.36,13,0.2,0.3,0.7911547911547911,0.44170096021947874,0.004517221908526256,0.17221908526256352,0.0,0.0,0.511864406779661,1.0,0.08889612504070335,0.44933951068839206,0.3210385951091161
golden,phi,0.6180339887498948,13,13,0.36,13,0.2,0.44,0.9579207920792079,0.4892541087231353,0.003952569169960474,0.10276679841897234,0.0,0.0,0.24855491329479767,1.0,0.11559752523607945,0.4727125114179247,0.38786155914731607
golden,phi,0.6180339887498948,13,13,0.36,21,0.06,0.44,0.9252873563218391,0.48059701492537316,0.003952569169960474,0.0502540937323546,0.0,0.0,0.07489878542510121,1.0,0.10550309345490068,0.4555329691519522,0.43097295340076086
golden,phi,0.6180339887498948,13,13,0.36,21,0.12,0.18,0.6380368098159509,0.3895131086142322,0.010728402032749858,0.2354601919819311,0.0,0.0,0.6505460218408736,1.0,0.07619667860631717,0.46208810041775084,0.29029528384757025
golden,phi,0.6180339887498948,13,13,0.36,21,0.12,0.3,0.8236744759556104,0.45165652467883705,0.004517221908526256,0.1603613777526821,0.0,0.0,0.3397129186602871,1.0,0.09247802018886356,0.45183759880391117,0.331106305102383
golden,phi,0.6180339887498948,13,13,0.36,21,0.12,0.44,0.9642857142857143,0.4909090909090909,0.003952569169960474,0.09542631281761717,0.0,0.0,0.1606425702811245,1.0,0.10810810810810811,0.44924874864544606,0.4110353509178692
golden,phi,0.6180339887498948,13,13,0.36,21,0.2,0.3,0.788036410923277,0.44072727272727275,0.006211180124223602,0.21739130434782608,0.0,0.0,0.5,1.0,0.08791924454575056,0.47515316596697943,0.3227851830739707
