flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_field_radius,best_field_width,best_field_support_gain,best_field_competition_gain,best_phase_bind_gain,best_phase_bind_threshold,best_window_levels,best_window_blend_gain,mean_score,mean_recall_survival_rate,mean_same_core_recall_rate,mean_same_field_recall_rate,mean_field_overlap_rate,mean_phase_binding_rate,mean_macro_window_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8260097738533674,13,13,0.08,0.78,21,5,1.2,0.14,0.08,0.08,0.42,2,0.14,0.7809108113298241,0.8784731352431346,0.4447576918511737,0.8784731352431346,4.438657407407407,0.576171875,0.3148148148148148,0.021059519864131418,0.12152686475686522,0.0742295825872748,0.41513804112405733
silver,metallic,0.7918468545895729,21,13,0.08,0.78,21,5,1.2,0.14,0.08,0.08,0.42,2,0.14,0.7602038230372266,0.9880054445558805,0.25815257982612067,0.9880054445558805,2.332175925925926,0.302734375,0.09925974151234568,0.013669762707346907,0.011994555444119523,0.030263565496788495,0.4321286967960786
bounded_cf_2,bounded_cf,0.7734012729290225,21,13,0.08,0.78,21,5,1.2,0.14,0.08,0.08,0.42,2,0.14,0.7456060190150204,0.9828842130654564,0.25473589667052987,0.9828842130654564,2.3371913580246915,0.3033854166666667,0.17057894483024694,0.011468745050506268,0.017115786934543693,0.047414579474452885,0.3941583478891009
random_cf_1,random_cf,0.7918399991351172,21,13,0.08,0.78,21,5,1.2,0.14,0.08,0.08,0.42,2,0.14,0.7571269958977519,0.9699655644613868,0.2552642085845792,0.9699655644613868,2.277006172839506,0.24199459876543208,0.1521629050925926,0.012661364227221738,0.030034435538613208,0.045695440905477294,0.43283074023401963
fib_13_21,rational,0.7595192812623079,21,13,0.04,0.78,21,5,1.2,0.08,0.04,0.14,0.18,2,0.08,0.6992952104640542,0.9980622430797629,0.2970266004640279,0.9980622430797629,2.3522376543209877,0.3052782600308642,0.16995201581790126,0.011345715331370139,0.001937756920237131,0.10180681193090141,0.33793457064474475
pi_mod1,constant,0.7896100443330283,21,13,0.08,0.78,21,5,1.2,0.14,0.08,0.08,0.42,2,0.14,0.7558414868453928,0.9885567554767584,0.28258625223457223,0.9885567554767584,2.339699074074074,0.2711769386574074,0.17271291473765432,0.013194842758923676,0.01144324452324176,0.03971737250075292,0.3917897111974066
