family,count,mean_best_composite,mean_surrogate_gap,mean_recognition_rate,mean_near_miss_rate
bounded_cf,1,0.7411540459300157,0.21977553489545087,0.7777777777777778,0.0
metallic,1,0.7416967495012396,0.18453440926849807,0.7567567567567568,0.0
noble,1,0.7753960137470457,0.18246809321451518,0.9411764705882353,0.0
phi,1,0.7996472058682358,0.20348779508824244,1.0,0.0
random_irrational,1,0.7358486456637185,0.1886201306521128,0.7631578947368421,0.0
rational,1,0.8041764151072621,0.21774152845252015,0.9264705882352942,0.0
