anchor,family,best_composite,best_offset,best_age,best_witness_factor,best_recognition_factor,best_decay,best_near_miss_boost,recognition_rate,near_miss_rate,surrogate_gap
golden,phi,0.7996472058682358,-6.938893903907228e-18,4,0.28,0.2,0.82,0.0,1.0,0.0,0.20348779508824244
silver,metallic,0.7416967495012396,0.017999999999999988,4,0.28,0.2,0.82,0.0,0.7567567567567568,0.0,0.18453440926849807
noble_1,noble,0.7753960137470457,-0.018000000000000002,4,0.28,0.2,0.82,0.0,0.9411764705882353,0.0,0.18246809321451518
bounded_cf_2,bounded_cf,0.7411540459300157,0.029999999999999985,4,0.28,0.2,0.82,0.0,0.7777777777777778,0.0,0.21977553489545087
random_irrat_1,random_irrational,0.7358486456637185,0.029999999999999985,4,0.28,0.2,0.82,0.0,0.7631578947368421,0.0,0.1886201306521128
fib_13_21,rational,0.8041764151072621,-0.018000000000000002,4,0.28,0.2,0.82,0.0,0.9264705882352942,0.0,0.21774152845252015
