flow,family,best_score,best_delay,best_slot_count,best_context_pressure,best_similarity_threshold,best_recall_window,best_recall_gain,best_sheath_gain,best_bleed_rate,best_split_threshold,mean_score,mean_recall_survival_rate,mean_same_slot_recall_rate,mean_context_distortion_rate,mean_blocked_context_rate,mean_split_rate,density_gap
golden,phi,0.8024602504547068,13,13,0.04,0.68,13,0.08,0.04,0.08,0.36,0.7415225991482391,0.5036043029658465,0.5036043029658465,0.09513941766462367,0.4963956970341535,0.22976984689976152,0.3265410807981674
silver,metallic,0.795063071615794,21,13,0.08,0.78,21,0.08,0.12,0.08,0.36,0.7191579809389361,0.6371163373664738,0.6371163373664738,0.10096900629480968,0.3628836626335263,0.2901500532431173,0.32048467225886523
bounded_cf_2,bounded_cf,0.7909393000160623,21,13,0.08,0.78,21,0.14,0.08,0.12,0.36,0.7282025340140593,0.5295482806372583,0.5295482806372583,0.07833232244758619,0.4704517193627417,0.22186207998485372,0.3336715413361395
random_cf_1,random_cf,0.8051819602023711,21,13,0.08,0.78,13,0.14,0.04,0.12,0.36,0.7240714917914048,0.6335598159191013,0.6335598159191013,0.11201351795076446,0.36644018408089885,0.22319445700066998,0.35070601980403543
fib_13_21,rational,0.7397221465218317,21,13,0.08,0.78,13,0.14,0.04,0.12,0.36,0.6871506076548043,0.5618438039044469,0.5618438039044469,0.08358354592789226,0.43815619609555306,0.3774652603826007,0.27878472969511064
pi_mod1,constant,0.7974653733084673,21,13,0.04,0.78,21,0.2,0.12,0.04,0.36,0.7245133289128256,0.6076802335321034,0.6076802335321034,0.08693068055400383,0.3923197664678965,0.212931596175963,0.32649615700022006
